Date,ALLY,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.2253341467472686,-0.5242360379346681,-0.08912428595197161,-0.4287893073040874,-0.505546004104043,0.0
2018-09-25,1.0,-0.22497156647895922,-0.5249244084440623,-0.0883519653804544,-0.4293877777469556,-0.5063940747316154,0.0
2018-09-26,1.0,-0.22499306518723997,-0.5249653259361997,-0.08846047156726769,-0.4293203883495145,-0.5061858529819695,0.0
2018-09-27,1.0,-0.22393124356799152,-0.5321669958000723,-0.0868912190915918,-0.4307846354963424,-0.5076349678747253,0.0
2018-09-28,1.0,-0.222636366165058,-0.5333370420850602,-0.08731328753024951,-0.43069733804344806,-0.5075797613418264,0.0
2018-10-01,1.0,-0.2246290057632876,-0.5323662889439541,-0.08689478519920929,-0.4323300943842749,-0.5080045660829134,0.0
2018-10-02,1.0,-0.22482109542505502,-0.5324812741904046,-0.08718291426502937,-0.43221117701111017,-0.5078105421435135,0.0
2018-10-03,1.0,-0.2245699014531485,-0.5257223985301487,-0.08615889983853905,-0.43494237514615,-0.5123879516730695,0.0
2018-10-04,1.0,-0.2232147842108202,-0.5324102506839373,-0.08600859806822624,-0.43319747641114403,-0.5167494835575903,0.0
2018-10-05,1.0,-0.2100334448160535,-0.526365663322185,-0.07321627647714604,-0.4452341137123746,-0.5322185061315495,0.0
2018-10-08,1.0,-0.2091488710081577,-0.5251830609460701,-0.07199933179274438,-0.44591697524848956,-0.5319765013781774,0.0
2018-10-09,1.0,-0.20774736138572503,-0.5257456347990754,-0.06828371717396753,-0.44804923556768494,-0.5349912278258933,0.0
2018-10-10,1.0,-0.20781245649692345,-0.5254057966979425,-0.06843555976278642,-0.44814433276721327,-0.5343987526797895,0.0
2018-10-11,1.0,-0.17538838920686836,-0.5254292722812756,-0.02730989370400654,-0.44404469882801856,-0.5533932951757972,0.0
2018-10-12,1.0,-0.1793135085541583,-0.5205353769766312,-0.025122780506233473,-0.43180959576879485,-0.541691402666091,0.0
2018-10-15,1.0,-0.1717541827195086,-0.5314815313737641,-0.015033542581566398,-0.43190451814532427,-0.5440094835250694,0.0
2018-10-16,1.0,-0.1710221455897408,-0.5343499110943477,-0.01290479012877849,-0.43194676437308044,-0.5438870628805431,0.0
2018-10-17,1.0,-0.15931914440212033,-0.5078181188567167,-0.0,-0.4366692416291521,-0.559947790415812,0.0
2018-10-18,1.0,-0.15870225347610678,-0.5066059346864845,-0.0,-0.43812263598103457,-0.5602258803473443,0.0
2018-10-19,1.0,-0.15084332237191045,-0.5019624482868357,-0.0,-0.4379442028216824,-0.5612336904635621,0.0
2018-10-22,1.0,-0.15076097638715505,-0.49140747430210635,-0.0,-0.44580201333368746,-0.5681160190177694,0.0
2018-10-23,1.0,-0.14511175795123774,-0.4957406467807835,-0.0,-0.4550431276203701,-0.5745453574385131,0.0
2018-10-24,1.0,-0.14384933885401363,-0.4910645118204888,-0.0,-0.45719246694270066,-0.5791905970348604,0.0
2018-10-25,1.0,-0.13164690382081687,-0.47591567852437416,-0.0,-0.45694334650856394,-0.5705401844532278,0.0
2018-10-26,1.0,-0.12719022138285593,-0.47130416535515685,-0.0,-0.457612002937782,-0.5669132305109642,0.0
2018-10-29,1.0,-0.12585614191618338,-0.4711995171490802,-0.0,-0.4591282441546172,-0.5680058781851103,0.0
2018-10-30,1.0,-0.12241257181834876,-0.4711546029330745,-0.0,-0.4591914368916756,-0.5707689482383188,0.0
2018-10-31,1.0,-0.12170550791730232,-0.4756431164185385,-0.0,-0.4605450049976327,-0.5724656741543479,0.0
2018-11-01,1.0,-0.128287566541928,-0.47193380066410157,-0.0,-0.46186686343751643,-0.5732620039002794,0.0
2018-11-02,1.0,-0.13066883747800742,-0.45978309393135686,-0.0,-0.46479871852104726,-0.5707308106404769,0.0
2018-11-05,1.0,-0.13424232054960383,-0.45252823037035084,-0.0,-0.46582085230712533,-0.5796372825142796,0.0
