Date,ASH,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.33293304434420945,-0.6862808271337355,-0.0,-0.47469392537051136,-0.43503602600902114,0.0
2018-09-25,1.0,-0.3334895162234977,-0.6858966850181563,-0.0,-0.47446409745812346,-0.4345788918823943,0.0
2018-09-26,1.0,-0.3356776556776557,-0.6882344322344323,-0.0,-0.4748717948717949,-0.43158974358974356,0.0
2018-09-27,1.0,-0.33454737707807086,-0.6939141161957352,-0.0,-0.47594431063854786,-0.43279680432356227,0.0
2018-09-28,1.0,-0.33229466752895526,-0.6971309306837556,-0.0,-0.4765712269974719,-0.4335939796578282,0.0
2018-10-01,1.0,-0.3330491282744833,-0.6963219945315027,-0.0,-0.4770528915414694,-0.43362831858407086,0.0
2018-10-02,1.0,-0.33595059550066164,-0.6857226878400234,-0.0,-0.481193942067343,-0.43790619026613725,0.0
2018-10-03,1.0,-0.3361470588235294,-0.6861176470588234,-0.0,-0.4811470588235294,-0.43779411764705883,0.0
2018-10-04,1.0,-0.3385465663217309,-0.6818555973659455,-0.0,-0.48409571966133585,-0.43526575729068673,0.0
2018-10-05,1.0,-0.3267964290941021,-0.6755744182643055,-0.0,-0.4860529781940583,-0.43851895214400705,0.0
2018-10-08,1.0,-0.3242082505551011,-0.6723734953838963,-0.0,-0.4877001285497254,-0.4372735771882669,0.0
2018-10-09,1.0,-0.32610474631751224,-0.6731061491699789,-0.0,-0.48731587561374795,-0.4360825344867898,0.0
2018-10-10,1.0,-0.3251132360342225,-0.688475088072471,-0.0,-0.4942715888569822,-0.4525888865863406,0.0
2018-10-11,1.0,-0.2890367370552502,-0.6782181081862887,-0.0,-0.47645357246167197,-0.44900202487706103,0.0
2018-10-12,1.0,-0.28884621998051246,-0.6739840660285437,-0.0,-0.4659826904338855,-0.4369805697254543,0.0
2018-10-15,1.0,-0.2646309704375697,-0.6978794036001488,-0.0,-0.46149443379217575,-0.4377987007412071,0.0
2018-10-16,1.0,-0.26382808252496637,-0.6990013448936961,-0.0,-0.4611554639883252,-0.43749105788765846,0.0
2018-10-17,1.0,-0.25141163184641446,-0.6752682100508187,-0.0,-0.4563805759457933,-0.4401750423489554,0.0
2018-10-18,1.0,-0.25193513757839425,-0.6769591502344765,-0.0,-0.45564721170687605,-0.4404203627323578,0.0
2018-10-19,1.0,-0.24077294144043077,-0.6690879515369083,-0.0,-0.4559120484630918,-0.4388041283374467,0.0
2018-10-22,1.0,-0.24077604575529887,-0.6646854323202871,-0.0,-0.45766513401368175,-0.44047886060334196,0.0
2018-10-23,1.0,-0.24454601536649653,-0.6651898379227188,-0.0,-0.45513431663956033,-0.4392630811508048,0.0
2018-10-24,1.0,-0.24320085146906423,-0.6629414895106854,-0.0,-0.4549757723440607,-0.4397669663613702,0.0
2018-10-25,1.0,-0.22304162569649294,-0.6344094832295423,-0.0,-0.45504206271167924,-0.41882442914891294,0.0
2018-10-26,1.0,-0.21559322033898304,-0.626793220338983,-0.0,-0.45578305084745757,-0.4137220338983051,0.0
2018-10-29,1.0,-0.2011661807580175,-0.6330849800237556,-0.0,-0.44841269841269843,-0.41685563114134544,0.0
2018-10-30,1.0,-0.21375162548764629,-0.635646944083225,-0.0,-0.4505039011703511,-0.4092706978760295,0.0
2018-10-31,1.0,-0.21512020073928173,-0.6278498772360575,-0.0,-0.44858754013436575,-0.4065510077435718,0.0
2018-11-01,1.0,-0.20723294168373393,-0.6334213646653013,-0.0,-0.4478818583593834,-0.40632747655492074,0.0
2018-11-02,1.0,-0.2086837368010962,-0.6248958865095784,-0.0,-0.4490448426878744,-0.40414841881834546,0.0
2018-11-05,1.0,-0.2036205180622428,-0.6410415041557953,-0.0,-0.45178470559754685,-0.3933883852919816,0.0
2018-11-06,1.0,-0.20213195509973353,-0.6399633906700046,-0.0,-0.4537134243182859,-0.39605372957549334,0.0
2018-11-07,1.0,-0.20213739636050396,-0.6399806180682676,-0.0,-0.4537525573382147,-0.39606439108431146,0.0
2018-11-08,1.0,-0.23632785041473356,-0.6677351328553353,-0.0,-0.49394067200899755,-0.4137494727962885,0.0
2018-11-09,1.0,-0.23619545659019345,-0.667538236617184,-0.0,-0.4941239316239316,-0.41365834457939726,0.0
2018-11-12,1.0,-0.23595820377062499,-0.6538644704036753,-0.0,-0.5001540745720929,-0.41135109392946184,0.0
