Date,COLB,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.11913104414856343,-0.7977014716187806,-0.07419761737911702,-0.3603363700070077,-0.45171688857743514,0.0
2018-09-25,1.0,-0.11809828879710023,-0.8013712102054006,-0.07083649442243391,-0.36365169012897247,-0.4559273932956812,0.0
2018-09-26,1.0,-0.11759743546482201,-0.8013047635116135,-0.06880940329565266,-0.36482762499297,-0.4594510994882178,0.0
2018-09-27,1.0,-0.11681650367781755,-0.8070625369895443,-0.06758165882253474,-0.3660908040470084,-0.46067130738663586,0.0
2018-09-28,1.0,-0.11448960595718274,-0.8101147998758921,-0.0681465602346769,-0.3666262375539447,-0.4612867740388683,0.0
2018-10-01,1.0,-0.11399519841830251,-0.8126818246010451,-0.06860612907781387,-0.36689733088546816,-0.4622793390764017,0.0
2018-10-02,1.0,-0.11417902002942175,-0.8225925087699444,-0.0658594545660292,-0.3657349779336879,-0.46064841009392327,0.0
2018-10-03,1.0,-0.114021440896105,-0.8150086272734987,-0.06471869431165672,-0.36896444431872827,-0.4659293412157384,0.0
2018-10-04,1.0,-0.11277467835591484,-0.8272515085961516,-0.06424342479790504,-0.36764203575088233,-0.4744961858135033,0.0
2018-10-05,1.0,-0.1010407509287355,-0.82471712559907,-0.05501517170972407,-0.3725718174857499,-0.48246036922553387,0.0
2018-10-08,1.0,-0.09989803432844277,-0.8236277120036255,-0.053645272758171415,-0.37319435789950717,-0.48204271228686346,0.0
2018-10-09,1.0,-0.0974585886090311,-0.8257317903335603,-0.04614817336056274,-0.3782902201043794,-0.48873950533242566,0.0
2018-10-10,1.0,-0.09706699948941963,-0.8263459465592558,-0.04566857661541952,-0.3782549497929313,-0.4892210812957395,0.0
2018-10-11,1.0,-0.058256194224266956,-0.8342941078654178,-0.0021894573471537056,-0.3703785821185079,-0.5063466548417493,0.0
2018-10-12,1.0,-0.058842884562654234,-0.8338360296133808,-0.0,-0.3561557444474911,-0.4931450507266246,0.0
2018-10-15,1.0,-0.02393529217563552,-0.875178826895565,-0.0,-0.35325189831627596,-0.4987894794761747,0.0
2018-10-16,1.0,-0.017529836553567983,-0.8882610732890494,-0.0,-0.35260880350596724,-0.49786389570298506,0.0
2018-10-17,1.0,-0.0,-0.8576953454802951,-0.0,-0.35337854399869273,-0.5124874036549827,0.0
2018-10-18,1.0,-0.0,-0.85683941069143,-0.0,-0.353966395250674,-0.5124315786607119,0.0
2018-10-19,1.0,-0.0,-0.8502327847553054,-0.0,-0.34766132524902554,-0.5089053702901689,0.0
2018-10-22,1.0,-0.0,-0.858018829530347,-0.0,-0.3471253764549475,-0.5080446048240497,0.0
2018-10-23,1.0,-0.0,-0.8632607267950962,-0.0,-0.35754159369527144,-0.515625,0.0
2018-10-24,1.0,-0.0,-0.8600136705399862,-0.0,-0.3568284347231715,-0.5172658920027341,0.0
2018-10-25,1.0,-0.0,-0.847948315943126,-0.0,-0.3494350435205709,-0.5057576904362869,0.0
2018-10-26,1.0,-0.0,-0.8730453073537958,-0.0,-0.36638897345769555,-0.5282721208934156,0.0
2018-10-29,1.0,-0.0,-0.896510396343163,-0.0,-0.3483471765427281,-0.5423936674285077,0.0
