Date,AGMH,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-12-17,1.0,-9.960077269800387,-13.95428203477141,-7.942047649710238,-15.830650354153253,-15.704443013522214,0.0
2018-12-18,1.0,-9.689546599496223,-13.62972292191436,-7.6618387909319905,-15.532745591939548,-15.459068010075569,0.0
2018-12-19,1.0,-9.823604874919821,-13.90314304041052,-7.762026940346376,-15.867864015394483,-15.786401539448365,0.0
2018-12-20,1.0,-10.647926914968377,-15.141953619114547,-8.551651440618413,-17.56078706957133,-17.372452565003517,0.0
2018-12-21,1.0,-9.85518590998043,-14.10958904109589,-7.879973907371168,-16.35094585779517,-16.035877364644488,0.0
2018-12-24,1.0,-9.5524115755627,-13.765916398713827,-7.819292604501608,-16.1427652733119,-16.028295819935693,0.0
2018-12-26,1.0,-9.893828798938289,-14.435965494359655,-7.935633709356337,-16.571333775713338,-16.52023888520239,0.0
2018-12-27,1.0,-11.092823712948519,-17.234009360374415,-8.872074882995319,-19.55928237129485,-20.244149765990638,0.0
2018-12-28,1.0,-10.891621829362029,-17.03535741737125,-8.700999231360491,-19.285933897002305,-19.94926979246733,0.0
2018-12-31,1.0,-10.897770945426593,-17.030745580322826,-8.707916986933128,-19.282090699461953,-19.94542659492698,0.0
2019-01-02,1.0,-11.079749804534794,-17.349491790461297,-8.786551993745114,-19.632525410476937,-20.338545738858482,0.0
2019-01-03,1.0,-10.958041958041958,-17.24864024864025,-8.674436674436675,-19.578865578865578,-20.24009324009324,0.0
2019-01-04,1.0,-9.640084685956245,-15.892731122088922,-7.728299223712067,-17.752999294283697,-18.557515878616798,0.0
2019-01-07,1.0,-9.145804676753782,-15.352819807427785,-7.739339752407153,-17.446354883081156,-18.09147180192572,0.0
2019-01-08,1.0,-8.99527027027027,-14.95472972972973,-7.626351351351351,-17.22162162162162,-17.77027027027027,0.0
2019-01-09,1.0,-8.985125084516566,-14.87288708586883,-7.617985125084517,-17.269100743745778,-17.86815415821501,0.0
2019-01-10,1.0,-9.012186865267434,-14.8645903859174,-7.638456330399459,-17.30941096817874,-17.880162491536897,0.0
2019-01-11,1.0,-9.054458815520762,-14.930565010211028,-7.706603131381893,-17.40367597004765,-17.978216473791694,0.0
2019-01-14,1.0,-9.07420013614704,-14.931926480599046,-7.714771953710007,-17.40231449965963,-17.950987066031313,0.0
2019-01-15,1.0,-9.03728813559322,-14.842711864406782,-7.673898305084746,-17.34576271186441,-17.89627118644068,0.0
2019-01-16,1.0,-8.728476821192052,-14.535761589403972,-7.388741721854305,-16.955629139072844,-17.61655629139073,0.0
2019-01-17,1.0,-8.748177601060304,-14.512922465208748,-7.422133863485753,-16.96288933068257,-17.62226640159046,0.0
2019-01-18,1.0,-8.763105507631055,-14.51360318513603,-7.444591904445919,-16.991373589913735,-17.64366290643663,0.0
2019-01-22,1.0,-9.342105263157894,-15.640825035561878,-8.008534850640114,-18.250355618776673,-18.881223328591748,0.0
2019-01-23,1.0,-9.427331887201735,-15.8705712219812,-8.25234996384671,-18.58712942877802,-19.168474331164134,0.0
2019-01-24,1.0,-9.431670281995661,-15.872740419378163,-8.254519161243673,-18.582067968185104,-19.165582067968185,0.0
