Date,IWF,IWM,MTUM,O,SPY,VLUE,VXX
2018-09-24,-0.26681751156760053,-0.4990847612752326,-0.0,1.0,-0.4248487313774343,-0.3515787868002237,0.0
2018-09-25,-0.2644214823319301,-0.5031509121061359,-0.0,1.0,-0.4279117234341115,-0.3558617170557469,0.0
2018-09-26,-0.2661646458200383,-0.5049649010848756,-0.0,1.0,-0.4281812380344608,-0.3533631142310147,0.0
2018-09-27,-0.2654688578219644,-0.5078334653819613,-0.0,1.0,-0.42857873079970354,-0.35387328443274463,0.0
2018-09-28,-0.2662405726703311,-0.5075035152754698,-0.0,1.0,-0.42876134475265243,-0.3540585453150965,0.0
2018-10-01,-0.266157839282502,-0.5149692904684811,-0.0,1.0,-0.4310384704340452,-0.35766967337393674,0.0
2018-10-02,-0.2660548100159391,-0.5170188698647745,-0.0,1.0,-0.43051056609594324,-0.3572420175844517,0.0
2018-10-03,-0.26539687435739256,-0.5098961546370553,-0.0,1.0,-0.4331431215299198,-0.3619936253341559,0.0
2018-10-04,-0.2677612477196228,-0.5060253346694417,-0.0,1.0,-0.436008119427529,-0.3596443896297439,0.0
2018-10-05,-0.2573021637935444,-0.49956519515064707,-0.0,1.0,-0.4382577113918871,-0.36255051409279243,0.0
2018-10-08,-0.2545663852647736,-0.49718598106932715,-0.0,1.0,-0.4435661294448707,-0.3628805321053978,0.0
2018-10-09,-0.24733782601985696,-0.5007202016564638,-0.0,1.0,-0.4508719584340758,-0.3732187869746386,0.0
2018-10-10,-0.2505406240345999,-0.500205952013181,-0.0,1.0,-0.4534033570178148,-0.37022448769436717,0.0
2018-10-11,-0.2151984535435443,-0.4884894434263048,-0.0,1.0,-0.4385810759922677,-0.36818718148269025,0.0
2018-10-12,-0.21323822825219477,-0.4853601356743815,-0.0,1.0,-0.43398343974461295,-0.36145750199521154,0.0
2018-10-15,-0.19406142665140125,-0.5029120414157001,-0.0,1.0,-0.43033500920901985,-0.36159092040420127,0.0
2018-10-16,-0.18998406215758543,-0.5101852774180695,-0.0,1.0,-0.4294501444366969,-0.36069329614503437,0.0
2018-10-17,-0.1832021515458067,-0.4968294307779615,-0.0,1.0,-0.4262380024180216,-0.36112413333662313,0.0
2018-10-18,-0.18232112425597075,-0.49529501840005924,-0.0,1.0,-0.4298945392575761,-0.3622959322285065,0.0
2018-10-19,-0.1709726443768997,-0.4863957250710854,-0.0,1.0,-0.4322237474262182,-0.3616531032454162,0.0
2018-10-22,-0.17084785703765523,-0.47726937994010504,-0.0,1.0,-0.4388040650007364,-0.36778928764298685,0.0
2018-10-23,-0.16763475264582822,-0.47917794732955943,-0.0,1.0,-0.4434654196406596,-0.3709574206251538,0.0
2018-10-24,-0.16684747768627642,-0.4751467034863652,-0.0,1.0,-0.44711277676414024,-0.3764978549238128,0.0
2018-10-25,-0.1347910592808552,-0.44774052478134113,-0.0,1.0,-0.4838678328474247,-0.36314382896015546,0.0
2018-10-26,-0.12394386539248489,-0.4391112822858243,-0.0,1.0,-0.4868208843848542,-0.35726837252966803,0.0
2018-10-29,-0.11433021806853583,-0.44124131320393,-0.0,1.0,-0.4827462257368799,-0.35803977953510663,0.0
2018-10-30,-0.08689124064611435,-0.4515293148959872,-0.0,1.0,-0.49323129828300194,-0.39009033008015886,0.0
2018-10-31,-0.0908959676643249,-0.4360744875372919,-0.0,1.0,-0.4922529111731306,-0.38670484072755273,0.0
2018-11-01,-0.06687267635555985,-0.46006952827000147,-0.0,1.0,-0.49594418424991554,-0.3912896528414852,0.0
2018-11-02,-0.06845789334423785,-0.4509657710533279,-0.0,1.0,-0.49707743006278116,-0.38890626127534694,0.0
2018-11-05,-0.0717421720461234,-0.4449269069329859,-0.0,1.0,-0.4984078737878129,-0.3972354899406571,0.0
2018-11-06,-0.06703829374697043,-0.44365002423654865,-0.0,1.0,-0.5060349006301502,-0.40693165293262235,0.0
2018-11-07,-0.06655525684807093,-0.44372593184625453,-0.0,1.0,-0.5050497711254813,-0.4066216183487128,0.0
