Date,IWF,IWM,MTUM,NIO,SPY,VLUE,VXX
2019-05-13,-2.5131058720164003,-2.6961487772733927,-2.5517645336066774,1.0,-2.925025626006736,-2.957387611656172,0.0
2019-05-14,-2.45619335347432,-2.632426988922457,-2.5278377211911955,1.0,-2.871241547978708,-2.898431880304992,0.0
2019-05-15,-2.449539965497413,-2.628090856814261,-2.5251581368602647,1.0,-2.873634272570443,-2.899511213341001,0.0
2019-05-16,-2.4454819709811804,-2.6270650768567734,-2.5239189771584543,1.0,-2.8712828616578077,-2.8981468179859213,0.0
2019-05-17,-2.4441091954022993,-2.6288793103448276,-2.521695402298851,1.0,-2.8705459770114943,-2.902586206896552,0.0
2019-05-20,-2.438611589213999,-2.6214859437751,-2.5183591508892715,1.0,-2.8663224325874923,-2.898307515777395,0.0
2019-05-21,-2.432827270123174,-2.617444858206818,-2.515468347178459,1.0,-2.862217129762246,-2.894442853050702,0.0
2019-05-22,-2.4280200142959254,-2.608291636883488,-2.5146533238027162,1.0,-2.857612580414582,-2.8872051465332382,0.0
2019-05-23,-2.428142428142428,-2.6088946088946083,-2.5152295152295148,1.0,-2.859287859287859,-2.8886028886028887,0.0
2019-05-24,-2.4154328018223237,-2.588268792710706,-2.50996583143508,1.0,-2.8466685649202734,-2.876566059225513,0.0
2019-05-28,-2.4180911680911685,-2.5866096866096866,-2.5126780626780625,1.0,-2.8490028490028494,-2.8786324786324786,0.0
2019-05-29,-2.4308594308594307,-2.5988845988845988,-2.523523523523523,1.0,-2.8608608608608606,-2.8858858858858856,0.0
2019-05-30,-2.4362801377726746,-2.6079219288174507,-2.5311423650975886,1.0,-2.875287026406429,-2.900545350172216,0.0
2019-05-31,-2.4622984163882027,-2.64608455615284,-2.5573151242190906,1.0,-2.9161702745895686,-2.9465349411593778,0.0
2019-06-03,-2.445840554592721,-2.629260543038706,-2.5462160600808783,1.0,-2.898613518197574,-2.9225880993645297,0.0
2019-06-04,-2.4472049689440993,-2.6290625451393903,-2.5470171890798783,1.0,-2.899176657518417,-2.9219991333237036,0.0
2019-06-05,-2.4154175588865097,-2.5910064239828694,-2.526338329764454,1.0,-2.870092790863669,-2.87266238401142,0.0
2019-06-06,-2.4309972657936396,-2.621672183047921,-2.5350410130954097,1.0,-2.8939415743272416,-2.908907756511728,0.0
2019-06-07,-2.443833236826867,-2.645338737695426,-2.5479154603358425,1.0,-2.9114070642733063,-2.927475390851187,0.0
2019-06-10,-2.4305916305916306,-2.6382395382395383,-2.5365079365079364,1.0,-2.9028860028860026,-2.9216450216450216,0.0
2019-06-11,-2.4388760139049825,-2.647885283893395,-2.5502607184241017,1.0,-2.9159907300115875,-2.9313441483198144,0.0
2019-06-12,-2.438522809558291,-2.6473569876900793,-2.5497465604634324,1.0,-2.9155684286748733,-2.931064446053584,0.0
2019-06-13,-2.4386676321506155,-2.647212165097755,-2.5497465604634324,1.0,-2.9155684286748733,-2.931064446053584,0.0
2019-06-14,-2.4404692931633836,-2.64382966396292,-2.5535921205098493,1.0,-2.9174391657010426,-2.929026651216686,0.0
2019-06-17,-2.439762525340284,-2.6423399942079353,-2.5528525919490304,1.0,-2.916883869099334,-2.9280335939762527,0.0
2019-06-18,-2.439681390296886,-2.6425778421433743,-2.5530774800868934,1.0,-2.9177407675597395,-2.928892107168718,0.0
2019-06-19,-2.4302208110838506,-2.6318372059460238,-2.5468321547120794,1.0,-2.9083561841535572,-2.9149949487660556,0.0
2019-06-20,-2.43905977945444,-2.6458212420197333,-2.5602147417295416,1.0,-2.929048171793384,-2.935432385374347,0.0
2019-06-21,-2.4321506154960173,-2.6422881969587255,-2.553367125271542,1.0,-2.922954380883418,-2.9314989138305574,0.0
2019-06-24,-2.4346438415784126,-2.647323371536341,-2.5576671986072825,1.0,-2.929638763963441,-2.93819817205861,0.0
2019-06-25,-2.434290687554395,-2.6430229184798377,-2.55932695097186,1.0,-2.9306643458079487,-2.9379170293008414,0.0
2019-06-26,-2.4247031566753545,-2.6408919779901536,-2.551983782218361,1.0,-2.923979148566464,-2.9384593107442805,0.0
2019-06-27,-2.4250543084721214,-2.6415640839971037,-2.553367125271542,1.0,-2.924547429398986,-2.937726285300507,0.0
2019-06-28,-2.4227877385772123,-2.6288316946211685,-2.551764025448236,1.0,-2.9230769230769234,-2.9327646038172355,0.0
2019-07-01,-2.4306178555925335,-2.625235132397627,-2.556214730140356,1.0,-2.9269280856605406,-2.9306902040225724,0.0
2019-07-02,-2.422649140546006,-2.623429149212769,-2.5497616640184892,1.0,-2.9214213491261014,-2.927343637151524,0.0
2019-07-03,-2.4392373744724205,-2.638771648959395,-2.5718236064619417,1.0,-2.9506622034638337,-2.953427448697424,0.0
2019-07-05,-2.442852966968723,-2.648640748319205,-2.5802396959953233,1.0,-2.97076878105817,-2.973253434668226,0.0
2019-07-08,-2.4469674772927044,-2.656753589217697,-2.584676237913859,1.0,-2.979197187225315,-2.9824201582185763,0.0
2019-07-09,-2.46770140428677,-2.6770140428677016,-2.610051736881005,1.0,-3.0115299334811527,-3.015668883961567,0.0
2019-07-10,-2.4732473692011263,-2.684007707129094,-2.6168667555950793,1.0,-3.0219356751148654,-3.0253445975989326,0.0
2019-07-11,-2.4719917012448134,-2.6847954949614703,-2.616182572614108,1.0,-3.021043272080617,-3.0251926496739774,0.0
2019-07-12,-2.482799702159345,-2.7026061057334325,-2.6288905435591956,1.0,-3.03752792256143,-3.0402084884586746,0.0
2019-07-15,-2.4819940476190476,-2.6989583333333336,-2.628869047619048,1.0,-3.036607142857143,-3.0345238095238094,0.0
