Date,IWF,IWM,MTUM,SPY,STOR,VLUE,VXX
2018-09-24,-0.27695404556166536,-0.47297230950510605,-0.0,-0.3992537313432836,1.0,-0.30565102120974075,0.0
2018-09-25,-0.27736187133354606,-0.47274244618443334,-0.0,-0.39908200584178105,1.0,-0.3053435114503817,0.0
2018-09-26,-0.2768694456719203,-0.4724554426277803,-0.0,-0.3992487847989395,1.0,-0.30637796435410225,0.0
2018-09-27,-0.2760706032744973,-0.4756625202812331,-0.0,-0.3996755002704165,1.0,-0.30694724421062985,0.0
2018-09-28,-0.2767490470920939,-0.47534735030124187,-0.0,-0.399852452969384,1.0,-0.30714373539899176,0.0
2018-10-01,-0.27643922188209735,-0.48106546854942234,-0.0,-0.4013281327145255,1.0,-0.3098153451170139,0.0
2018-10-02,-0.27762829848683074,-0.47636444422502533,-0.0,-0.40287823060403344,1.0,-0.3115696971193009,0.0
2018-10-03,-0.27756250462768717,-0.4753313423994867,-0.0,-0.4030900609620653,1.0,-0.31211590196707556,0.0
2018-10-04,-0.2834846273714413,-0.46963813104454727,-0.0,-0.4114373345865591,1.0,-0.3088871849415024,0.0
2018-10-05,-0.2721296136704996,-0.462413512914584,-0.0,-0.41479329278802357,1.0,-0.3129047349370891,0.0
2018-10-08,-0.2695307694200438,-0.4597081764720356,-0.0,-0.4187150906719815,1.0,-0.312639944883246,0.0
2018-10-09,-0.26227479706988716,-0.4633240942387646,-0.0,-0.42610374183330035,1.0,-0.32303009305088104,0.0
2018-10-10,-0.2670322036421377,-0.4637026745397708,-0.0,-0.4303329529102367,1.0,-0.3199275542102913,0.0
2018-10-11,-0.22758221063305809,-0.4522671302332319,-0.0,-0.41486793181708437,1.0,-0.31969192138683666,0.0
2018-10-12,-0.2252891250510928,-0.4507465557452333,-0.0,-0.4129499170493617,1.0,-0.3153566877449448,0.0
2018-10-15,-0.2095126163292718,-0.46450158303751315,-0.0,-0.4096229492468579,1.0,-0.3148805526240046,0.0
2018-10-16,-0.20428015564202334,-0.47463611471393574,-0.0,-0.4088965749147332,1.0,-0.31409424989191526,0.0
2018-10-17,-0.19717941400304412,-0.4605213089802131,-0.0,-0.4057267884322679,1.0,-0.31480688736681883,0.0
2018-10-18,-0.19664684898929846,-0.4594530321046374,-0.0,-0.4070154577883472,1.0,-0.31498216409036867,0.0
2018-10-19,-0.18447656840513985,-0.4502787226001511,-0.0,-0.4115410052910053,1.0,-0.3157596371882086,0.0
2018-10-22,-0.18426461901949204,-0.4433549911399882,-0.0,-0.4154991139988186,1.0,-0.31952746603662135,0.0
2018-10-23,-0.1802026241488125,-0.44636628941561673,-0.0,-0.4219991932996417,1.0,-0.3240800056943554,0.0
2018-10-24,-0.17973731797849052,-0.44265727610164657,-0.0,-0.4264775863709908,1.0,-0.3304939564100124,0.0
2018-10-25,-0.14894315809228895,-0.4164027494311117,-0.0,-0.46294602012808783,1.0,-0.31763905505900014,0.0
2018-10-26,-0.13978419608390305,-0.40858564717920093,-0.0,-0.46476908050788335,1.0,-0.3123110552997535,0.0
2018-10-29,-0.13799995351971928,-0.408561667712473,-0.0,-0.4659880545678496,1.0,-0.3114643612447419,0.0
2018-10-30,-0.13045802058885042,-0.40891873678339874,-0.0,-0.4665256895870611,1.0,-0.3178955685171845,0.0
2018-10-31,-0.1316160984979981,-0.40227730333958206,-0.0,-0.46488000185146616,1.0,-0.3155592584878151,0.0
2018-11-01,-0.10277278981367038,-0.4340150649471794,-0.0,-0.47186399570905524,1.0,-0.3233833166204146,0.0
2018-11-02,-0.10618853219521247,-0.41689088884765263,-0.0,-0.47636388940434216,1.0,-0.3200732974577844,0.0
2018-11-05,-0.10720668446094929,-0.4147383079958222,-0.0,-0.47654636184286875,1.0,-0.322502030869212,0.0
2018-11-06,-0.10329086801593032,-0.4133265016186506,-0.0,-0.48231129329016936,1.0,-0.3300649789226076,0.0
2018-11-07,-0.10291858678955454,-0.4133035423358004,-0.0,-0.4814271749755621,1.0,-0.32977237815947497,0.0
