Date,BTI,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.32246186217780115,-0.7463089601963878,-0.0,-0.7273014203051025,-0.7108188672628442,0.0
2018-09-25,1.0,-0.3204320748742127,-0.7512754653249357,-0.0,-0.7310087611273354,-0.7158087329791352,0.0
2018-09-26,1.0,-0.32236263156042094,-0.7532824105037136,-0.0,-0.7313175402161287,-0.7130486817557816,0.0
2018-09-27,1.0,-0.3282520682978349,-0.7445168104207005,-0.0,-0.7333920084492166,-0.71438127090301,0.0
2018-09-28,1.0,-0.33012752765447756,-0.7440639751990418,-0.0,-0.7338829000211372,-0.7147537518495032,0.0
2018-10-01,1.0,-0.33173534491874934,-0.7431703620148754,-0.0,-0.7350276710493849,-0.7150058162078324,0.0
2018-10-02,1.0,-0.3306916681408102,-0.7621439943392888,-0.0,-0.7327790553688307,-0.7123651158676808,0.0
2018-10-03,1.0,-0.3314273537663814,-0.7486237880456015,-0.0,-0.7434740917001101,-0.7279539723692156,0.0
2018-10-04,1.0,-0.33660165547621584,-0.742015702156382,-0.0,-0.7499378308288038,-0.7239333546484776,0.0
2018-10-05,1.0,-0.31713699695876657,-0.730921564467077,-0.0,-0.7558172430864984,-0.7324068180210764,0.0
2018-10-08,1.0,-0.31386938573898315,-0.7266697244469533,-0.0,-0.7569417492855378,-0.7307271636735702,0.0
2018-10-09,1.0,-0.3138341036587517,-0.7267755706876478,-0.0,-0.7569770313657692,-0.7305860353526443,0.0
2018-10-10,1.0,-0.3151230866897087,-0.7256471750017633,-0.0,-0.7578472173238343,-0.7282923044367637,0.0
2018-10-11,1.0,-0.22036064667679978,-0.7268550504352632,-0.0,-0.7446801160701948,-0.7625742711068122,0.0
2018-10-12,1.0,-0.2232543895467538,-0.715019735946645,-0.0,-0.7245474343269362,-0.7399278617122635,0.0
2018-10-15,1.0,-0.17965671999725927,-0.7711809243208058,-0.0,-0.724759327143787,-0.7503511596834425,0.0
2018-10-16,1.0,-0.17474463563446904,-0.7801124288750256,-0.0,-0.7236580516898609,-0.749194488242956,0.0
2018-10-17,1.0,-0.1476433648471465,-0.7484990683872749,-0.0,-0.7519149817127871,-0.802360085570354,0.0
2018-10-18,1.0,-0.1489220679550687,-0.754378008790902,-0.0,-0.771192353310542,-0.8139607897858089,0.0
2018-10-19,1.0,-0.13001278021484577,-0.7395254049946463,-0.0,-0.7716831888363096,-0.8128907464336292,0.0
2018-10-22,1.0,-0.13188456189151598,-0.7271557719054241,-0.0,-0.7891168289290681,-0.828894297635605,0.0
