Date,IWF,IWM,MTUM,QTRX,SPY,VLUE,VXX
2018-09-24,-1.0709923664122138,-2.3417557251908394,-0.22290076335877862,1.0,-1.5761832061068701,-1.4216793893129769,0.0
2018-09-25,-1.0780689022992895,-2.3389351462837067,-0.2323733862959285,1.0,-1.57360018333206,-1.415781834848369,0.0
2018-09-26,-1.0880411421553575,-2.354467301197421,-0.24278477126189743,1.0,-1.580211851396991,-1.410270187288916,0.0
2018-09-27,-1.1451116546989661,-2.3770220153081354,-0.2626844472500592,1.0,-1.6413635287619348,-1.4646098003629762,0.0
2018-09-28,-1.1529272151898733,-2.3789556962025316,-0.2635284810126582,1.0,-1.6466772151898732,-1.4693037974683543,0.0
2018-10-01,-1.1679948995855913,-2.389862926362767,-0.2639464456487089,1.0,-1.664966528530443,-1.4827064073956007,0.0
2018-10-02,-1.1683950223356732,-2.4001276324186342,-0.26284301212507977,1.0,-1.6638481174218251,-1.4818123803446077,0.0
2018-10-03,-1.1674770825029892,-2.394499800717417,-0.262893583100837,1.0,-1.6636110003985651,-1.482821841371064,0.0
2018-10-04,-1.1784517158818837,-2.38220271348763,-0.2654429369513168,1.0,-1.6781324820430967,-1.4766161213088587,0.0
2018-10-05,-1.1768463073852296,-2.395209580838323,-0.25013972055888223,1.0,-1.6838323353293414,-1.4780039920159682,0.0
2018-10-08,-1.1713512222310691,-2.3865753642805956,-0.24078350187116807,1.0,-1.6888287284019428,-1.4748785731348037,0.0
2018-10-09,-1.1705549804920774,-2.3875308543673857,-0.23799665578469623,1.0,-1.69010271518433,-1.4762321840910901,0.0
2018-10-10,-1.1797349089747684,-2.389811561801342,-0.24480996486745452,1.0,-1.699137655701054,-1.4712551900351327,0.0
2018-10-11,-1.0622845502977123,-2.4500156690692574,-0.03885929175806957,1.0,-1.716546537135694,-1.5668285803823252,0.0
2018-10-12,-1.0756794210485796,-2.433058742012472,-0.02017091385018092,1.0,-1.6657171452767725,-1.504272846254523,0.0
2018-10-15,-1.0173530772790376,-2.5147308344902055,-0.0,1.0,-1.6638901743020207,-1.5165047046120623,0.0
2018-10-16,-1.006876835110493,-2.5397929222685827,-0.0,1.0,-1.6637304898779168,-1.516458043579045,0.0
2018-10-17,-0.9468562305177526,-2.4440051699232113,-0.0,1.0,-1.66137002965103,-1.5505968220177904,0.0
2018-10-18,-0.9575584535843815,-2.467397175708002,-0.0,1.0,-1.7074619955243457,-1.5842271780229955,0.0
2018-10-19,-0.9137195121951219,-2.435899390243902,-0.0,1.0,-1.701295731707317,-1.5711128048780487,0.0
2018-10-22,-0.9143879960393024,-2.4290501942265217,-0.0,1.0,-1.7015766623505217,-1.571711478406581,0.0
2018-10-23,-0.9266748054326263,-2.434152296658019,-0.0,1.0,-1.6978483137494276,-1.5713413703647183,0.0
2018-10-24,-0.9252543799250249,-2.4474026470813253,-0.0,1.0,-1.703389182158978,-1.574477851732844,0.0
