Date,IQ,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-11-28,1.0,-0.0,-2.8760095011876485,-0.0,-4.50332541567696,-3.4971496437054634,0.0
2018-11-29,1.0,-0.0,-2.7785471188827606,-0.0,-4.423072409341627,-3.53409224269452,0.0
2018-11-30,1.0,-0.0,-2.776643192488263,-0.0,-4.426525821596244,-3.5339201877934276,0.0
2018-12-03,1.0,-0.0,-2.771938057250117,-0.0,-4.429258564054435,-3.530267480056312,0.0
2018-12-04,1.0,-0.0,-2.784790963083731,-0.0,-4.3668335856527305,-3.4937696517992314,0.0
2018-12-06,1.0,-0.0,-2.3924866222561976,-0.0,-4.288522441847767,-3.2397073277274213,0.0
2018-12-07,1.0,-0.0,-2.3979892907878924,-0.0,-4.301715659490767,-3.228062506829855,0.0
2018-12-10,1.0,-0.0,-2.3716823516971552,-0.0,-4.1729935497515065,-3.0295019562229033,0.0
2018-12-11,1.0,-0.0,-2.3753836384802622,-0.0,-4.163932691290084,-3.043814160228595,0.0
2018-12-12,1.0,-0.0,-2.376230288919462,-0.0,-4.164461847814583,-3.0424383532648958,0.0
2018-12-13,1.0,-0.0,-2.3546548448385054,-0.0,-4.1754274857504745,-3.0251213848427274,0.0
2018-12-14,1.0,-0.0,-2.3091772151898735,-0.0,-4.210970464135022,-3.0284810126582284,0.0
2018-12-17,1.0,-0.0,-2.2797997705704454,-0.0,-4.068098863280842,-3.0806132026280113,0.0
2018-12-18,1.0,-0.0,-2.1965873096965365,-0.0,-3.979564728721774,-3.041483600694799,0.0
2018-12-19,1.0,-0.0,-2.197342871742463,-0.0,-3.9804803270311697,-3.04200306591722,0.0
2018-12-20,1.0,-0.0,-2.125995363370628,-0.0,-3.9711722608608,-2.9824614454188083,0.0
2018-12-21,1.0,-0.0,-2.1497347612851567,-0.0,-4.0036032429186275,-2.8556701030927836,0.0
2018-12-24,1.0,-0.0,-2.0149783208513994,-0.0,-3.9103271580607015,-2.928852975955853,0.0
2018-12-26,1.0,-0.0,-2.147492913693676,-0.0,-3.7626820447659077,-2.864040660736976,0.0
2018-12-27,1.0,-0.0,-2.0055071133547497,-0.0,-3.2278109224414866,-2.9452042221202386,0.0
2018-12-28,1.0,-0.0,-2.0307621671258036,-0.0,-3.222314049586777,-2.929660238751148,0.0
2018-12-31,1.0,-0.0,-2.0286527688492977,-0.0,-3.2236201671411515,-2.931398659197355,0.0
2019-01-02,1.0,-0.0,-2.036370349856919,-0.0,-3.2254223206867905,-2.9692605926336197,0.0
2019-01-03,1.0,-0.0,-2.033090607429256,-0.0,-3.247580422158724,-2.9368605401419487,0.0
2019-01-04,1.0,-0.0,-2.0564494136896645,-0.0,-3.0928097445686755,-2.9408235614944096,0.0
2019-01-07,1.0,-0.0,-1.9230769230769231,-0.0,-2.982308559535166,-2.7668025323042236,0.0
2019-01-08,1.0,-0.0,-1.8900405977368921,-0.0,-2.9955083354927874,-2.7523538049581067,0.0
2019-01-09,1.0,-0.0,-1.8277085496711667,-0.0,-3.0102111457251644,-2.815593631014192,0.0
