Date,HMN,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.2081601055136623,-0.7035295466926628,-0.05387504659231012,-0.4377383375863749,-0.4639160478252143,0.0
2018-09-25,1.0,-0.20668299006193286,-0.7104421719717701,-0.04825003600748956,-0.44378510730231885,-0.4713812472994383,0.0
2018-09-26,1.0,-0.20654490983464885,-0.7103762170882065,-0.04787693725874287,-0.4439419254479461,-0.4719421559025177,0.0
2018-09-27,1.0,-0.20746840180807874,-0.7074827973397058,-0.04871447902571042,-0.44375665793337743,-0.47168398928972444,0.0
2018-09-28,1.0,-0.20531727971886973,-0.7098539620358902,-0.04931301667770833,-0.44393236742806125,-0.4720165912953308,0.0
2018-10-01,1.0,-0.20618230006914035,-0.7089767227471768,-0.04926250288084812,-0.4444284397326573,-0.4719981562572022,0.0
2018-10-02,1.0,-0.20728909539712503,-0.7435167707274575,-0.04010454479454044,-0.4435022506171047,-0.4696094090315086,0.0
2018-10-03,1.0,-0.20724696591371,-0.7418849079612102,-0.040096393937634284,-0.44387666221473776,-0.4703559607456013,0.0
2018-10-04,1.0,-0.20758935052115085,-0.7412246320006969,-0.040443631507127716,-0.444008942310484,-0.4700519699213192,0.0
2018-10-05,1.0,-0.19544322853337964,-0.7370737073707371,-0.02886341265705518,-0.45263736900005785,-0.48097967691505994,0.0
2018-10-08,1.0,-0.19408550862891338,-0.7351487295117508,-0.02653716069725089,-0.45445610383603613,-0.4805596507964039,0.0
2018-10-09,1.0,-0.19204512583164596,-0.7364188602834827,-0.02074052646803587,-0.4580850448365635,-0.48542088516054377,0.0
2018-10-10,1.0,-0.19310524336987012,-0.7353732249761401,-0.022037770772478815,-0.4587153310003759,-0.48286433178124183,0.0
2018-10-11,1.0,-0.16542571331135614,-0.7364442423553483,-0.0,-0.4512617937933386,-0.4887461634648175,0.0
2018-10-12,1.0,-0.15781517398745007,-0.7441528807758129,-0.0,-0.4561608670849971,-0.4941528807758128,0.0
2018-10-15,1.0,-0.12177396280400574,-0.7864949928469243,-0.0,-0.45321888412017175,-0.49974248927038634,0.0
2018-10-16,1.0,-0.12192051274714584,-0.7863744313142007,-0.0,-0.4532604652493633,-0.4997567884631892,0.0
2018-10-17,1.0,-0.11118035294450897,-0.768065036965697,-0.0,-0.4502166954649746,-0.5031583718097612,0.0
2018-10-18,1.0,-0.11074291217039114,-0.7674115614467387,-0.0,-0.45093041040020393,-0.5032146599824397,0.0
