Date,DNP,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.1314974182444062,-0.2584432969975139,-0.0,-0.28980684643335247,-0.23264486517498564,0.0
2018-09-25,1.0,-0.13249211356466878,-0.2579676895134308,-0.0,-0.28945607494503395,-0.23192811394704138,0.0
2018-09-26,1.0,-0.13239398921729822,-0.2578862845562651,-0.0,-0.2894696593125072,-0.23207662600848852,0.0
2018-09-27,1.0,-0.13275993883792048,-0.2570718654434251,-0.0,-0.28944954128440364,-0.23203363914373087,0.0
2018-09-28,1.0,-0.13066462363531892,-0.26104194598735875,-0.0,-0.29044244397624974,-0.23317372150928942,0.0
2018-10-01,1.0,-0.13141970519782778,-0.27331264546159817,-0.0,-0.29528704422032587,-0.23944918541505045,0.0
2018-10-02,1.0,-0.13359852527408556,-0.26579994178713495,-0.0,-0.2983603376346173,-0.2426506257882992,0.0
2018-10-03,1.0,-0.13323634952962857,-0.2621860149355058,-0.0,-0.2994471923188827,-0.24480651731160896,0.0
2018-10-04,1.0,-0.1386246474078397,-0.25758194728139283,-0.0,-0.30705184320591383,-0.24207761890866647,0.0
2018-10-05,1.0,-0.13388083985434263,-0.2537576508871155,-0.0,-0.3072944913612769,-0.2420004648640273,0.0
2018-10-08,1.0,-0.1318853473619062,-0.2513345195729537,-0.0,-0.30941513229150547,-0.24143199752436945,0.0
2018-10-09,1.0,-0.13196418556980138,-0.2513004969929029,-0.0,-0.3093345709810292,-0.24122527121888962,0.0
2018-10-10,1.0,-0.13210647387446597,-0.2508940480562912,-0.0,-0.30944694670507045,-0.2406100790628443,0.0
2018-10-11,1.0,-0.0938251201923077,-0.24106069711538464,-0.0,-0.29747596153846156,-0.24564302884615385,0.0
2018-10-12,1.0,-0.09261567657072689,-0.23598578578206106,-0.0,-0.29267521256209417,-0.23922305531265697,0.0
2018-10-15,1.0,-0.07786253874566142,-0.2489188336395865,-0.0,-0.28990107095792267,-0.23937858455370567,0.0
2018-10-16,1.0,-0.07367618906008959,-0.2569559318253629,-0.0,-0.2892961359032024,-0.23870416147798448,0.0
