Date,ALK,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.4135040264298988,-0.992525294239108,-0.006772661573404914,-0.7955399545736114,-0.9212884575676235,0.0
2018-09-25,1.0,-0.41420513891790267,-1.0124086066429914,-0.0,-0.8119072487988301,-0.9395028201378733,0.0
2018-09-26,1.0,-0.41267847422853077,-1.013021814679898,-0.0,-0.8145124146882721,-0.9469078423983587,0.0
2018-09-27,1.0,-0.4231156622460971,-1.0024341111297632,-0.0,-0.820169548430418,-0.9509820379385597,0.0
2018-09-28,1.0,-0.4324472573839663,-1.0048523206751054,-0.0,-0.8262869198312237,-0.9557805907172996,0.0
2018-10-01,1.0,-0.4334121022871128,-1.0038821841505612,-0.0,-0.8267786311081103,-0.9556502658452191,0.0
2018-10-02,1.0,-0.4327626294652293,-1.016444726273515,-0.0,-0.8248995983935743,-0.953286831536673,0.0
2018-10-03,1.0,-0.4354127818274284,-1.0261908798101373,-0.0,-0.8251398542125784,-0.9512205458552297,0.0
2018-10-04,1.0,-0.4377487930888456,-1.0213432709409673,-0.0,-0.8275175743203185,-0.9481239942407047,0.0
2018-10-05,1.0,-0.41256646130475144,-1.0092834838382987,-0.0,-0.8357245337159255,-0.9621909021858385,0.0
2018-10-08,1.0,-0.40898375010524546,-1.0046728971962617,-0.0,-0.8360276164014481,-0.9601751283994275,0.0
2018-10-09,1.0,-0.4131580056475745,-1.0069119568424159,-0.0,-0.8359674632275467,-0.9585282589455051,0.0
2018-10-10,1.0,-0.4139548769565402,-1.0263999658804965,-0.0,-0.8459504414210772,-0.978632660894784,0.0
2018-10-11,1.0,-0.3322208487845076,-0.9995467655541821,-0.0,-0.8083642356819118,-0.9801400906468892,0.0
2018-10-12,1.0,-0.3403416022773485,-0.9907686051240342,-0.0,-0.7819845465636437,-0.9535990239934933,0.0
2018-10-15,1.0,-0.3377658492944573,-0.9917856126225042,-0.0,-0.7822374039282665,-0.9547395388556789,0.0
2018-10-16,1.0,-0.3325333550276603,-1.0009355678490075,-0.0,-0.7809144158802473,-0.9533436381386268,0.0
2018-10-17,1.0,-0.3101617089239369,-0.9578758235176682,-0.0,-0.7696945498103414,-0.9550808544619684,0.0
2018-10-18,1.0,-0.30912796738869797,-0.9559587562944609,-0.0,-0.7745583886180162,-0.956798017744385,0.0
2018-10-19,1.0,-0.2950005956399158,-0.9471865941309613,-0.0,-0.7723464241750387,-0.9563991581622524,0.0
2018-10-22,1.0,-0.2950214387803716,-0.9374702239161506,-0.0,-0.7771557884707004,-0.9604573606479276,0.0
2018-10-23,1.0,-0.3043928059844024,-0.9411905140856279,-0.0,-0.7737147859302882,-0.9597326118096451,0.0
2018-10-24,1.0,-0.3016970708636382,-0.9381185167521163,-0.0,-0.7733794364293948,-0.9612098088311276,0.0
2018-10-25,1.0,-0.25886552041756217,-0.8796438440282468,-0.0,-0.7752149217070924,-0.9241633404973901,0.0
2018-10-26,1.0,-0.24605043293331308,-0.8648792343916147,-0.0,-0.7738493088257633,-0.9128816648944251,0.0
2018-10-29,1.0,-0.2324042207178246,-0.8670625165462729,-0.0,-0.7672932188646421,-0.915245263038463,0.0
2018-10-30,1.0,-0.2297338173018754,-0.8668708408953418,-0.0,-0.7672035692679976,-0.9171960072595281,0.0
2018-10-31,1.0,-0.2309255843715888,-0.8565513607106561,-0.0,-0.7636541574133323,-0.9129371024202958,0.0
2018-11-01,1.0,-0.18970097146326656,-0.9048649058894961,-0.0,-0.77500758955677,-0.9251669702489375,0.0
2018-11-02,1.0,-0.1913372422924154,-0.8946850766029886,-0.0,-0.7751087573292984,-0.9217703801777947,0.0
2018-11-05,1.0,-0.18685225811332173,-0.9075573038807776,-0.0,-0.7763068310764808,-0.9117179816930177,0.0
