Date,IWF,IWM,MTUM,SPY,TMP,VLUE,VXX
2018-09-24,-0.18145403019238107,-0.7367158973241049,-0.05498937271785929,-0.3888222791432776,1.0,-0.36296255926753507,0.0
2018-09-25,-0.18428859285794247,-0.7677711854919959,-0.03948841374678159,-0.415286018135005,1.0,-0.3917776782715773,0.0
2018-09-26,-0.1845073181652814,-0.7680855231858505,-0.04007500069963339,-0.4150784988665939,1.0,-0.3907592421571097,0.0
2018-09-27,-0.18379429924722998,-0.7833883109193944,-0.03704643491499619,-0.41977501480165774,1.0,-0.3953311342298909,0.0
2018-09-28,-0.18143852817517425,-0.7863935212618867,-0.03767036315923136,-0.42024323485425663,1.0,-0.396004401930077,0.0
2018-10-01,-0.1809389140271493,-0.7902714932126697,-0.038178733031674204,-0.4209558823529412,1.0,-0.3977375565610859,0.0
2018-10-02,-0.18147727272727276,-0.8110511363636365,-0.032613636363636365,-0.4198579545454546,1.0,-0.3959375,0.0
2018-10-03,-0.18235612073625218,-0.8156524707689683,-0.033370316633950674,-0.4192483855366846,1.0,-0.39421353588802593,0.0
2018-10-04,-0.18161409164172232,-0.8359141146672807,-0.03237969145751784,-0.41966958323739345,1.0,-0.4086173152198941,0.0
2018-10-05,-0.16903266511801313,-0.8324586308755627,-0.020964180217385067,-0.427342338466833,1.0,-0.4180790960451977,0.0
2018-10-08,-0.1673728813559322,-0.8301649106733853,-0.0179512139257902,-0.4299415941365094,1.0,-0.4175732936326157,0.0
2018-10-09,-0.16479669430973629,-0.8332233349593963,-0.008866825446928175,-0.436597893770266,1.0,-0.4260380498723062,0.0
2018-10-10,-0.16911701240037977,-0.8332709957706361,-0.012256523865696119,-0.4406882066921771,1.0,-0.42184308196909975,0.0
2018-10-11,-0.10309365253308607,-0.8393885751215263,-0.0,-0.4263676978841778,1.0,-0.44100705274101554,0.0
2018-10-12,-0.09565853109886402,-0.8462771341806321,-0.0,-0.4277077943988303,1.0,-0.4421606118546845,0.0
2018-10-15,-0.04958229977475551,-0.913665782795883,-0.0,-0.43121489464830504,1.0,-0.45673309953525504,0.0
2018-10-16,-0.043165262105413514,-0.9269818597343238,-0.0,-0.43062419654335105,1.0,-0.4559634337951722,0.0
2018-10-17,-0.034864306534227577,-0.9124430483629057,-0.0,-0.4264368791917819,1.0,-0.4561507768061805,0.0
2018-10-18,-0.036028119507908615,-0.9161517092805714,-0.0,-0.4253925959521515,1.0,-0.4570270423493396,0.0
2018-10-19,-0.016535921891754613,-0.9100965065748632,-0.0,-0.43329194649810937,1.0,-0.4619052993961285,0.0
