Date,IWF,IWM,MTUM,SPY,VLUE,VXX,WVE
2018-09-24,-1.2222885402455663,-2.408253751705321,-0.37363574351978174,-1.840211459754434,-1.6821282401091406,0.0,1.0
2018-09-25,-1.255922531558015,-2.435673525851634,-0.39814974926508734,-1.861922877399274,-1.6943627874805465,0.0,1.0
2018-09-26,-1.257105719237435,-2.4400346620450604,-0.3935008665511265,-1.868544194107452,-1.7062391681109184,0.0,1.0
2018-09-27,-1.2599480968858132,-2.4243079584775087,-0.3968858131487889,-1.8660034602076128,-1.703287197231834,0.0,1.0
2018-09-28,-1.2715091678420312,-2.489157263751763,-0.4052362482369534,-1.906558533145275,-1.7428596614950636,0.0,1.0
2018-10-01,-1.2728555055981663,-2.4875253460283875,-0.4057127743983073,-1.9070792559287666,-1.742836991977431,0.0,1.0
2018-10-02,-1.281358342963819,-2.54467063738999,-0.3982576228998133,-1.9155480487154413,-1.7499333274068805,0.0,1.0
2018-10-03,-1.2809028703456855,-2.541722207411357,-0.39864924908913174,-1.9151337421132142,-1.7501110814893805,0.0,1.0
2018-10-04,-1.2964976383566527,-2.5314143124498707,-0.40201408074146683,-1.9360128330808304,-1.7459228232777826,0.0,1.0
2018-10-05,-1.2663365461137148,-2.5133964099389865,-0.36935184366433815,-1.9410204262092141,-1.7524095852860553,0.0,1.0
2018-10-08,-1.2669326241134753,-2.515868794326241,-0.35647163120567377,-1.9640957446808511,-1.761790780141844,0.0,1.0
2018-10-09,-1.2704117855875043,-2.5193468228612,-0.3605786297479588,-1.9643237486687966,-1.7600283990060348,0.0,1.0
2018-10-10,-1.2751975845839625,-2.517982417192079,-0.36488766539383716,-1.9681200603854008,-1.7540182932244028,0.0,1.0
2018-10-11,-1.1249788171496355,-2.4900016946280292,-0.17208947635993901,-1.9154380613455348,-1.7708015590577868,0.0,1.0
2018-10-12,-1.2447361465950137,-2.6214430446656682,-0.16588846797638973,-1.9718086512201567,-1.80583208527883,0.0,1.0
2018-10-15,-1.2077159140727751,-2.670846120122753,-0.11328364752301621,-1.96755808855765,-1.808680403331872,0.0,1.0
2018-10-16,-1.2063128196085346,-2.7201551754540647,-0.08790336801269616,-1.9813965790865808,-1.8211073884676423,0.0,1.0
2018-10-17,-1.1457621326042378,-2.591336295283664,-0.04143882433356118,-1.9477956254272044,-1.8178400546821598,0.0,1.0
2018-10-18,-1.1442726573844708,-2.5889638677714193,-0.04211155718800718,-1.9491757068420605,-1.817459639531904,0.0,1.0
2018-10-19,-1.1142662812446864,-2.5747321884033325,-0.0,-1.9779799353851386,-1.8349770447202856,0.0,1.0
2018-10-22,-1.1148585506753887,-2.568176025826183,-0.0,-1.9775719989805454,-1.835018265228103,0.0,1.0
2018-10-23,-1.1150186884131836,-2.567957866123004,-0.0,-1.9770642201834863,-1.8346075433231395,0.0,1.0
2018-10-24,-1.1086809087826384,-2.559596473380807,-0.0,-1.975161071549678,-1.834011529331977,0.0,1.0
2018-10-25,-0.9891053677932405,-2.3708151093439365,-0.0,-1.9049701789264415,-1.6874751491053679,0.0,1.0
2018-10-26,-0.9384255650818394,-2.3168355416991426,-0.0,-1.8922057677318787,-1.6467653936087296,0.0,1.0
2018-10-29,-0.8821150855365475,-2.352877138413686,-0.0,-1.8733281493001557,-1.667573872472784,0.0,1.0
2018-10-30,-0.8735141014684175,-2.3513324528008703,-0.0,-1.8720379146919433,-1.672519617745319,0.0,1.0
2018-10-31,-0.8791977253515715,-2.292860985168678,-0.0,-1.8598324752170907,-1.6526550372704218,0.0,1.0
2018-11-01,-0.8752975504875987,-2.2937879136911614,-0.0,-1.858404361514244,-1.6512324349228287,0.0,1.0
2018-11-02,-0.8806015494455416,-2.2230745860549903,-0.0,-1.8620689655172413,-1.6296521342852803,0.0,1.0
2018-11-05,-0.8729592224162807,-2.244665502316045,-0.0,-1.863011618194244,-1.6128787303515832,0.0,1.0
2018-11-06,-0.8898872982028633,-2.2636308254645146,-0.0,-1.8590466037161135,-1.6023454157782517,0.0,1.0
2018-11-07,-0.8916520009182033,-2.2789807942459253,-0.0,-1.8673961282424056,-1.613589410054327,0.0,1.0
2018-11-08,-0.8133843212237093,-2.3133460803059274,-0.0,-1.865697896749522,-1.655755258126195,0.0,1.0
