Date,CHCT,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.31327471453868233,-0.8255785552909568,-0.0,-0.5141051474629054,-0.4001038041155279,0.0
2018-09-25,1.0,-0.31111383408895965,-0.8299228035779929,-0.0,-0.5175223624555815,-0.40479107952456805,0.0
2018-09-26,1.0,-0.31534021125030703,-0.8350528125767623,-0.0,-0.5192520265291083,-0.4008228936379267,0.0
2018-09-27,1.0,-0.31880945075176437,-0.8284443080699601,-0.0,-0.5199754525928199,-0.4011660018410555,0.0
2018-09-28,1.0,-0.3195224503575484,-0.8280084706748917,-0.0,-0.52011785286806,-0.40143633182948163,0.0
2018-10-01,1.0,-0.32145960034752386,-0.8438314509122503,-0.0,-0.5272123619213107,-0.4103884820652848,0.0
2018-10-02,1.0,-0.321674632238843,-0.8444230649866551,-0.0,-0.5270001862081807,-0.4104028303643473,0.0
2018-10-03,1.0,-0.32229813664596274,-0.8467080745341614,-0.0,-0.526832298136646,-0.40975155279503106,0.0
2018-10-04,1.0,-0.3343758796484534,-0.8412410471335189,-0.0,-0.5443655584399337,-0.40765646013824164,0.0
2018-10-05,1.0,-0.3241467364225212,-0.8373505231689088,-0.0,-0.5449364723467862,-0.4076669157947185,0.0
2018-10-08,1.0,-0.3213697523383363,-0.8339392809421708,-0.0,-0.546098629626177,-0.40601597215748425,0.0
2018-10-09,1.0,-0.31379288794450344,-0.8384475970251859,-0.0,-0.5546528341978626,-0.4178801324917192,0.0
2018-10-10,1.0,-0.3181761281842649,-0.8384552794642298,-0.0,-0.5583651499029856,-0.41450209676409844,0.0
2018-10-11,1.0,-0.2519560866136957,-0.8298659549948445,-0.0,-0.5343604051677079,-0.41650997755807606,0.0
2018-10-12,1.0,-0.2462386550526893,-0.8388560638362672,-0.0,-0.5405677042090515,-0.41999147225437045,0.0
2018-10-15,1.0,-0.20806046881694104,-0.8864067568394637,-0.0,-0.5389558724524144,-0.42673970255217575,0.0
2018-10-16,1.0,-0.20739879440653594,-0.8873351488632539,-0.0,-0.5386616076619443,-0.4264863376273676,0.0
2018-10-17,1.0,-0.1953287667099188,-0.8639065753341983,-0.0,-0.5321222728507197,-0.4262047738314373,0.0
2018-10-18,1.0,-0.19510638297872337,-0.8655015197568389,-0.0,-0.5454103343465045,-0.4334650455927051,0.0
2018-10-19,1.0,-0.17878139226386083,-0.8562814676354428,-0.0,-0.5481021435677892,-0.4316982724833429,0.0
2018-10-22,1.0,-0.17901271773853294,-0.8522090289916219,-0.0,-0.5493641130733531,-0.4330962570068109,0.0
2018-10-23,1.0,-0.18139086416777148,-0.8522357478606725,-0.0,-0.5474569121369169,-0.432053754369049,0.0
