Date,GME,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.847985217823893,-2.091393646507,-0.0,-1.5644232819273682,-1.6030132897448655,0.0
2018-09-25,1.0,-0.8534724721122706,-2.1225620726880177,-0.0,-1.5899244332493705,-1.630874415257287,0.0
2018-09-26,1.0,-0.8682933893273477,-2.1425675186445585,-0.0,-1.600970241112157,-1.6288465715733833,0.0
2018-09-27,1.0,-0.869068287037037,-2.1376591435185186,-0.0,-1.599609375,-1.627459490740741,0.0
2018-09-28,1.0,-0.8667534722222222,-2.1400462962962963,-0.0,-1.599464699074074,-1.6276041666666667,0.0
2018-10-01,1.0,-0.8724807887487313,-2.141075830071045,-0.0,-1.6051181673191242,-1.630853994490358,0.0
2018-10-02,1.0,-0.8773557552913888,-2.123586546825167,-0.0,-1.610829225862569,-1.6367062916787474,0.0
2018-10-03,1.0,-0.8780806030733546,-2.123151638155987,-0.0,-1.6106842563061756,-1.6365613221223543,0.0
2018-10-04,1.0,-0.8836906141367323,-2.111819235225956,-0.0,-1.616816338354577,-1.6298522595596754,0.0
2018-10-05,1.0,-0.8417146974063401,-2.0920749279538904,-0.0,-1.6255043227665704,-1.6452449567723342,0.0
2018-10-08,1.0,-0.8329144826595821,-2.0809937531413802,-0.0,-1.6265527392834063,-1.6399080921950169,0.0
2018-10-09,1.0,-0.8254391016412324,-2.0854448603512816,-0.0,-1.6352577022746906,-1.6521739130434785,0.0
2018-10-10,1.0,-0.8252266513167362,-2.0845445387825587,-0.0,-1.63519930925313,-1.650309397035545,0.0
2018-10-11,1.0,-0.6330481133398793,-2.0875298078271847,-0.0,-1.5935615093280964,-1.6994669659138728,0.0
2018-10-12,1.0,-0.6386647354989999,-2.0698668873715427,-0.0,-1.5438995792813297,-1.6445961790468306,0.0
2018-10-15,1.0,-0.5905128029106885,-2.1036589551726506,-0.0,-1.5298276927301435,-1.6408320175739688,0.0
2018-10-16,1.0,-0.5836594576038449,-2.115482320631651,-0.0,-1.5277720562993478,-1.6387916237555784,0.0
2018-10-17,1.0,-0.5242893367142667,-2.0098758841585482,-0.0,-1.4989990657947418,-1.6397971440010677,0.0
2018-10-18,1.0,-0.5229547577739223,-2.0074736420659285,-0.0,-1.5020018684105165,-1.64046443347124,0.0
2018-10-19,1.0,-0.47887416782018327,-1.9771274141454087,-0.0,-1.4997033814514533,-1.6358842528508337,0.0
2018-10-22,1.0,-0.48056141275698466,-1.9739061676331047,-0.0,-1.4994069583552978,-1.6354111755403267,0.0
