Date,IWF,IWM,MTUM,SPY,VLUE,VVI,VXX
2018-09-24,-0.1738432601880878,-0.6669090909090909,-0.0,-0.33213793103448275,-0.3349717868338558,1.0,0.0
2018-09-25,-0.17164554415610542,-0.6699607724803863,-0.0,-0.33454033393683363,-0.3384379400523033,1.0,0.0
2018-09-26,-0.17064210950080516,-0.6695350241545893,-0.0,-0.33501912238325277,-0.34088164251207725,1.0,0.0
2018-09-27,-0.1716750069152815,-0.6671360675937335,-0.0,-0.33505167601277436,-0.340810219528755,1.0,0.0
2018-09-28,-0.17277987421383648,-0.6665408805031446,-0.0,-0.33537106918238996,-0.3410566037735849,1.0,0.0
2018-10-01,-0.17241813602015113,-0.6688161209068009,-0.0,-0.3356675062972292,-0.34201511335012597,1.0,0.0
2018-10-02,-0.17166494312306102,-0.6759906171967615,-0.0,-0.3341993089010518,-0.3404040658814034,1.0,0.0
2018-10-03,-0.17175716915937347,-0.675325985522964,-0.0,-0.33435900022699183,-0.34071477212540036,1.0,0.0
2018-10-04,-0.1735995562950638,-0.6720617153229466,-0.0,-0.3365350678162658,-0.3388544345283114,1.0,0.0
2018-10-05,-0.16838928706148623,-0.6724003520684019,-0.0,-0.33562177794542936,-0.33836288193134667,1.0,0.0
2018-10-08,-0.1682637893307176,-0.6729797027088206,-0.0,-0.33549636560275664,-0.3383887924746598,1.0,0.0
2018-10-09,-0.17102514409403236,-0.6741587173743424,-0.0,-0.335002894465279,-0.33676474289597547,1.0,0.0
2018-10-10,-0.16978801703929625,-0.6763037834295363,-0.0,-0.3350893554810576,-0.3394247977213722,1.0,0.0
2018-10-11,-0.12897435266924043,-0.6723387513217105,-0.0,-0.31743182432930883,-0.3402513094154966,1.0,0.0
2018-10-12,-0.12945527090480013,-0.6704376809478626,-0.0,-0.3054521567768776,-0.32756733085176265,1.0,0.0
2018-10-15,-0.1055702788786501,-0.6953001531765908,-0.0,-0.30146611879695595,-0.3290622188723285,1.0,0.0
2018-10-16,-0.10386074102888262,-0.6979480696294855,-0.0,-0.300909267723427,-0.328479043080813,1.0,0.0
2018-10-17,-0.09952618092152975,-0.6905913068703765,-0.0,-0.29869941497848473,-0.32862737513900303,1.0,0.0
2018-10-18,-0.09961315280464217,-0.691223404255319,-0.0,-0.29833172147001935,-0.3286266924564797,1.0,0.0
2018-10-19,-0.09446199098295441,-0.6926730477131904,-0.0,-0.2967427731031656,-0.3270728355474118,1.0,0.0
2018-10-22,-0.09542546771273386,-0.696318648159324,-0.0,-0.29590826795413394,-0.3263488231744116,1.0,0.0
2018-10-23,-0.09540363074546157,-0.6963354577056778,-0.0,-0.2959395519505601,-0.3263567014291232,1.0,0.0
2018-10-24,-0.09407362703681352,-0.6930597465298733,-0.0,-0.2972842486421243,-0.3295594447797224,1.0,0.0
2018-10-25,-0.08137548056386161,-0.6789358773553563,-0.0,-0.2956713655133134,-0.31717214865442117,1.0,0.0
2018-10-26,-0.07982765559527473,-0.6759072938614142,-0.0,-0.29594469827892333,-0.3156885490400322,1.0,0.0
2018-10-29,-0.13890776064802718,-0.7244577998432192,-0.0,-0.39095897569898097,-0.35868826757251115,1.0,0.0
2018-10-30,-0.1436903360795083,-0.7249640381849091,-0.0,-0.39134301033084873,-0.35538119523996337,1.0,0.0
2018-10-31,-0.1441479082885047,-0.7222802527811145,-0.0,-0.39058338120854447,-0.354389721627409,1.0,0.0
2018-11-01,-0.13106542836272567,-0.7325472190337056,-0.0,-0.3903266200563498,-0.3548471251173954,1.0,0.0
2018-11-02,-0.13014075646772036,-0.7424969201331552,-0.0,-0.39018636470865764,-0.3583392309506959,1.0,0.0
2018-11-05,-0.13341039854977274,-0.7359903318183012,-0.0,-0.3912723642382366,-0.3665764653337887,1.0,0.0
2018-11-06,-0.13548726030995537,-0.7372471762542684,-0.0,-0.3897031783556606,-0.3642763330706593,1.0,0.0
2018-11-07,-0.1369754552652415,-0.740089733438902,-0.0,-0.39466877804169964,-0.36748482449195036,1.0,0.0
2018-11-08,-0.11898336171885235,-0.741831521027119,-0.0,-0.3882090921000917,-0.3712039827066684,1.0,0.0
2018-11-09,-0.11732093121025804,-0.7442062115718114,-0.0,-0.39316306689789277,-0.37290451416259396,1.0,0.0
2018-11-12,-0.11677360219981667,-0.7353934791148357,-0.0,-0.39591462616210554,-0.3707476757889223,1.0,0.0
2018-11-13,-0.09510063972538617,-0.7367504030790035,-0.0,-0.39975035106880946,-0.3688823009309825,1.0,0.0
