Date,IWF,IWM,MDT,MTUM,SPY,VLUE,VXX
2018-09-24,-0.27944919568316023,-0.43071675829769906,1.0,-0.08926389737324372,-0.4058745672979026,-0.3400020362451639,0.0
2018-09-25,-0.28322123713441355,-0.42927748904514423,1.0,-0.09421175991032305,-0.4043106083766433,-0.33661979007439113,0.0
2018-09-26,-0.2834178279367182,-0.4294703589534558,1.0,-0.09464244771100298,-0.4041474536978066,-0.33587241739484885,0.0
2018-09-27,-0.2852232802077499,-0.4247161260756657,1.0,-0.09603340292275572,-0.4042211925250776,-0.3357604766026783,0.0
2018-09-28,-0.2820702497257863,-0.4297885365915874,1.0,-0.09657424176721169,-0.4053006147488713,-0.33709154911613903,0.0
2018-10-01,-0.28158338012352613,-0.4310652850798836,1.0,-0.09688122096881222,-0.40516053289775916,-0.3375019141442499,0.0
2018-10-02,-0.2837361402074498,-0.4160237085483624,1.0,-0.1023708548362373,-0.40994328342956415,-0.34275203106637375,0.0
2018-10-03,-0.2836960964643368,-0.41549151849581034,1.0,-0.1024167177600654,-0.41005007153075823,-0.3430155323932148,0.0
2018-10-04,-0.2915416762813117,-0.40894290182806453,1.0,-0.10278696510524832,-0.4213522036766403,-0.33928159372355976,0.0
2018-10-05,-0.2851375865504995,-0.4041237640205422,1.0,-0.09611896062750709,-0.42584123253021283,-0.3437747515266103,0.0
2018-10-08,-0.283964478922119,-0.4018832295600694,1.0,-0.09308972134326834,-0.4291364703480657,-0.34372767173624574,0.0
2018-10-09,-0.2870872098967386,-0.40292403639709645,1.0,-0.09886514671301504,-0.42712912790103263,-0.3399959104386055,0.0
2018-10-10,-0.28795196116008687,-0.40191644308164054,1.0,-0.09988501341510157,-0.4275967803756228,-0.33795834930369234,0.0
2018-10-11,-0.260680340170085,-0.4013006503251626,1.0,-0.06075537768884442,-0.42588794397198604,-0.3526263131565783,0.0
2018-10-12,-0.26204617181481576,-0.39775353495191473,1.0,-0.058099947814418136,-0.4214606992867971,-0.34569220446807986,0.0
2018-10-15,-0.2614192394625071,-0.39840043714761175,1.0,-0.056406944685924346,-0.4219219592161148,-0.3456446685377909,0.0
2018-10-16,-0.26248695392873117,-0.39528353461557575,1.0,-0.05904279111376174,-0.4221211669400129,-0.34603150936832167,0.0
2018-10-17,-0.2593691288440621,-0.3876198951844161,1.0,-0.05651142094334025,-0.4213141501038268,-0.34722634233165234,0.0
2018-10-18,-0.25806292045904233,-0.3857588049070043,1.0,-0.05765235457063712,-0.42399584487534625,-0.347793826671943,0.0
2018-10-19,-0.25420974889217135,-0.3809699655342196,1.0,-0.053200393894633186,-0.4260955194485475,-0.3473904480551453,0.0
2018-10-22,-0.2523496240601504,-0.3932776018994856,1.0,-0.062450534230312625,-0.4212999604273842,-0.3439354966363276,0.0
2018-10-23,-0.252287905021024,-0.39332179074944346,1.0,-0.06223101657185258,-0.4215186742517932,-0.3440514469453376,0.0
2018-10-24,-0.25239142793583313,-0.3923919222878612,1.0,-0.06033566502706578,-0.42220134958103667,-0.34443977556417926,0.0
2018-10-25,-0.23594309493854637,-0.3680199361269718,1.0,-0.057727668634472075,-0.4291348108003484,-0.32860737443143323,0.0
2018-10-26,-0.22835648704513772,-0.36355333365379994,1.0,-0.04492140556650483,-0.43976830264865646,-0.32687593135605447,0.0
2018-10-29,-0.22836064785889365,-0.36348344307204306,1.0,-0.04327870428221272,-0.44138991685490464,-0.3265247272552506,0.0
2018-10-30,-0.22544449783757808,-0.36386352715040843,1.0,-0.041374339259971166,-0.44207111965401247,-0.3299375300336377,0.0
2018-10-31,-0.2274325067553026,-0.3534278677156316,1.0,-0.04256438460986633,-0.4406609435902341,-0.3271479471053827,0.0
2018-11-01,-0.21624467525008376,-0.37110515483654816,1.0,-0.028574163595462592,-0.44555592782271575,-0.33166610826592635,0.0
2018-11-02,-0.2169069305983887,-0.36835688158932794,1.0,-0.02830572091132946,-0.44607807980109493,-0.3310382748810634,0.0
2018-11-05,-0.21528607619138662,-0.3726877300320252,1.0,-0.028296926533148508,-0.4463457769705081,-0.3273027101954973,0.0
2018-11-06,-0.21693311348483763,-0.37376633928358066,1.0,-0.027696131144407006,-0.44536047984323845,-0.3258776017396707,0.0
