Date,ERII,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.9426768515443374,-1.7898372633676518,-0.09704417137163733,-1.473397542344736,-1.3393556957821324,0.0
2018-09-25,1.0,-0.94309806785738,-1.7881946749883806,-0.09853263395524867,-1.4720138105039506,-1.3377597769072438,0.0
2018-09-26,1.0,-0.943824701195219,-1.7891102257636122,-0.09999999999999999,-1.4717131474103584,-1.3355245683930943,0.0
2018-09-27,1.0,-0.9450964790133279,-1.7802532988528612,-0.10211524434719184,-1.4698627411975334,-1.333598567734235,0.0
2018-09-28,1.0,-0.945752370846873,-1.779759931029909,-0.10279196233171961,-1.469792426553485,-1.333642814510246,0.0
2018-10-01,1.0,-0.9478503184713375,-1.7783970276008494,-0.10310509554140128,-1.4712712314225054,-1.3341295116772824,0.0
2018-10-02,1.0,-0.9484316852737906,-1.7927299308878257,-0.10134237107921318,-1.4699627857522595,-1.3328681552365762,0.0
2018-10-03,1.0,-0.9482884679295447,-1.776404120970422,-0.09916915918909937,-1.4775672981056829,-1.3452974410103025,0.0
2018-10-04,1.0,-0.9501328021248339,-1.7694555112881805,-0.10033200531208498,-1.4792828685258963,-1.340969455511288,0.0
2018-10-05,1.0,-0.9295570079883806,-1.7578398362712089,-0.0742061134217997,-1.4888096652802536,-1.351620782993332,0.0
2018-10-08,1.0,-0.9312351229833377,-1.761769373181698,-0.07451732345940228,-1.4904787093361545,-1.3539407564136472,0.0
2018-10-09,1.0,-0.928301886792453,-1.765574313141344,-0.06381992717643165,-1.4983780205230057,-1.364184045018206,0.0
2018-10-10,1.0,-0.9288644785600847,-1.7640947591318157,-0.06425357331921651,-1.4986103758602436,-1.3614346214928534,0.0
2018-10-11,1.0,-0.8064126984126985,-1.7304126984126984,-0.0,-1.4496507936507936,-1.3626666666666667,0.0
2018-10-12,1.0,-0.8160430484294833,-1.7152421474158428,-0.0,-1.4105243398823677,-1.3152922037291954,0.0
2018-10-15,1.0,-0.7695093020352104,-1.7576476463978026,-0.0,-1.4007366712448497,-1.315083031589462,0.0
2018-10-16,1.0,-0.763438846225885,-1.7678716363863396,-0.0,-1.3988262471124429,-1.3132921271149405,0.0
2018-10-17,1.0,-0.7203777033201341,-1.6901614377094123,-0.0,-1.3739262869326836,-1.3075236064575084,0.0
2018-10-18,1.0,-0.721927416895395,-1.6947240012198839,-0.0,-1.3737114974077462,-1.309057639524245,0.0
2018-10-19,1.0,-0.6928601605407689,-1.6724002655561592,-0.0,-1.369424829500875,-1.300621642826966,0.0
2018-10-22,1.0,-0.6929015137808334,-1.662143417164224,-0.0,-1.3724745190278027,-1.3035401966105782,0.0
2018-10-23,1.0,-0.6949837212106595,-1.661702640781382,-0.0,-1.3703123115880864,-1.302182563607862,0.0
2018-10-24,1.0,-0.6912978018669076,-1.6551641071966274,-0.0,-1.371093044263776,-1.3046672688949112,0.0
2018-10-25,1.0,-0.6180431139108825,-1.5574177888227476,-0.0,-1.3682598393342196,-1.2355660868057563,0.0
2018-10-26,1.0,-0.579556523233828,-1.5375580129490631,-0.0,-1.3888156763880135,-1.2238583624591761,0.0
2018-10-29,1.0,-0.5406144901100154,-1.5542951604628628,-0.0,-1.3723422447699936,-1.2329704155503618,0.0
2018-10-30,1.0,-0.5418163160595176,-1.5544153697052618,-0.0,-1.372384698705889,-1.2323128669973205,0.0
2018-10-31,1.0,-0.5465891122656427,-1.5158120623447031,-0.0,-1.364976281906483,-1.2197876665913712,0.0
2018-11-01,1.0,-0.5488245931283906,-1.5151446654611211,-0.0,-1.3663539783001808,-1.2206713381555154,0.0
2018-11-02,1.0,-0.5520739910313901,-1.4764573991031391,-0.0,-1.3682174887892375,-1.208688340807175,0.0
2018-11-05,1.0,-0.6131681961111467,-1.857986267085927,-0.0,-1.616312648398896,-1.3298466277353527,0.0
2018-11-06,1.0,-0.6271622403703941,-1.8722911709857883,-0.0,-1.6112790174265321,-1.3196578998135169,0.0
2018-11-07,1.0,-0.6251766217084136,-1.871290944123314,-0.0,-1.6084778420038535,-1.3177263969171482,0.0
2018-11-08,1.0,-0.5643879173290938,-1.8761844197138315,-0.0,-1.589825119236884,-1.3289030206677264,0.0
2018-11-09,1.0,-0.5644351198423294,-1.8753258312670862,-0.0,-1.5895479687201983,-1.3283743403903616,0.0
2018-11-12,1.0,-0.560348638918714,-1.848102065306638,-0.0,-1.5896545190425064,-1.3178172172045728,0.0
2018-11-13,1.0,-0.5184908013719988,-1.8352354225132523,-0.0,-1.5827252884315561,-1.2999064546304957,0.0
2018-11-14,1.0,-0.5212507021157086,-1.8349247956063157,-0.0,-1.584597141608937,-1.3002558821693815,0.0
2018-11-15,1.0,-0.5184931506849315,-1.8339975093399754,-0.0,-1.5854919053549192,-1.2886052303860522,0.0
2018-11-16,1.0,-0.5102509940357853,-1.8154199801192845,-0.0,-1.585052186878728,-1.3020004970178927,0.0
2018-11-19,1.0,-0.516786868938075,-1.8148470529718974,-0.0,-1.5834369559810992,-1.302287988062671,0.0
2018-11-20,1.0,-0.4362076415036109,-1.8002592432565891,-0.0,-1.5937287821739399,-1.3422628232825133,0.0
2018-11-21,1.0,-0.4477018177367036,-1.791908929555052,-0.0,-1.593365567048167,-1.2874104902380807,0.0
2018-11-23,1.0,-0.4497066731850403,-1.7705328770471767,-0.0,-1.6014421901735518,-1.2892935712539721,0.0
2018-11-26,1.0,-0.45126729521244024,-1.7697440920778742,-0.0,-1.6067711521978694,-1.29441655442635,0.0
2018-11-27,1.0,-0.43593484074884514,-1.7667760758570386,-0.0,-1.5946389496717726,-1.2809384877218577,0.0
2018-11-28,1.0,-0.4366984744423509,-1.766547134261229,-0.0,-1.5939342369172793,-1.2807390749407401,0.0
2018-11-29,1.0,-0.36615811373092927,-1.7524573358258455,-0.0,-1.6035096182837845,-1.3081468974250738,0.0
