Date,IWF,IWM,MTUM,RSG,SPY,VLUE,VXX
2018-09-24,-0.26894241132093155,-0.30994330162597816,-0.09495806194648798,1.0,-0.382011152242163,-0.2870999484560236,0.0
2018-09-25,-0.2678273536805996,-0.31369093771292966,-0.09163318531049552,1.0,-0.38521181363219853,-0.2912290594675877,0.0
2018-09-26,-0.2674082261364438,-0.31357147896432513,-0.08969263692589893,1.0,-0.38637913599698986,-0.2946170307833408,0.0
2018-09-27,-0.26709959765652574,-0.3149808239806122,-0.08940966094915413,1.0,-0.38655561045622455,-0.29484012140890803,0.0
2018-09-28,-0.26592465350495326,-0.3160929006753418,-0.08972398051627173,1.0,-0.38645080829235,-0.2949384662446761,0.0
2018-10-01,-0.265514643563424,-0.31719088426405495,-0.08995668142009605,1.0,-0.38631227045861194,-0.29527262454091724,0.0
2018-10-02,-0.2654498351389543,-0.31924163918982573,-0.08959020254357042,1.0,-0.38591615638247767,-0.2949599623174753,0.0
2018-10-03,-0.26546233925290874,-0.3191860191247821,-0.08968863347307929,1.0,-0.38588722973291256,-0.29504451457911346,0.0
2018-10-04,-0.2675300211914292,-0.31563456557570047,-0.09004002825523899,1.0,-0.38858017424064045,-0.2927949140569814,0.0
2018-10-05,-0.2622197204240548,-0.31067642367951964,-0.08452950558213716,1.0,-0.3920630453138193,-0.29594708696875877,0.0
2018-10-08,-0.26127330284910305,-0.30894594911478485,-0.08054871614491733,1.0,-0.3973502169070231,-0.2967991558213155,0.0
2018-10-09,-0.2590974228862734,-0.3109920830690441,-0.07327272300138606,1.0,-0.40249489040806263,-0.3033805530105481,0.0
2018-10-10,-0.2594993189610634,-0.3102719458926307,-0.07376356206847964,1.0,-0.40270536846554883,-0.3021699309567423,0.0
2018-10-11,-0.2404000919751667,-0.3040239135433433,-0.047850080478270864,1.0,-0.39940216141641754,-0.30767992641986663,0.0
2018-10-12,-0.24127136459190204,-0.29994973037199524,-0.045379764189744994,1.0,-0.3963988666483868,-0.3019833653230966,0.0
2018-10-15,-0.23544303797468355,-0.30847302999201737,-0.03701676359904208,1.0,-0.3967385106625613,-0.3030904322043563,0.0
2018-10-16,-0.23463266656022627,-0.3118399744543029,-0.034532308464293046,1.0,-0.39684784344137036,-0.3030358324019798,0.0
2018-10-17,-0.23026613560242598,-0.3008735403276908,-0.03102652303792885,1.0,-0.395876708608672,-0.30501493618176884,0.0
2018-10-18,-0.23001380309098726,-0.30043219514402736,-0.031181408820401425,1.0,-0.396193967370398,-0.3049577987464078,0.0
2018-10-19,-0.22362119747285114,-0.2924432852935225,-0.024619466240978483,1.0,-0.40128605796254246,-0.3064055579288172,0.0
2018-10-22,-0.2250202356327008,-0.2890322870761759,-0.02077524957280331,1.0,-0.4043753934706359,-0.3091779836316215,0.0
2018-10-23,-0.2246389851095416,-0.289441720275316,-0.01956903144540915,1.0,-0.40566377254937247,-0.3099779567231994,0.0
2018-10-24,-0.22428266006526384,-0.2907167773151794,-0.019781703612017552,1.0,-0.4061888151232137,-0.30953077528974904,0.0
2018-10-25,-0.21407397575435802,-0.27360410583134237,-0.01825059729227502,1.0,-0.40806123351915763,-0.2982036987877179,0.0
2018-10-26,-0.2046582412492556,-0.2729217671320497,-0.0,1.0,-0.4278435783762324,-0.3001830653521251,0.0
2018-10-29,-0.1791038154392192,-0.29627329192546586,-0.0,1.0,-0.42464507542147295,-0.31827861579414374,0.0
2018-10-30,-0.16160042725532958,-0.2997018113845743,-0.0,1.0,-0.4283457207708398,-0.3356179625261472,0.0
2018-10-31,-0.16242066486174606,-0.2952154808929919,-0.0,1.0,-0.42738893080644447,-0.334161821490391,0.0
2018-11-01,-0.1603007718924674,-0.29666844113210894,-0.0,1.0,-0.427091651140094,-0.33404311951024757,0.0
2018-11-02,-0.166692469313281,-0.2728740462235984,-0.0,1.0,-0.4394559327656751,-0.33261085922813227,0.0
2018-11-05,-0.16612493090105032,-0.2743173023770039,-0.0,1.0,-0.4394914317302377,-0.3312548369264787,0.0
2018-11-06,-0.16644185480839396,-0.2745284479136722,-0.0,1.0,-0.43922340402007826,-0.331070472989408,0.0
2018-11-07,-0.16626878868258177,-0.27446949602122017,-0.0,1.0,-0.4387931034482758,-0.33087975243147655,0.0
2018-11-08,-0.1582222808637903,-0.2734309715441791,-0.0,1.0,-0.43567753001715265,-0.331750010995294,0.0
2018-11-09,-0.15711612548156303,-0.2743643368189323,-0.0,1.0,-0.4378205833791965,-0.3321298844248762,0.0
2018-11-12,-0.15731892176893164,-0.26094597860234187,-0.0,1.0,-0.4469562160855906,-0.33164173202399,0.0
2018-11-13,-0.1430190982820267,-0.2566931193860644,-0.0,1.0,-0.4506627714310631,-0.32977239033749023,0.0
2018-11-14,-0.14314054631466502,-0.25656733012142746,-0.0,1.0,-0.4506550979921955,-0.32968542216215035,0.0
2018-11-15,-0.1428260396255171,-0.2568909209666884,-0.0,1.0,-0.4527759634225996,-0.32473328978880905,0.0
2018-11-16,-0.14293800069662138,-0.25663967258794845,-0.0,1.0,-0.452477359804946,-0.3249085684430512,0.0
2018-11-19,-0.14392686112320419,-0.2563125816282107,-0.0,1.0,-0.45185023944275143,-0.3246843709185894,0.0
2018-11-20,-0.10675206252713851,-0.25167173252279634,-0.0,1.0,-0.4625705601389492,-0.3500868432479375,0.0
2018-11-21,-0.11238546944055192,-0.24786029966584028,-0.0,1.0,-0.4637490568071575,-0.33187452840357873,0.0
2018-11-23,-0.11330346372565915,-0.24015595381699123,-0.0,1.0,-0.4675383422367741,-0.33308202653799757,0.0
