Date,IWF,IWM,LHCG,MTUM,SPY,VLUE,VXX
2018-09-24,-0.37110792900196476,-0.8900063272170236,1.0,-0.0372639781544507,-0.5348829464850645,-0.4968863432015718,0.0
2018-09-25,-0.3809380234505863,-0.8922948073701842,1.0,-0.046599664991624795,-0.5361474036850921,-0.494070351758794,0.0
2018-09-26,-0.38169268913757287,-0.8933190377269986,1.0,-0.04824767137974938,-0.5357836896066475,-0.4915231521811968,0.0
2018-09-27,-0.38249079343823233,-0.8898560428523601,1.0,-0.04917977904251757,-0.5352862403749581,-0.4910277870773351,0.0
2018-09-28,-0.38306991695687115,-0.8893651218858827,1.0,-0.049491025984462894,-0.5354272702919903,-0.49115992499330297,0.0
2018-10-01,-0.38262792801849804,-0.8910559297610671,1.0,-0.04996481351161154,-0.5355383532723434,-0.4919071076706545,0.0
2018-10-02,-0.382693663745341,-0.9026560558745509,1.0,-0.04717773076793929,-0.5346361774285618,-0.49068197844263123,0.0
2018-10-03,-0.40387429447425266,-0.9744617099853669,1.0,-0.051250783917497045,-0.555466518012682,-0.4990244582259076,0.0
2018-10-04,-0.40600954005779744,-0.9695344869607603,1.0,-0.051948051948051945,-0.5580933811496813,-0.4961526409247588,0.0
2018-10-05,-0.3906695404296739,-0.9652367378154766,1.0,-0.03413752346520197,-0.5730376138496835,-0.5132448028923033,0.0
2018-10-08,-0.38894870280971067,-0.9625950751918869,1.0,-0.02879172020977321,-0.5790296252561387,-0.513701246830827,0.0
2018-10-09,-0.38651865256124723,-0.9658616369710469,1.0,-0.019731347438752784,-0.5857113028953229,-0.5221325167037862,0.0
2018-10-10,-0.38946745149942535,-0.9649959945665424,1.0,-0.02236076765002961,-0.5881021211382398,-0.5180244505590192,0.0
2018-10-11,-0.33075031164718166,-0.9555271048819108,1.0,-0.0,-0.562885347528722,-0.5199959570095347,0.0
2018-10-12,-0.32661817450474306,-0.9562564944859719,1.0,-0.0,-0.5567324774578487,-0.5123520933194785,0.0
2018-10-15,-0.2727925832164483,-1.0461154254045362,1.0,-0.0,-0.5666244740173103,-0.5354931408436249,0.0
2018-10-16,-0.2723976328122328,-1.0466938049464647,1.0,-0.0,-0.5664146683542572,-0.5352854650566141,0.0
2018-10-17,-0.24705526014673218,-1.0035000336541697,1.0,-0.0,-0.5646160059231339,-0.5502120212694352,0.0
2018-10-18,-0.24849956166970125,-1.0078899453773014,1.0,-0.0,-0.563895070470025,-0.5514869512441837,0.0
2018-10-19,-0.22681278784415235,-1.0004034020237336,1.0,-0.0,-0.5756883047029953,-0.5588126533768111,0.0
2018-10-22,-0.22750042023869557,-0.999798285426122,1.0,-0.0,-0.5756933938477056,-0.5589174651201884,0.0
2018-10-23,-0.2342029961285979,-1.0018178757784886,1.0,-0.0,-0.5725298771250632,-0.5578858777983505,0.0
2018-10-24,-0.23210441334768572,-0.9978471474703984,1.0,-0.0,-0.5733988159311088,-0.5604480624327234,0.0
2018-10-25,-0.1931437855402112,-0.9492770105605198,1.0,-0.0,-0.5815109666937449,-0.5254589764419171,0.0
2018-10-26,-0.17594733461785483,-0.9343609505459216,1.0,-0.0,-0.58538856775851,-0.5156069364161849,0.0
