Date,IWF,IWM,MTUM,SBCF,SPY,VLUE,VXX
2018-09-24,-0.28797789914899025,-0.867204369363648,-0.1823637749269656,1.0,-0.4580210847199289,-0.37987425377873746,0.0
2018-09-25,-0.2883504855308578,-0.8893118688905378,-0.16966158015291802,1.0,-0.4771106881311094,-0.4016517727522018,0.0
2018-09-26,-0.28809731229632496,-0.8892007872745459,-0.1688445778078921,1.0,-0.4774949182073372,-0.40292969380182625,0.0
2018-09-27,-0.28714761950998474,-0.8977246981907628,-0.16707123668964624,1.0,-0.4795287568372333,-0.4050878726089911,0.0
2018-09-28,-0.2854044605574078,-0.8991680963325026,-0.16754604602984496,1.0,-0.479526106237659,-0.4053021720130774,0.0
2018-10-01,-0.2849323054997733,-0.9006607501457536,-0.16794066204573427,1.0,-0.47946492194079154,-0.4059726630822051,0.0
2018-10-02,-0.2849493769470405,-0.9131944444444444,-0.164460020768432,1.0,-0.47809579439252337,-0.4043354101765317,0.0
2018-10-03,-0.285278363901964,-0.9146567115727967,-0.16487583184547963,1.0,-0.47777958123681225,-0.40366823567602667,0.0
2018-10-04,-0.2844932443538578,-0.9392484960057859,-0.16368059436536375,1.0,-0.47851671652585553,-0.4214799960550971,0.0
2018-10-05,-0.270327868852459,-0.9355081967213114,-0.15078688524590164,1.0,-0.4887213114754098,-0.433344262295082,0.0
2018-10-08,-0.26870703764320786,-0.9333224222585925,-0.14828150572831425,1.0,-0.49044189852700487,-0.4325368248772504,0.0
2018-10-09,-0.2660547451237502,-0.9358138010162269,-0.1398131453860023,1.0,-0.4963120799868874,-0.4401573512538928,0.0
2018-10-10,-0.26610075054898236,-0.9357608731277244,-0.1399167513355839,1.0,-0.496345580282521,-0.43938251778047266,0.0
2018-10-11,-0.22708500080038418,-0.9424363694573396,-0.09377301104530174,1.0,-0.48756202977429164,-0.4506483111893709,0.0
2018-10-12,-0.22500795418390074,-0.9449252306713329,-0.08988227807826916,1.0,-0.4804645243398027,-0.4413935730194081,0.0
2018-10-15,-0.19897337183188965,-1.0117741418030157,-0.043888354186718,1.0,-0.4927173564324671,-0.46085980109079244,0.0
2018-10-16,-0.1969176432814256,-1.02244340985712,-0.036249799325734466,1.0,-0.4938192326216086,-0.4613581634291219,0.0
2018-10-17,-0.18499033372421006,-0.9965771875891358,-0.02573447849649796,1.0,-0.4927582163344215,-0.4692105346559757,0.0
2018-10-18,-0.18376014198782958,-0.9948656186612576,-0.026686105476673428,1.0,-0.4946437626774847,-0.4694155679513184,0.0
2018-10-19,-0.1753484265624015,-0.9941350822980388,-0.01989657564482563,1.0,-0.49568014126253396,-0.46812133442643633,0.0
2018-10-22,-0.174931346864051,-0.9976326504845177,-0.02430478835895332,1.0,-0.4932609450459266,-0.4663362898898394,0.0
2018-10-23,-0.17372341780211384,-1.0078950719470265,-0.010569209219406597,1.0,-0.5114924232777283,-0.4798166305870368,0.0
2018-10-24,-0.1735797442585406,-1.0071569438259431,-0.0057891723392073284,1.0,-0.5128506902474713,-0.4814873719702271,0.0
2018-10-25,-0.17055592596120264,-1.0082865034765214,-0.003428897990284789,1.0,-0.5129059910467663,-0.4797282280852145,0.0
2018-10-26,-0.17073248104558575,-1.0056149478158805,-0.004092250103099324,1.0,-0.5126732861720014,-0.4791422136218,0.0
2018-10-29,-0.15596562184024268,-1.0152300303336703,-0.0,1.0,-0.5057823559150657,-0.48277932254802836,0.0
2018-10-30,-0.1332509427385366,-1.019330101086922,-0.0,1.0,-0.51069493297842,-0.5055613651487784,0.0
2018-10-31,-0.13751929680854413,-1.0019533095995714,-0.0,1.0,-0.5094357455656722,-0.5015910021738444,0.0
2018-11-01,-0.15282791817087846,-0.9948698460953829,-0.0,1.0,-0.5141237570460447,-0.5049718158211413,0.0
2018-11-02,-0.15725946235542532,-0.9727080772745895,-0.0,1.0,-0.5205004569663736,-0.5009927200529452,0.0
