Date,IWF,IWM,JWN,MTUM,SPY,VLUE,VXX
2018-09-24,-0.5403609197632677,-1.2949936936062871,1.0,-0.039099641020665564,-0.9377607451246727,-1.038857087416319,0.0
2018-09-25,-0.541430303030303,-1.293090909090909,1.0,-0.04130909090909091,-0.9361454545454546,-1.036509090909091,0.0
2018-09-26,-0.5412141194724592,-1.2930566330488749,1.0,-0.04072924747866563,-0.9363847944142747,-1.0373836307214894,0.0
2018-09-27,-0.5485733695652173,-1.2806677018633539,1.0,-0.045128105590062105,-0.9391013198757764,-1.0390624999999998,0.0
2018-09-28,-0.5456399300835113,-1.2843270537968536,1.0,-0.046222567488832786,-0.9395028160807924,-1.0396193435618566,0.0
2018-10-01,-0.5470836773347579,-1.2830362779855276,1.0,-0.046330921276285755,-0.9404108591132048,-1.0396775290175317,0.0
2018-10-02,-0.5510601050379305,-1.260552421707839,1.0,-0.055339428126823575,-0.9482104648900992,-1.0477047267068664,0.0
2018-10-03,-0.5560608283213535,-1.2803774876534155,1.0,-0.05833455576744413,-0.9498313040927094,-1.0451322673707888,0.0
2018-10-04,-0.5573418030784265,-1.2763254336672367,1.0,-0.05927192768140728,-0.9508917664304911,-1.0425116051795749,0.0
2018-10-05,-0.5374573794447149,-1.268339016074038,1.0,-0.0365806137359961,-0.9660496833901607,-1.0624452021432051,0.0
2018-10-08,-0.5370008786488334,-1.2685736600605293,1.0,-0.0273357414819877,-0.9808161671385337,-1.0676071463438446,0.0
2018-10-09,-0.534475143544192,-1.278402120037297,1.0,-0.010649261422191686,-0.9969573538793738,-1.0870098640624233,0.0
2018-10-10,-0.5344912177411442,-1.2780394465705034,1.0,-0.010450397409478951,-0.9971052889804729,-1.0862035129035423,0.0
2018-10-11,-0.4160552644116246,-1.2700809909480704,1.0,-0.0,-0.9642210576464982,-1.113863744640305,0.0
2018-10-12,-0.41443975621190815,-1.2550867323019224,1.0,-0.0,-0.9343178621659635,-1.0843881856540085,0.0
2018-10-15,-0.412344057780696,-1.256495638307851,1.0,-0.0,-0.9353250164149705,-1.0858737454272582,0.0
2018-10-16,-0.4067645541117418,-1.266219449265844,1.0,-0.0,-0.9338086972838578,-1.0843458272740067,0.0
2018-10-17,-0.371353518595327,-1.206092446656528,1.0,-0.0,-0.9289829024379005,-1.1020784367943224,0.0
2018-10-18,-0.37740752773007846,-1.2225831902352995,1.0,-0.0,-0.9314985844897201,-1.1095280085394719,0.0
2018-10-19,-0.34989180976934764,-1.2051470926752912,1.0,-0.0,-0.9357303991528935,-1.113070300630726,0.0
2018-10-22,-0.35065353460972015,-1.2025957290132547,1.0,-0.0,-0.9360732695139911,-1.1130798969072164,0.0
2018-10-23,-0.36126234197656176,-1.2071606533173387,1.0,-0.0,-0.9327304604595369,-1.1126695579957555,0.0
