Date,IWF,IWM,MTUM,SPY,SURF,VLUE,VXX
2018-12-17,-0.0,-3.249932560021581,-0.0,-5.229970326409496,1.0,-4.007957917453467,0.0
2018-12-18,-0.0,-3.0932291666666667,-0.0,-5.03515625,1.0,-3.892447916666667,0.0
2018-12-19,-0.0,-3.1067872117400417,-0.0,-5.076650943396227,1.0,-3.919156184486373,0.0
2018-12-20,-2.0748249708284714,-3.1560676779463246,-1.5024795799299884,-3.4404900816802804,1.0,-3.411901983663944,0.0
2018-12-21,-2.101063829787234,-3.2174940898345152,-1.511968085106383,-3.5096040189125293,1.0,-3.4352836879432624,0.0
2018-12-24,-1.9945449325294289,-3.1102497846683894,-1.4445879988515646,-3.4239161642262417,1.0,-3.382141831754235,0.0
2018-12-26,-1.9787203858703362,-3.124131082423039,-1.397786920130515,-3.356220740530572,1.0,-3.329550290821393,0.0
2018-12-27,-1.7839372633856139,-3.016089778258518,-1.250676041103299,-3.1805029745808544,1.0,-3.289751216873986,0.0
2018-12-28,-1.7751854349291978,-3.0125421443020906,-1.241132838840189,-3.174511126095752,1.0,-3.282939986513824,0.0
2018-12-31,-1.7783050847457627,-3.0376949152542374,-1.2443389830508476,-3.194983050847458,1.0,-3.3040000000000003,0.0
2019-01-02,-1.7655470120059353,-3.0261702414676916,-1.2244705247538108,-3.180493727235937,1.0,-3.292998785916633,0.0
2019-01-03,-1.764856488343889,-3.0207519202263846,-1.2278668643040023,-3.178008354669182,1.0,-3.2837892467322463,0.0
2019-01-04,-1.7120633187772925,-3.120633187772926,-1.2123362445414847,-3.220387554585153,1.0,-3.380867903930131,0.0
2019-01-07,-1.5245880861850443,-2.8954372623574143,-1.105830164765526,-3.008871989860583,1.0,-3.1394169835234473,0.0
2019-01-08,-1.5084916341678198,-2.8645112592778967,-1.0902000251603974,-2.9982387721726,1.0,-3.1188828783494777,0.0
2019-01-09,-1.5114629512349589,-2.861304623179227,-1.0903103229892337,-3.0340721975934133,1.0,-3.169221025965801,0.0
2019-01-10,-1.50922649140546,-2.8513650151668353,-1.0874620829120325,-3.0300808897876648,1.0,-3.1608948432760364,0.0
2019-01-11,-1.508876489982247,-2.8575957392848084,-1.0951052498097895,-3.043621607912757,1.0,-3.1753740806492523,0.0
2019-01-14,-1.5175394001016778,-2.8664209456024405,-1.095958312150483,-3.0549059481443823,1.0,-3.1748856126080325,0.0
2019-01-15,-1.5177322994788356,-2.859921189780094,-1.0936824710817339,-3.0594890047031904,1.0,-3.180373712978263,0.0
2019-01-16,-1.4970271979759646,-2.852877925363694,-1.0721062618595827,-3.046046805819102,1.0,-3.182036685641999,0.0
2019-01-17,-1.5017108097832974,-2.8483081992142947,-1.079964516537828,-3.053351919908757,1.0,-3.189329616018249,0.0
2019-01-18,-1.4965891864578071,-2.836659929257201,-1.0771854471955533,-3.0439615967660436,1.0,-3.178246589186458,0.0
2019-01-22,-1.5081483382522776,-2.900551777235981,-1.1038111125368921,-3.0999615039137685,1.0,-3.2192993712305915,0.0
2019-01-23,-1.4768329938900202,-2.8760183299389,-1.102469450101833,-3.0828665987780037,1.0,-3.191064154786151,0.0
2019-01-24,-1.4777126846663269,-2.8754457463066734,-1.1049414161996942,-3.085455934793683,1.0,-3.1919256240448295,0.0
2019-01-25,-1.4761601223865377,-2.8810555838857725,-1.099949005609383,-3.0915349311575726,1.0,-3.199898011218766,0.0
2019-01-28,-1.45841784989858,-2.8602941176470584,-1.095968559837728,-3.0797413793103448,1.0,-3.1831896551724133,0.0
2019-01-29,-1.4715997915581034,-2.9576602397081815,-1.10617509119333,-3.18342886920271,1.0,-3.308884835852006,0.0
2019-01-30,-1.4730718954248365,-2.970980392156863,-1.1030065359477124,-3.2005228758169935,1.0,-3.3244444444444445,0.0
2019-01-31,-1.4289419087136932,-2.9677126556016598,-1.068335062240664,-3.1719398340248968,1.0,-3.329875518672199,0.0
2019-02-01,-1.4170977754785308,-2.96107087428867,-1.0645369891360579,-3.1641231246766686,1.0,-3.326564924987067,0.0
2019-02-04,-1.4191461836998709,-2.9620957309184996,-1.0640362225097026,-3.1658473479948257,1.0,-3.3254851228978013,0.0
2019-02-05,-1.4067444876783397,-2.9511024643320365,-1.0856031128404668,-3.1749675745784693,1.0,-3.3517509727626456,0.0
2019-02-06,-1.3995321029373538,-2.9613984923316874,-1.0899402131531064,-3.1814400831817,1.0,-3.3648297374577596,0.0
2019-02-07,-1.3978592872993083,-2.973502153765827,-1.0945046338598095,-3.1965800809293827,1.0,-3.3906800678762563,0.0
2019-02-08,-1.3724749120291933,-2.980972240323211,-1.0685520656848688,-3.20943568356575,1.0,-3.4011468786654495,0.0
2019-02-11,-1.383212161269002,-3.0309319233311305,-1.0808988764044944,-3.27349636483807,1.0,-3.450363516192994,0.0
2019-02-12,-1.3868535907948685,-3.0234096019045102,-1.0843803729665389,-3.2778732971829125,1.0,-3.4532469250099194,0.0
2019-02-13,-1.3794607454401269,-3.021411578112609,-1.0972772931535817,-3.274253238170764,1.0,-3.4447528416600575,0.0
2019-02-14,-1.3787638668779716,-3.019149498151083,-1.0991811938721607,-3.2711304807184365,1.0,-3.4383254094030646,0.0
2019-02-15,-1.3782356048600106,-3.0199418911780245,-1.0986529318541998,-3.271262546222927,1.0,-3.4384574749075543,0.0
2019-02-19,-1.4018222633038426,-2.994718077380166,-1.101148818169814,-3.274659976231348,1.0,-3.4324574144988773,0.0
2019-02-20,-1.4049160829919387,-2.996035416941985,-1.1028148539711906,-3.278710188978459,1.0,-3.432932469935245,0.0
2019-02-21,-1.4115537848605575,-3.00464807436919,-1.1100929614873838,-3.2997343957503316,1.0,-3.4540504648074366,0.0
2019-02-22,-1.4059286954199492,-3.0287087728668713,-1.0910668981172387,-3.3347576445453333,1.0,-3.492589130725064,0.0
2019-02-25,-1.4023358840112767,-3.0390656463954895,-1.09612028460196,-3.36246476037052,1.0,-3.524634179084441,0.0
2019-02-26,-1.4009142242538317,-3.0454423232051626,-1.0992202204893788,-3.369454154342565,1.0,-3.529308954019898,0.0
2019-02-27,-1.403846153846154,-3.0388649811726736,-1.1027434104357183,-3.371839698762776,1.0,-3.5307961269499732,0.0
2019-02-28,-1.4027441485068604,-3.0399515738498786,-1.101425881086898,-3.37395749260156,1.0,-3.533629270917406,0.0
2019-03-01,-1.403338718362951,-3.0402530963920302,-1.1126817447495962,-3.377490576198169,1.0,-3.528809908454497,0.0
2019-03-04,-1.3980908846464102,-3.0294433987631084,-1.1138746974993277,-3.3728152729228285,1.0,-3.530384511965582,0.0
2019-03-05,-1.3958137662686168,-3.018918556286059,-1.105192539916812,-3.3738092043472427,1.0,-3.5236817388970887,0.0
2019-03-06,-1.4023127605217156,-3.0203038859755273,-1.1118730670969477,-3.3842947425036978,1.0,-3.527497646900632,0.0
2019-03-07,-1.4130026809651475,-2.967962466487936,-1.1241286863270779,-3.392225201072386,1.0,-3.5075067024128685,0.0
2019-03-08,-1.3994118433364524,-2.960032081272557,-1.1253843069108407,-3.383504879026868,1.0,-3.4987301162946127,0.0
2019-03-11,-1.4047330913002554,-2.9821164448030117,-1.125722737663036,-3.407018959257765,1.0,-3.526556407153422,0.0
2019-03-12,-1.3757656458055925,-2.9428761651131827,-1.1210386151797602,-3.379094540612517,1.0,-3.496804260985353,0.0
2019-03-13,-1.375083189138826,-2.9428989751098094,-1.119925462531612,-3.3772128310927725,1.0,-3.495274856914681,0.0
2019-03-14,-1.3721084817867588,-2.942834352565807,-1.1191172560489233,-3.370513161393246,1.0,-3.489763360808296,0.0
2019-03-15,-1.378674505611972,-2.952030999465526,-1.127471940138963,-3.39484233030465,1.0,-3.508952431854623,0.0
2019-03-18,-1.3808695652173915,-2.9612040133779263,-1.126020066889632,-3.4,1.0,-3.5098327759197323,0.0
2019-03-19,-1.3802911836074414,-2.992720409813966,-1.1156645996225398,-3.439741170126719,1.0,-3.552305203558911,0.0
2019-03-20,-1.3802076311177025,-2.993258729944722,-1.115545368747472,-3.440474585411892,1.0,-3.5530537953350407,0.0
2019-03-21,-1.3590508474576273,-3.0211525423728816,-1.0939661016949154,-3.4817627118644072,1.0,-3.6033898305084744,0.0
2019-03-22,-1.3566808861978807,-3.0644007155635062,-1.1243979633961745,-3.56350626118068,1.0,-3.651713224164029,0.0
2019-03-25,-1.3322884012539185,-2.886056971514243,-1.2282949434373722,-3.560855935668529,1.0,-3.622052610058607,0.0
2019-03-26,-1.3348869088416724,-2.915969842357779,-1.235229609321453,-3.585880740233036,1.0,-3.6360520904729263,0.0
2019-03-27,-1.330509632463451,-2.902718950676322,-1.2262604180899028,-3.5784943298264786,1.0,-3.6250853941795325,0.0
2019-03-28,-1.3235494880546075,-2.902662116040956,-1.2199317406143344,-3.5796587030716727,1.0,-3.6260750853242323,0.0
2019-03-29,-1.320185614849188,-2.9011873891087756,-1.2172785587552888,-3.581411218779855,1.0,-3.6279514125835948,0.0
2019-04-01,-1.3118191721132897,-2.902096949891067,-1.213916122004357,-3.574754901960784,1.0,-3.614106753812636,0.0
