Date,FVRR,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-02-10,1.0,-1.8664259927797833,-2.048080078765999,-5.341975713816869,-4.292418772563177,-1.860682638660978,0.0
2020-02-11,1.0,-1.815686911334849,-2.033939590776226,-5.26761935693407,-4.247482949009418,-1.874309840857421,0.0
2020-02-12,1.0,-1.8326019827726312,-2.0235657402892895,-5.2746627661303425,-4.2619860230781725,-1.859255647651552,0.0
2020-02-13,1.0,-1.8029421273844166,-2.012124151309408,-5.269964435822826,-4.24118978338183,-1.8394762366634336,0.0
2020-02-14,1.0,-1.8014551333872273,-2.0124494745351655,-5.272756669361359,-4.242522231204528,-1.8388035569927241,0.0
2020-02-18,1.0,-1.806858621805241,-2.012293756065998,-5.27741831122614,-4.244257521837593,-1.835166612746684,0.0
2020-02-19,1.0,-1.8179906164051125,-2.021032195437632,-5.284905355120531,-4.243811680957774,-1.8107102410613172,0.0
2020-02-20,1.0,-1.8333062021813447,-2.0333713169461176,-5.313853166205437,-4.2757610288132835,-1.8223994790818818,0.0
2020-02-21,1.0,-2.11646884272997,-2.51316765578635,-5.945103857566766,-4.7878338278931745,-2.1832344213649852,0.0
2020-02-24,1.0,-1.9084659913169317,-2.4687047756874096,-5.880969609261939,-4.700253256150506,-2.131150506512301,0.0
2020-02-25,1.0,-1.5643710125961068,-2.4508424668738757,-5.540651071486995,-3.991657124161623,-1.8108948143301165,0.0
2020-02-26,1.0,-1.4770795385549484,-2.1628718882817246,-5.278081360048573,-3.765027322404372,-1.4962052216150579,0.0
2020-02-27,1.0,-1.588091229144344,-2.1235267105464564,-5.29083116485535,-3.8421858258074395,-1.4621154140517372,0.0
2020-02-28,1.0,-1.2732070365358592,-2.2964817320703657,-4.5776725304465495,-3.1281461434370774,-1.2562922868741544,0.0
2020-03-02,1.0,-1.3422538999462077,-2.188676707907477,-4.523399677245831,-3.14389456697149,-1.2500000000000002,0.0
2020-03-03,1.0,-1.0840586349060926,-2.1828905176362805,-3.5974576271186445,-2.5531378836463583,-1.0345854328905177,0.0
2020-03-04,1.0,-0.9018110408029674,-2.2181976871045164,-3.5820423303512983,-2.359480689504691,-0.8483526074623609,0.0
2020-03-05,1.0,-0.7884282367321993,-2.421208108383417,-3.163593765916268,-2.10206784149944,-0.7111133747580728,0.0
