Date,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY,ZTS
2019-01-02,-0.0,-0.2719041903668528,-0.08688618692271566,-0.0,-0.0,-0.22929603924228983,-0.01969942075875385,-0.0,-0.002557010906434274,-0.0,-0.0,-0.0,-0.0,-0.2113186870531754,-0.0,-0.248786724416845,-0.4206804780044879,-0.1180660648123989,1.0
2019-01-03,-0.0,-0.2701347539956127,-0.0919252063094119,-0.004152303353180822,-0.0,-0.23245064243183958,-0.012900867021832237,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.2102789094327797,-0.0,-0.24955604303771026,-0.4241355896793064,-0.11574219158048679,1.0
2019-01-04,-0.0,-0.2596766549054716,-0.09750381799989467,-0.009689820422349782,-0.0,-0.25506872399810415,-0.01587761335510032,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.20164305650639844,-0.0,-0.2458791932171257,-0.4342777397440623,-0.11348675549002053,1.0
2019-01-07,-0.0,-0.24479765763881625,-0.10216459270103523,-0.019920527031266337,-0.0,-0.2584962877758025,-0.0024573878490013593,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.19737530063787512,-0.0,-0.23781763045069537,-0.43323224929415455,-0.11795461675206524,1.0
2019-01-08,-0.0,-0.2407141176778106,-0.10970541338839951,-0.022192017147188745,-0.0,-0.2599785660140628,-0.0009671432678986852,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.19998954439710379,-0.0,-0.23739446375826645,-0.4351883315471678,-0.10779726585984263,1.0
2019-01-09,-0.0,-0.235248082642041,-0.10679814264099753,-0.017373610893723586,-0.0,-0.2623258725935201,-0.005008608545938331,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.1993791412323264,-0.0,-0.2338915844941827,-0.4391923618719675,-0.10943287942818386,1.0
2019-01-10,-0.0,-0.23064659453243425,-0.10937745021169828,-0.014897287125607653,-0.0,-0.264858083738435,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.21465161256599236,-0.0,-0.23292039098844808,-0.43476556374470754,-0.11146829752757305,1.0
2019-01-11,-0.0,-0.21275488972118187,-0.10406263004577611,-0.00845297544735747,-0.0,-0.24485018726591762,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.22154598418643365,-0.0,-0.22375676238035788,-0.44933416562630046,-0.13615792759051187,1.0
2019-01-14,-0.0,-0.21258941344778254,-0.10422681753153856,-0.009207959422551697,-0.0,-0.24484328261152297,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.22117310443490698,-0.0,-0.22400832357913902,-0.4488750162569905,-0.1361945636623748,1.0
2019-01-15,-0.0,-0.21598249635340697,-0.10397999583246509,-0.004922900604292561,-0.0,-0.24351427380704316,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.21879558241300273,-0.0,-0.23067305688685144,-0.45069285267764114,-0.13617420295894977,1.0
2019-01-16,-0.0,-0.20004682500455243,-0.08098124398428762,-0.03811035092739523,-0.0,-0.2542077469368643,-0.03485861450014308,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.20665435342472882,-0.0,-0.21968731302515543,-0.42181524934314923,-0.145001430764028,1.0
2019-01-17,-0.0,-0.16534547262119667,-0.08243727598566308,-0.020014127619496114,-0.0,-0.2736572220914109,-0.023755330560133948,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.24655312246553124,-0.0,-0.20424875075216492,-0.4320696962561808,-0.16817099652041964,1.0
2019-01-18,-0.0,-0.16724300534423137,-0.08050403437074295,-0.02111495336896154,-0.0,-0.27635439589227706,-0.0242062244577177,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.2453106989416326,-0.0,-0.20457403332285445,-0.4334852771665095,-0.16690244158021586,1.0
2019-01-22,-0.0,-0.18382947637559027,-0.09408020037047667,-0.0,-0.0,-0.2619948341986485,-0.008140050614417282,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.2393487959508466,-0.0,-0.22312087453364293,-0.4352578987189856,-0.1631923608755772,1.0
2019-01-23,-0.0,-0.18096801083671982,-0.09849432114202356,-0.0,-0.0,-0.2637803480254246,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.2315046368656872,-0.0,-0.228196311347296,-0.44065853912681047,-0.16135250599145567,1.0
2019-01-24,-0.0,-0.18805419039446652,-0.08424994149309617,-0.0,-0.0,-0.25953662532178795,-0.012637491223964426,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.2101307954338612,-0.0,-0.2303611826195491,-0.4542996073536677,-0.16101099929791715,1.0
2019-01-25,-0.0,-0.19069428541688352,-0.07856250650567295,-0.0,-0.0,-0.25856146559800147,-0.024539398355365876,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.1973040491308421,-0.0,-0.23982512751118976,-0.44850109295305507,-0.16430727594462372,1.0
2019-01-28,-0.0,-0.19945269741985927,-0.06515506906437321,-0.0,-0.0,-0.2817565806619755,-0.03265572061506385,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.1922595777951525,-0.0,-0.2275996872556685,-0.4414386239249414,-0.16585874381026844,1.0
2019-01-29,-0.0,-0.19826372595025812,-0.06548829448876375,-0.0,-0.0,-0.27746493560665314,-0.033109129777360656,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.1850461442202409,-0.0,-0.23233745242191983,-0.4486156733927734,-0.16666666666666669,1.0
2019-01-30,-0.0,-0.19716100697984473,-0.05973387708153609,-0.0,-0.0,-0.28264449847070816,-0.034820798368755394,-0.00792094737667634,-0.0,-0.0,-0.0,-0.0,-0.0,-0.18416856194285416,-0.0,-0.23273991582359554,-0.4564347894282802,-0.1585757979766293,1.0
