Date,BYM,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.09554743312842665,-0.24120285761754445,-0.0,-0.16967934872902476,-0.1549592955640472,0.0
2018-09-25,1.0,-0.09594843768168906,-0.24100068107443642,-0.0,-0.16953769996179338,-0.1546703433611854,0.0
2018-09-26,1.0,-0.09559409888357256,-0.24077950558213715,-0.0,-0.169623870281765,-0.15536948431685274,0.0
2018-09-27,1.0,-0.09674902038918776,-0.23844391313010557,-0.0,-0.16977153483429633,-0.15539284053928407,0.0
2018-09-28,1.0,-0.09815981515035656,-0.2380437854281297,-0.0,-0.17030437023122827,-0.15580896653756002,0.0
2018-10-01,1.0,-0.09784996338946947,-0.23948279305065567,-0.0,-0.17042201956999267,-0.15634360647007922,0.0
2018-10-02,1.0,-0.09865015562324198,-0.2367969907291823,-0.0,-0.17150180589537461,-0.15747074782377124,0.0
2018-10-03,1.0,-0.09892580564576567,-0.2381214089432925,-0.0,-0.171354817220418,-0.15699891747855774,0.0
2018-10-04,1.0,-0.0995803636848065,-0.2371111703190568,-0.0,-0.17213415040298408,-0.15641444081795775,0.0
2018-10-05,1.0,-0.09349445456050323,-0.23246151299453735,-0.0,-0.17212382055951003,-0.15729183909948682,0.0
2018-10-08,1.0,-0.09281946993370038,-0.23155266769174812,-0.0,-0.17216407916273996,-0.15682092488798507,0.0
2018-10-09,1.0,-0.10404082657073538,-0.2394210658412114,-0.0,-0.17461725089935579,-0.1551409687944449,0.0
2018-10-10,1.0,-0.10610372652090938,-0.23889242307563532,-0.0,-0.1760973649847658,-0.15299494425285431,0.0
2018-10-11,1.0,-0.09975669099756691,-0.23496697949252696,-0.0,-0.17124319314100336,-0.1491798665938395,0.0
2018-10-12,1.0,-0.1038598439081736,-0.22997420239689123,-0.0,-0.16118603663912745,-0.1377559350814747,0.0
2018-10-15,1.0,-0.09549546616308789,-0.23662233219919582,-0.0,-0.15875754961173424,-0.1370732739674736,0.0
2018-10-16,1.0,-0.0953846153846154,-0.23684167684167684,-0.0,-0.15873015873015875,-0.13704517704517707,0.0
2018-10-17,1.0,-0.08948012626425304,-0.22516588288346323,-0.0,-0.15684790311151195,-0.13901951942279198,0.0
2018-10-18,1.0,-0.08925351024088625,-0.22467151874275407,-0.0,-0.15726845291768646,-0.13902486152260723,0.0
2018-10-19,1.0,-0.08315108947242397,-0.21826163301141352,-0.0,-0.15718732540506028,-0.13769654401787854,0.0
2018-10-22,1.0,-0.08337592639918222,-0.21906146179401995,-0.0,-0.15710452338359315,-0.13769805775619728,0.0
