Date,IWF,IWM,MTUM,PDFS,SPY,VLUE,VXX
2018-09-24,-1.0918849291541433,-2.1198654644339485,-0.07914698726205811,1.0,-1.5128810648346929,-1.3523686847001575,0.0
2018-09-25,-1.0926058352402748,-2.1169908466819223,-0.08159324942791762,1.0,-1.5105120137299772,-1.3493278032036613,0.0
2018-09-26,-1.092963386727689,-2.117491418764302,-0.08230835240274599,1.0,-1.5102974828375286,-1.3479691075514875,0.0
2018-09-27,-1.0943099878632112,-2.106946526736632,-0.08452916398943386,1.0,-1.507960305561505,-1.3455415149568073,0.0
2018-09-28,-1.0916553644085947,-2.1082161467627953,-0.0858019844385752,1.0,-1.507245342279963,-1.3453494182311372,0.0
2018-10-01,-1.093711909371191,-2.121244712124471,-0.08876460887646088,1.0,-1.513085251308525,-1.3531942353194235,0.0
2018-10-02,-1.0939650229357798,-2.1141771788990824,-0.09210149082568807,1.0,-1.5133314220183485,-1.353927752293578,0.0
2018-10-03,-1.0929799426934097,-2.098065902578796,-0.09025787965616046,1.0,-1.5185530085959886,-1.363538681948424,0.0
2018-10-04,-1.0976238190667047,-2.086673346693386,-0.09196965359290007,1.0,-1.5241196679072428,-1.3567849985685656,0.0
2018-10-05,-1.073049292268298,-2.0737605804111245,-0.06053062095454869,1.0,-1.5355288427341915,-1.3699409630841455,0.0
2018-10-08,-1.0680851063829788,-2.065390070921986,-0.051773049645390076,1.0,-1.54,-1.366950354609929,0.0
2018-10-09,-1.0663120567375888,-2.0663829787234045,-0.04659574468085107,1.0,-1.5425531914893618,-1.3703546099290782,0.0
2018-10-10,-1.0755764304013662,-2.069385140905209,-0.0531596925704526,1.0,-1.5520922288642185,-1.3662823797324224,0.0
2018-10-11,-0.9190078114293545,-2.0517335891462243,-0.0,1.0,-1.499040701658216,-1.382348910511169,0.0
2018-10-12,-0.9411087015451342,-2.0479127134724857,-0.0,1.0,-1.4578476551911088,-1.3301030089455137,0.0
2018-10-15,-0.8924832849328019,-2.089349631930843,-0.0,1.0,-1.4449922334031202,-1.3267373539542109,0.0
2018-10-16,-0.9082325770955033,-2.08558619752751,-0.0,1.0,-1.4587691889688903,-1.3399673957342753,0.0
2018-10-17,-0.8531487152176808,-1.9925442684063372,-0.0,1.0,-1.4489415523898284,-1.362202103581414,0.0
2018-10-18,-0.8519406164702749,-1.9900805538912187,-0.0,1.0,-1.4523666866387057,-1.3629585247320417,0.0
2018-10-19,-0.8156651360883743,-1.979503560258202,-0.0,1.0,-1.4786051773474413,-1.3809143541625075,0.0
