Date,IWF,IWM,MTUM,SCU,SPY,VLUE,VXX
2018-09-24,-0.8311173974540311,-1.4544837340876944,-0.08633663366336634,1.0,-1.2694766619519096,-1.0162376237623763,0.0
2018-09-25,-0.8308502804055968,-1.4575426273154704,-0.0846315073925112,1.0,-1.2720784002719085,-1.0196000679771144,0.0
2018-09-26,-0.8307936328102873,-1.45759927491078,-0.0843482694159633,1.0,-1.2721916954625276,-1.0198833059536623,0.0
2018-09-27,-0.8308598617876969,-1.4569502662286167,-0.08496657981194063,1.0,-1.2718364110116687,-1.0197688909029115,0.0
2018-09-28,-0.8368506493506493,-1.513624768089054,-0.08940166975881261,1.0,-1.3051948051948052,-1.052643784786642,0.0
2018-10-01,-0.8365133677434322,-1.5146436234993912,-0.09018152293684394,1.0,-1.304993330626921,-1.0530650118888825,0.0
2018-10-02,-0.8385480393870535,-1.5440773757501602,-0.08495018353434713,1.0,-1.3055409893375283,-1.0533706228514828,0.0
2018-10-03,-0.8375436554132711,-1.5362048894062863,-0.08457508731082654,1.0,-1.3062281722933644,-1.0561699650756693,0.0
2018-10-04,-0.8410268487988696,-1.568122939236929,-0.08649317004239285,1.0,-1.312764955252002,-1.0794865756005654,0.0
2018-10-05,-0.8379206767608656,-1.6267394102862747,-0.042052350885796605,1.0,-1.42689879237418,-1.196469073744866,0.0
2018-10-08,-0.8379424778761062,-1.6280113077679448,-0.030973451327433628,1.0,-1.445366273352999,-1.2032325467059979,0.0
2018-10-09,-0.8354508449488096,-1.6364869865548293,-0.016097199950659922,1.0,-1.4593561120019736,-1.2201800912791414,0.0
2018-10-10,-0.8356451513470193,-1.6354725356019977,-0.01602860489488934,1.0,-1.4595277726404043,-1.21817397201159,0.0
2018-10-11,-0.6833896696910395,-1.607246634643895,-0.0,1.0,-1.4103658898179448,-1.2291407222914073,0.0
2018-10-12,-0.6774792549178901,-1.5766262403528113,-0.0,1.0,-1.368711193640109,-1.1800034816921023,0.0
2018-10-15,-0.6543152783397884,-1.5892248106826983,-0.0,1.0,-1.3616972079310943,-1.1754436672640036,0.0
2018-10-16,-0.6600660066006601,-1.585374326906375,-0.0,1.0,-1.3654102252330496,-1.1791442302124948,0.0
2018-10-17,-0.6203763033727501,-1.5380672219956895,-0.0,1.0,-1.4079920778237318,-1.2587522572377237,0.0
2018-10-18,-0.6192112774509233,-1.5357954214481273,-0.0,1.0,-1.4109046426282985,-1.2592765189025457,0.0
2018-10-19,-0.5848437769722078,-1.506530870590943,-0.0,1.0,-1.4106105069336556,-1.2520858507393982,0.0
2018-10-22,-0.5871781579402109,-1.5112608720695813,-0.0,1.0,-1.409711422153102,-1.2518864120730373,0.0
2018-10-23,-0.5954453733064283,-1.5136927068319401,-0.0,1.0,-1.4057653502450274,-1.25050446814644,0.0
2018-10-24,-0.5948869223205506,-1.5239169414078315,-0.0,1.0,-1.411417664410897,-1.2538029961247037,0.0
2018-10-25,-0.5355593387885111,-1.4136416057993302,-0.0,1.0,-1.3710802350486022,-1.1715085946509969,0.0
2018-10-26,-0.49632332915736155,-1.395119559888883,-0.0,1.0,-1.3945748679121954,-1.160902009913394,0.0
2018-10-29,-0.450160596657412,-1.4271326691708857,-0.0,1.0,-1.3836899123523327,-1.1829713103598454,0.0
2018-10-30,-0.4162375369781966,-1.4405061904240166,-0.0,1.0,-1.3970636572805961,-1.2244439574887696,0.0
2018-10-31,-0.4433172570541604,-1.4186484838405677,-0.0,1.0,-1.4340595376683851,-1.2475746992627086,0.0
2018-11-01,-0.4039433490697029,-1.4575395723410165,-0.0,1.0,-1.4383226881421827,-1.2542071646764787,0.0
2018-11-02,-0.41250275148580234,-1.400726392251816,-0.0,1.0,-1.448712304644508,-1.2409751265683469,0.0
2018-11-05,-0.4193922651933702,-1.3944198895027624,-0.0,1.0,-1.4541436464088398,-1.2569060773480665,0.0
2018-11-06,-0.4276399403216003,-1.401337238216279,-0.0,1.0,-1.4485273802287673,-1.2482179366745871,0.0
2018-11-07,-0.42788941934051294,-1.4130676140779395,-0.0,1.0,-1.4540912623515045,-1.2561341179082937,0.0
2018-11-08,-0.37013629369092105,-1.4178940426467355,-0.0,1.0,-1.4378984392174103,-1.269839525170367,0.0
2018-11-09,-0.37117255785828157,-1.4181188499807598,-0.0,1.0,-1.4376889670716289,-1.2702435270188555,0.0
2018-11-12,-0.3740137931034483,-1.3896827586206897,-0.0,1.0,-1.4746482758620691,-1.278896551724138,0.0
2018-11-13,-0.3312853414528056,-1.3717920835145716,-0.0,1.0,-1.4698782079164856,-1.2641365811222272,0.0
2018-11-14,-0.3309215536938309,-1.373191165270373,-0.0,1.0,-1.4707322380589705,-1.2652594929822651,0.0
2018-11-15,-0.3465486126776449,-1.450090232348297,-0.0,1.0,-1.5578050981276785,-1.2851342206180916,0.0
2018-11-16,-0.3383818254284575,-1.4459944200876844,-0.0,1.0,-1.5816204520867734,-1.327848317485623,0.0
2018-11-19,-0.33749074548664504,-1.4466655276496385,-0.0,1.0,-1.5826072099777893,-1.3283786092602086,0.0
2018-11-20,-0.25453415447200406,-1.4294592914853945,-0.0,1.0,-1.594892366800384,-1.3712074128481835,0.0
2018-11-21,-0.2588614990818541,-1.4072116187190473,-0.0,1.0,-1.5812698236046963,-1.3171776751432864,0.0
2018-11-23,-0.259831148633637,-1.3970228838035992,-0.0,1.0,-1.5816485225505443,-1.3158187069540102,0.0
2018-11-26,-0.2593127185921279,-1.3980458557708322,-0.0,1.0,-1.5799700216510297,-1.314161994115361,0.0
2018-11-27,-0.2375076088760998,-1.411875380443805,-0.0,1.0,-1.5762271042000995,-1.3080626418017818,0.0
2018-11-28,-0.23933373914005862,-1.407725084389353,-0.0,1.0,-1.5776105362182502,-1.30905871285485,0.0
2018-11-29,-0.18699761025418207,-1.3751900934173364,-0.0,1.0,-1.560612643927873,-1.3083858353247881,0.0
2018-11-30,-0.1938099966898378,-1.4057155467284566,-0.0,1.0,-1.5972084298797307,-1.320203023281474,0.0
