Date,IWF,IWM,MTUM,SPY,UAA,VLUE,VXX
2018-09-24,-0.6557433203927837,-1.6947362411509477,-0.2170015985384791,-1.0423612696962776,1.0,-1.0992235670244346,0.0
2018-09-25,-0.6596072611028656,-1.6916885489211098,-0.22291357460897362,-1.039673478707615,1.0,-1.0944742550519466,0.0
2018-09-26,-0.6592389441206719,-1.692206604959433,-0.21991772368872128,-1.0419952005485087,1.0,-1.1002171180436522,0.0
2018-09-27,-0.6776735891388137,-1.6803773801990451,-0.22809641603865843,-1.0555140079387908,1.0,-1.1110855433469482,0.0
2018-09-28,-0.6749323974454865,-1.6826994994534263,-0.22910074218974744,-1.0554628617455843,1.0,-1.1112709280248547,0.0
2018-10-01,-0.6750287686996547,-1.6825086306098964,-0.2295742232451093,-1.0553509781357882,1.0,-1.111277330264672,0.0
2018-10-02,-0.6759461635798919,-1.6733578741516164,-0.23311860117335786,-1.056654779707811,1.0,-1.1127343839871162,0.0
2018-10-03,-0.6821310811592526,-1.6964192745994102,-0.23688320703418755,-1.0589460288077746,1.0,-1.1102562619309306,0.0
2018-10-04,-0.6837572254335261,-1.6911560693641619,-0.2377456647398844,-1.0605202312138728,1.0,-1.1071676300578035,0.0
2018-10-05,-0.6696603339090387,-1.6887737478411053,-0.22170408750719633,-1.0639608520437536,1.0,-1.1129533678756476,0.0
2018-10-08,-0.6668773340993968,-1.685033036483769,-0.21832806664751506,-1.0642344153978742,1.0,-1.1109451307095661,0.0
2018-10-09,-0.6661304222924447,-1.68572249353634,-0.21648951450732545,-1.065038781959207,1.0,-1.1120942257971846,0.0
2018-10-10,-0.6679303808374978,-1.6838991326325465,-0.21856511000057444,-1.0660003446493194,1.0,-1.1078177953931876,0.0
2018-10-11,-0.5929464037767287,-1.6768119966675925,-0.128353235212441,-1.0367675645653986,1.0,-1.1191335740072204,0.0
2018-10-12,-0.6124951878127922,-1.677885937414068,-0.12044217125886818,-1.0057746246493977,1.0,-1.0830446021008635,0.0
2018-10-15,-0.5973448900104229,-1.7000932579955017,-0.09896319052059904,-1.0042240386197816,1.0,-1.085193921772999,0.0
2018-10-16,-0.5949193459892461,-1.7103039613738615,-0.09146274552836607,-1.0047734006364533,1.0,-1.0852079446943925,0.0
2018-10-17,-0.5684374831799343,-1.6539641530760536,-0.06873351633564777,-0.9966090747618278,1.0,-1.0947306098283007,0.0
2018-10-18,-0.5714131665498464,-1.6603224241117163,-0.06621016876044643,-0.996657141316655,1.0,-1.0971046530436188,0.0
2018-10-19,-0.5529946524064171,-1.6496256684491977,-0.04759358288770053,-0.999625668449198,1.0,-1.0977005347593582,0.0
2018-10-22,-0.5532199400941378,-1.6498716302952505,-0.05091998288403937,-0.9982884039366711,1.0,-1.0964912280701755,0.0
2018-10-23,-0.5599314150993945,-1.6517173016128168,-0.06220864812731073,-0.9911589776563254,1.0,-1.0932325992605691,0.0
2018-10-24,-0.5610409081173698,-1.64896123366888,-0.051617048618547864,-0.994431355750696,1.0,-1.098415078175198,0.0
2018-10-25,-0.5050200280913488,-1.5840399521406647,-0.03064037871300005,-1.0254382770639336,1.0,-1.0570150340737658,0.0
2018-10-26,-0.4853978882307495,-1.569096059747618,-0.0,-1.0459953644089623,1.0,-1.050012876641772,0.0
2018-10-29,-0.4624487704918033,-1.576434426229508,-0.0,-1.0331454918032785,1.0,-1.050922131147541,0.0
2018-10-30,-0.4401312753192144,-1.579252346033537,-0.0,-1.0365622275780728,1.0,-1.071945028460079,0.0
2018-10-31,-0.6355480268523747,-1.88575192923019,-0.0660643704121965,-1.3265575004705439,1.0,-1.360060229625447,0.0
