Date,BRKR,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.3948245503710225,-0.5941391019997484,-0.07266381587221733,-0.5759967299710728,-0.5066343856118727,0.0
2018-09-25,1.0,-0.40056075355196424,-0.5930441357149608,-0.07963960558233311,-0.5745203666950194,-0.5025359921872539,0.0
2018-09-26,1.0,-0.4004599729057055,-0.5929554834441259,-0.07917204876973,-0.574714092183611,-0.5031977568444598,0.0
2018-09-27,1.0,-0.4013727527470798,-0.5897169484588016,-0.08009823368281856,-0.5744466484052769,-0.5028494065048329,0.0
2018-09-28,1.0,-0.40634569850039465,-0.5893606945540648,-0.07977900552486189,-0.5767955801104973,-0.5047829518547751,0.0
2018-10-01,1.0,-0.4073068300230509,-0.5884619028071615,-0.07973096719189113,-0.577378508951972,-0.5048154346521835,0.0
2018-10-02,1.0,-0.4106741750767187,-0.568066057135626,-0.0875383593280395,-0.5847068872789396,-0.5126704419627321,0.0
2018-10-03,1.0,-0.4105199898785425,-0.5664220647773279,-0.08751897773279352,-0.5850202429149798,-0.513442560728745,0.0
2018-10-04,1.0,-0.4131019001549211,-0.561668089411616,-0.08814695374498087,-0.5883208447943342,-0.5104492712384204,0.0
2018-10-05,1.0,-0.40699653324929086,-0.5569807752915221,-0.07989284588717302,-0.5928458871730223,-0.5148755121336274,0.0
2018-10-08,1.0,-0.4061198738170347,-0.5556466876971609,-0.07375394321766562,-0.6018611987381703,-0.5171924290220821,0.0
2018-10-09,1.0,-0.40816970768356586,-0.5561588484121472,-0.07759328240419218,-0.6003851253235684,-0.5144895511080245,0.0
2018-10-10,1.0,-0.4080510897883967,-0.5659909766791636,-0.07253606151108852,-0.6046895850543305,-0.5259261612759738,0.0
2018-10-11,1.0,-0.3761681517588252,-0.5621099692632494,-0.024589400478127233,-0.6009189977956472,-0.5409668105187991,0.0
2018-10-12,1.0,-0.3803445093817287,-0.55564441710243,-0.02002460781298062,-0.5914487849892341,-0.5284835435250692,0.0
2018-10-15,1.0,-0.379619949572597,-0.5569460672775353,-0.016973125884016973,-0.5923682430354836,-0.5289035114691593,0.0
2018-10-16,1.0,-0.37901242159635967,-0.5590948222850818,-0.015373262821301194,-0.5923625630303776,-0.5287787480014758,0.0
2018-10-17,1.0,-0.3740383441201612,-0.5467089998778849,-0.011417755525705214,-0.5905482964952985,-0.5301929417511295,0.0
2018-10-18,1.0,-0.3733821733821734,-0.5456654456654456,-0.011843711843711845,-0.5914224664224664,-0.5301892551892552,0.0
2018-10-19,1.0,-0.37167225098994827,-0.5440146207736827,-0.0057264696923545536,-0.5939384709107524,-0.5306427048431314,0.0
2018-10-22,1.0,-0.36984248356017735,-0.5569658969261355,-0.0158128154152011,-0.5889585563541826,-0.5270224805016057,0.0
2018-10-23,1.0,-0.37108610567514677,-0.5564151174168297,-0.018927348336594912,-0.5860445205479452,-0.5252874266144814,0.0
2018-10-24,1.0,-0.37103283801137404,-0.5568702990277012,-0.017305693144988688,-0.5868647954503761,-0.5254999082737112,0.0
2018-10-25,1.0,-0.35193543565984153,-0.5267075175609027,-0.013391122403228215,-0.5913316395157674,-0.5057241070094156,0.0
2018-10-26,1.0,-0.3513230989785556,-0.5256257093363599,-0.014067260020309419,-0.5907054536766023,-0.5049578878203214,0.0
