Date,BBY,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.39314058956916104,-0.8314554988662132,-0.08822278911564625,-0.579046201814059,-0.6512542517006803,0.0
2018-09-25,1.0,-0.392273033668003,-0.8340369673963174,-0.08589065881434703,-0.5813318196331643,-0.6542022918366623,0.0
2018-09-26,1.0,-0.39209683161267356,-0.8358846564613742,-0.08042007831968673,-0.5862940548237807,-0.6652901388394447,0.0
2018-09-27,1.0,-0.40377182937303174,-0.8246492985971944,-0.08563555682794159,-0.593687374749499,-0.6708774692241626,0.0
2018-09-28,1.0,-0.39969124721763477,-0.8335966108996913,-0.08663028649386084,-0.5965031952322826,-0.6737272923099016,0.0
2018-10-01,1.0,-0.3990579944630209,-0.8371265235681157,-0.08729730701470535,-0.5969151116384425,-0.6750440441520152,0.0
2018-10-02,1.0,-0.39931691533345315,-0.8351968362394391,-0.08840553658098148,-0.5971238540355922,-0.6752112169692612,0.0
2018-10-03,1.0,-0.4102564102564102,-0.8794030505870734,-0.09235890120340905,-0.6033871026738359,-0.6723728007608178,0.0
2018-10-04,1.0,-0.4142042129900526,-0.8728423054417788,-0.09311000585137506,-0.6085430076067875,-0.6683733177296665,0.0
2018-10-05,1.0,-0.41013471578255634,-0.8734620860866709,-0.08601365411996642,-0.6101639224562813,-0.671059837172794,0.0
2018-10-08,1.0,-0.40839680746382884,-0.8706221072196507,-0.08294762928678158,-0.6121578774736689,-0.6703232625095666,0.0
2018-10-09,1.0,-0.41197941380443115,-0.8722122860167172,-0.08924334781180421,-0.6101397963280651,-0.666459831368398,0.0
2018-10-10,1.0,-0.4129903302317095,-0.8710454296661193,-0.09042145593869731,-0.6106185002736726,-0.6639299397920088,0.0
2018-10-11,1.0,-0.36201049512726236,-0.8844465069789027,-0.011958733445186165,-0.6096455217220575,-0.7017099203941027,0.0
2018-10-12,1.0,-0.3768074951387661,-0.8827293618525721,-0.0075304931942725825,-0.589216899416652,-0.6791585646102174,0.0
2018-10-15,1.0,-0.37609587104072395,-0.8847214366515836,-0.004489536199095022,-0.5897200226244343,-0.6800056561085972,0.0
2018-10-16,1.0,-0.3720724545390221,-0.896200382084483,-0.0,-0.5898606099200452,-0.6797212198400905,0.0
2018-10-17,1.0,-0.35384347219801293,-0.8626808436465052,-0.0,-0.5841031898204637,-0.6855150775666725,0.0
2018-10-18,1.0,-0.3547351524879615,-0.8654825877590899,-0.0,-0.5831181519994417,-0.6860911438341823,0.0
2018-10-19,1.0,-0.34055234069094564,-0.8557815586125644,-0.0,-0.5829377317301361,-0.685851900620257,0.0
2018-10-22,1.0,-0.3430002086375965,-0.8682801307462271,-0.0,-0.581507754364003,-0.6844704082342304,0.0
2018-10-23,1.0,-0.35388534142852157,-0.873093966991172,-0.0,-0.5781080986775533,-0.6842178722216405,0.0
