Date,ATGE,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.4524561470263689,-0.9710056694950724,-0.12092386134469771,-0.6774095354058065,-0.5832350367185419,0.0
2018-09-25,1.0,-0.4594666768397361,-0.9705871132644108,-0.1288673558921146,-0.6765726929386183,-0.5793690153740512,0.0
2018-09-26,1.0,-0.4656898469563883,-0.9806681753672664,-0.13578305396801044,-0.6800276168923325,-0.573510797437766,0.0
2018-09-27,1.0,-0.46991832508915216,-0.9712795736032823,-0.13865562329843933,-0.6808159822079067,-0.5738333525058475,0.0
2018-09-28,1.0,-0.46930715846785015,-0.9713584601817415,-0.13914343775161997,-0.680572063954603,-0.5737893485679231,0.0
2018-10-01,1.0,-0.4689252515940692,-0.9753015287700699,-0.13985557348083275,-0.6813397864331259,-0.5756702773296458,0.0
2018-10-02,1.0,-0.4690608795851738,-0.9739965431150375,-0.1406952179758018,-0.6813136162857691,-0.5758786249279816,0.0
2018-10-03,1.0,-0.47409556974269684,-0.9953182433739602,-0.14308376862062294,-0.6831495453666085,-0.5736119171986844,0.0
2018-10-04,1.0,-0.474685747437633,-0.9931928060336492,-0.14364726358538,-0.6836588667569136,-0.5725391607039257,0.0
2018-10-05,1.0,-0.46958299579523977,-0.9931720865640551,-0.1360567835512865,-0.685568799907418,-0.5731975465802569,0.0
2018-10-08,1.0,-0.46895165964681784,-0.992774063912825,-0.12871440163839407,-0.6969743807720545,-0.5766837976737895,0.0
2018-10-09,1.0,-0.47086346235644405,-0.9936970728123429,-0.13205212482115927,-0.6958354278643517,-0.5743784076408491,0.0
2018-10-10,1.0,-0.48535056795926357,-1.0041519780650214,-0.13924794359576967,-0.7135526831179004,-0.5746180963572267,0.0
2018-10-11,1.0,-0.42562269372693723,-1.0319034440344403,-0.03986008610086101,-0.7225553505535056,-0.6238468634686347,0.0
2018-10-12,1.0,-0.42947503976971446,-1.0231800621165064,-0.03480796909325051,-0.7018407696386638,-0.5982880084842057,0.0
2018-10-15,1.0,-0.4056925996204933,-1.0723719165085388,-0.0,-0.707438330170778,-0.6095635673624289,0.0
2018-10-16,1.0,-0.3974803029726335,-1.0915007802687169,-0.0,-0.7075705096486887,-0.6096372702013474,0.0
2018-10-17,1.0,-0.3816479400749064,-1.059513108614232,-0.0,-0.6970786516853933,-0.6070786516853933,0.0
2018-10-18,1.0,-0.38082397003745316,-1.057940074906367,-0.0,-0.6991385767790261,-0.6074157303370786,0.0
2018-10-19,1.0,-0.36589170318651115,-1.048206194755998,-0.0,-0.697467132139939,-0.6023174626754809,0.0
2018-10-22,1.0,-0.3657794112187697,-1.0401306752793555,-0.0,-0.7008946801796785,-0.6055982477632995,0.0
2018-10-23,1.0,-0.3687551035557865,-1.0401603444436196,-0.0,-0.6985004825180017,-0.6042610051221142,0.0
2018-10-24,1.0,-0.3671205431677364,-1.040811783474938,-0.0,-0.6985122249842318,-0.6037546840796943,0.0
2018-10-25,1.0,-0.32761276915911286,-0.9882483608613092,-0.0,-0.7021246103686718,-0.5648310701873813,0.0
