Date,HTHT,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.935542047959388,-1.8176474517400305,-0.24059849041480197,-1.373121367978091,-1.3126043684456614,0.0
2018-09-25,1.0,-0.9354709418837676,-1.817768871075484,-0.24054776219104876,-1.3733466933867735,-1.3128924515698062,0.0
2018-09-26,1.0,-0.9404873477038425,-1.825210871602624,-0.24728879368054624,-1.375016735841478,-1.3063997857812288,0.0
2018-09-27,1.0,-0.9589954214920549,-1.812685160247778,-0.25592512792889843,-1.3883652033396174,-1.317196337193644,0.0
2018-09-28,1.0,-0.9577246718276676,-1.812722988892629,-0.25681588690676543,-1.3876809155166612,-1.316795691686301,0.0
2018-10-01,1.0,-0.9601939785815317,-1.8112750050515256,-0.25688691318111406,-1.3895736512426753,-1.3174378662356032,0.0
2018-10-02,1.0,-0.9614193374629678,-1.7977376784271477,-0.262119579854565,-1.3917317532992188,-1.320091570158901,0.0
2018-10-03,1.0,-0.9724751936930814,-1.8356667119749899,-0.26777218975125733,-1.3992795976620904,-1.321054777762675,0.0
2018-10-04,1.0,-0.9731539039551883,-1.8538834619851086,-0.2688708245098709,-1.4009836737482069,-1.3341075210055333,0.0
2018-10-05,1.0,-0.9531897547387731,-1.8438073238671109,-0.24526122698552894,-1.4083157823221688,-1.3434336571777976,0.0
2018-10-08,1.0,-0.9488551686763311,-1.8367429887549112,-0.23987264598292912,-1.4087522015986993,-1.3398590976832407,0.0
2018-10-09,1.0,-1.0037831021437578,-1.9047919293820934,-0.2855541544066134,-1.4485077763766288,-1.3631077483536498,0.0
2018-10-10,1.0,-1.0143490187803335,-1.908419497784343,-0.292959133431807,-1.4594499542800874,-1.3587254695083353,0.0
2018-10-11,1.0,-0.9105707531239448,-1.8879432624113475,-0.16014859844647078,-1.4210739614994934,-1.3747382640999664,0.0
2018-10-12,1.0,-0.9586178916762459,-1.9109473257150584,-0.15031442288187166,-1.4002299006017986,-1.3416728649672054,0.0
2018-10-15,1.0,-0.9616712941017133,-1.9148100494345501,-0.14606893749576758,-1.405024717275005,-1.3442811674680029,0.0
2018-10-16,1.0,-0.9625414888572783,-1.9128903339429653,-0.148005148005148,-1.4054054054054053,-1.3447808710966604,0.0
2018-10-17,1.0,-0.9253090091876528,-1.8290699980170535,-0.1194394870777976,-1.3873355806728798,-1.3486681208275497,0.0
2018-10-18,1.0,-0.9242003700766587,-1.827187417393603,-0.12001057361882103,-1.3885804916732751,-1.3485329103885804,0.0
2018-10-19,1.0,-0.9027341705913134,-1.8065149136577707,-0.09641548927263213,-1.390502354788069,-1.3448456305599163,0.0
2018-10-22,1.0,-0.9122024785259982,-1.7928660415710445,-0.07468362730312766,-1.412694249557406,-1.364500688479444,0.0
2018-10-23,1.0,-0.9241915300006587,-1.8007640123822697,-0.09089112823552657,-1.4065072778765726,-1.3639596917605217,0.0
2018-10-24,1.0,-0.9413116970926302,-1.8728870858688305,-0.09858012170385395,-1.4492224475997295,-1.3993238674780257,0.0
2018-10-25,1.0,-0.8666969972702456,-1.7671909528142467,-0.07597816196542312,-1.4623033926946576,-1.3271805537501624,0.0
2018-10-26,1.0,-0.8462178953436239,-1.736309485685006,-0.06296035355152758,-1.4545570998526869,-1.3048741433420867,0.0
2018-10-29,1.0,-0.8182455246225393,-1.7573421672931133,-0.034528890870867045,-1.4427597630120406,-1.3177040198764094,0.0
2018-10-30,1.0,-0.8123408048904737,-1.7575776872134485,-0.030565461029037184,-1.4435175751400915,-1.3238028527763626,0.0
2018-10-31,1.0,-0.8299968223705116,-1.7152843978392118,-0.030314585319351765,-1.4549729901493487,-1.3247537337146489,0.0
2018-11-01,1.0,-0.8237384957156458,-1.7207870517296098,-0.02392891145668042,-1.4544589019358933,-1.3243414788955887,0.0
