Date,CIB,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.3705681858111669,-0.8191081907305247,-0.00952247092308233,-0.6926806985487894,-0.6219473628729049,0.0
2018-09-25,1.0,-0.37134728856420346,-0.8178210171396461,-0.011133745434110706,-0.6915566170272549,-0.6203989884799102,0.0
2018-09-26,1.0,-0.37247461438459645,-0.8194019886862726,-0.013351603949263905,-0.6912265907733389,-0.6170900530550579,0.0
2018-09-27,1.0,-0.3724608139453152,-0.8200253039994376,-0.0134251774794405,-0.6912912068601954,-0.6172067196176284,0.0
2018-09-28,1.0,-0.37498680738786283,-0.8193843447669306,-0.013579595426561127,-0.6921723834652594,-0.6179419525065963,0.0
2018-10-01,1.0,-0.37488565195974954,-0.8195763844908874,-0.013932868904369856,-0.6919991555837028,-0.6180071775385265,0.0
2018-10-02,1.0,-0.37964498711931394,-0.7964145816423757,-0.023220524402724353,-0.7015915587394572,-0.6280834244980061,0.0
2018-10-03,1.0,-0.3792908802257894,-0.7875463044628683,-0.022014464632210268,-0.7049920620920798,-0.6340800846710178,0.0
2018-10-04,1.0,-0.3806014878538942,-0.784155413743257,-0.022670380425201846,-0.7063075133095935,-0.6319500758029828,0.0
2018-10-05,1.0,-0.3690233799059187,-0.7775749490978024,-0.00993470476725409,-0.7138243347609352,-0.6401390156568139,0.0
2018-10-08,1.0,-0.36706022492379914,-0.7741302596083102,-0.006236205023998878,-0.716708124583961,-0.6393511543986267,0.0
2018-10-09,1.0,-0.36713029464316993,-0.7743054339067372,-0.006271239883684265,-0.716708124583961,-0.6391059103808289,0.0
2018-10-10,1.0,-0.3670030131034966,-0.7746128512367739,-0.0057108822086749346,-0.7169434517553079,-0.6393385186742344,0.0
2018-10-11,1.0,-0.31811673257875356,-0.7574662484658392,-0.0,-0.6967475794354289,-0.6369153143324696,0.0
2018-10-12,1.0,-0.3287168081951745,-0.7513478905512871,-0.0,-0.6772476074942714,-0.6124477692411375,0.0
2018-10-15,1.0,-0.30914773491060626,-0.7670385804543621,-0.0,-0.6728390912757091,-0.6116749563113322,0.0
2018-10-16,1.0,-0.30565264148407045,-0.7726845006049201,-0.0,-0.6717300712461353,-0.6105995429493212,0.0
2018-10-17,1.0,-0.29216238608119305,-0.7460149130074565,-0.0,-0.6648218724109362,-0.6109693454846727,0.0
2018-10-18,1.0,-0.29342450293756434,-0.7498921233445083,-0.0,-0.6639559199389253,-0.6119759684004382,0.0
2018-10-19,1.0,-0.2851098991902165,-0.7457940836225417,-0.0,-0.6640885803999339,-0.610246240290861,0.0
2018-10-22,1.0,-0.2855254461335096,-0.7443159286186386,-0.0,-0.6642762723066755,-0.6105750165234634,0.0
2018-10-23,1.0,-0.28640343631257226,-0.7442260036345614,-0.0,-0.6634396167189823,-0.6100776474475467,0.0
2018-10-24,1.0,-0.2845826319437568,-0.7418886358385318,-0.0,-0.6636300623824141,-0.6105555005446084,0.0
2018-10-25,1.0,-0.25224792806630186,-0.697641675466385,-0.0,-0.6692905827013536,-0.5806854180666218,0.0
2018-10-26,1.0,-0.22508965163934427,-0.6954085553278688,-0.0,-0.6991867315573771,-0.5821593237704918,0.0
2018-10-29,1.0,-0.2027479358602442,-0.7057285855462399,-0.0,-0.6904587331441869,-0.5889253721827281,0.0
2018-10-30,1.0,-0.1833051145257643,-0.7091333099063989,-0.0,-0.6942146120180175,-0.6079608983164554,0.0
2018-10-31,1.0,-0.194329139791813,-0.6858675522063988,-0.0,-0.7028545884156077,-0.610032569129574,0.0
2018-11-01,1.0,-0.1815718157181572,-0.6951060098836283,-0.0,-0.701801370954886,-0.6097879802327436,0.0
2018-11-02,1.0,-0.1807209526874799,-0.7160283231412939,-0.0,-0.7037335049887352,-0.6180560025748311,0.0
2018-11-05,1.0,-0.1764838418951976,-0.7284987768765289,-0.0,-0.7051306810866486,-0.6086326767091541,0.0
2018-11-06,1.0,-0.1801448109412711,-0.7311343523732904,-0.0,-0.7022687047465808,-0.6044730490748189,0.0
2018-11-07,1.0,-0.17955561272066628,-0.7309881346667095,-0.0,-0.7010193253802374,-0.6039744043216824,0.0
2018-11-08,1.0,-0.17247012845564916,-0.729602460197969,-0.0,-0.6978249030976712,-0.6034532466284396,0.0
2018-11-09,1.0,-0.17123617123617124,-0.7307359307359307,-0.0,-0.7006573673240339,-0.604040404040404,0.0
2018-11-12,1.0,-0.1704661558109834,-0.7159323116219669,-0.0,-0.7055874840357599,-0.6008620689655173,0.0
2018-11-13,1.0,-0.1592751549833095,-0.7144492131616595,-0.0,-0.7069464314099507,-0.5984740104911779,0.0
2018-11-14,1.0,-0.15982707651228584,-0.713913347531708,-0.0,-0.7068883308433199,-0.5981118280937093,0.0
2018-11-15,1.0,-0.16071600115277465,-0.7275929424573313,-0.0,-0.7262480386819943,-0.5876268852668993,0.0
2018-11-16,1.0,-0.16841078973025675,-0.7505037374065648,-0.0,-0.739356516087098,-0.5916152096197596,0.0
2018-11-19,1.0,-0.16579349842178906,-0.7526601802739904,-0.0,-0.7422797826299177,-0.5933096872864534,0.0
2018-11-20,1.0,-0.1369517401992496,-0.7460538232630354,-0.0,-0.7454392547548195,-0.6061586233665417,0.0
2018-11-21,1.0,-0.1395624839620221,-0.7398960739030023,-0.0,-0.742590454195535,-0.5855144983320504,0.0
2018-11-23,1.0,-0.14015576423832568,-0.7357776994327104,-0.0,-0.7435979616037947,-0.5855581551873337,0.0
2018-11-26,1.0,-0.14114432658309226,-0.7337512054001929,-0.0,-0.7489553198328512,-0.590549662487946,0.0
