Date,BATRA,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.2546462158531124,-0.7429187192118227,-0.0,-0.41264554411106136,-0.3887147335423198,0.0
2018-09-25,1.0,-0.2574010856791091,-0.7418434159717948,-0.0,-0.41194247019978736,-0.386927080418602,0.0
2018-09-26,1.0,-0.2590767852643955,-0.7435825658539316,-0.0,-0.4121714301710383,-0.3844581922011029,0.0
2018-09-27,1.0,-0.27878046003188345,-0.73975176497381,-0.0,-0.429514916875427,-0.3986848098383057,0.0
2018-09-28,1.0,-0.2756212069162945,-0.7502576434215046,-0.0,-0.433814267720142,-0.402982938280087,0.0
2018-10-01,1.0,-0.2758064980287202,-0.7582952027396471,-0.0,-0.43658810325476993,-0.40706207372874037,0.0
2018-10-02,1.0,-0.27567443065672415,-0.7608326375493046,-0.0,-0.43604065298131456,-0.40652981314599945,0.0
2018-10-03,1.0,-0.27782110157987466,-0.7700083759350721,-0.0,-0.4360107443029201,-0.40441325130693473,0.0
2018-10-04,1.0,-0.27710738779407934,-0.774083398443152,-0.0,-0.4351650895621727,-0.4074427757039095,0.0
2018-10-05,1.0,-0.27246736744830774,-0.7748353933233222,-0.0,-0.4341862076931963,-0.4063474644796119,0.0
2018-10-08,1.0,-0.2704291932090047,-0.7723748306574812,-0.0,-0.43461216960193694,-0.4050096561265961,0.0
2018-10-09,1.0,-0.2685689580631215,-0.7723303069606571,-0.0,-0.43516356823749824,-0.4061968583369362,0.0
2018-10-10,1.0,-0.2670199519300379,-0.7784727651811311,-0.0,-0.4370312454753424,-0.41325688471896443,0.0
2018-10-11,1.0,-0.23445599524119762,-0.7714641815143188,-0.0,-0.419114522845084,-0.40758575758434124,0.0
2018-10-12,1.0,-0.24151914310484662,-0.7679615180244428,-0.0,-0.4006488240064882,-0.38655368179657135,0.0
2018-10-15,1.0,-0.22059439095856007,-0.7877494070043254,-0.0,-0.39589786521557135,-0.3863262173852379,0.0
2018-10-16,1.0,-0.21429170510777487,-0.8004696804495514,-0.0,-0.3953143783723336,-0.3856411976851464,0.0
2018-10-17,1.0,-0.20347730095211813,-0.7796881468193735,-0.0,-0.39000965916931146,-0.3866151510970056,0.0
2018-10-18,1.0,-0.20253899767673417,-0.7783770328576171,-0.0,-0.39592322159530924,-0.38895342405133315,0.0
2018-10-19,1.0,-0.19100938580602667,-0.7717767166145234,-0.0,-0.3951095010703112,-0.38646467972995224,0.0
2018-10-22,1.0,-0.190951740788499,-0.7658920683695026,-0.0,-0.39778869104776543,-0.3888995582869214,0.0
2018-10-23,1.0,-0.2008764918276784,-0.7708718061795429,-0.0,-0.3952206389019045,-0.3892946721424437,0.0
2018-10-24,1.0,-0.19944941500344116,-0.7693324156916723,-0.0,-0.394741913282863,-0.3894287680660702,0.0
2018-10-25,1.0,-0.18062714776632305,-0.743395618556701,-0.0,-0.3920747422680413,-0.36858354810996563,0.0
2018-10-26,1.0,-0.16554054054054054,-0.7332145137263247,-0.0,-0.3990210683124069,-0.36239093424132796,0.0
