Date,IWF,IWM,MTUM,MXL,SPY,VLUE,VXX
2018-09-24,-0.7963543150099687,-1.563429222443748,-0.0922244374821988,1.0,-1.1392765593847907,-1.1050412987752776,0.0
2018-09-25,-0.8020067270965167,-1.5613705033920529,-0.09976626190068981,1.0,-1.1373353856678639,-1.100450373410866,0.0
2018-09-26,-0.8018018018018017,-1.56146652982096,-0.09887102292165584,1.0,-1.1378720492644543,-1.1018360132284182,0.0
2018-09-27,-0.801847522381251,-1.5614415236357417,-0.09927581684438615,1.0,-1.137822888749501,-1.1017847978559616,0.0
2018-09-28,-0.800524485491135,-1.5616555498546263,-0.10010831765577788,1.0,-1.1372213670828344,-1.1014195313836155,0.0
2018-10-01,-0.800536774783006,-1.566126084970306,-0.10153037916857013,1.0,-1.1384764732754682,-1.1037003197807218,0.0
2018-10-02,-0.8028329906328534,-1.5490061686086358,-0.10829335161069226,1.0,-1.14290610006854,-1.1086360520904728,0.0
2018-10-03,-0.8017689015691869,-1.5400855920114123,-0.10756062767475036,1.0,-1.1444793152639088,-1.1122967189728958,0.0
2018-10-04,-0.8045151359671626,-1.53246679208711,-0.10871672082549455,1.0,-1.1474830397354767,-1.1076905535602302,0.0
2018-10-05,-0.792874567424973,-1.5271458557894138,-0.09207465819481478,1.0,-1.1499971634424462,-1.1110228626538832,0.0
2018-10-08,-0.8038653438091414,-1.5479153524115385,-0.09760853357802375,1.0,-1.1606354304066067,-1.124906807363652,0.0
2018-10-09,-0.8089435567306588,-1.5517875617887114,-0.10466720312679618,1.0,-1.1603057822738245,-1.122140475916772,0.0
2018-10-10,-0.8088911893259719,-1.553830227743271,-0.10317460317460318,1.0,-1.1611456176673567,-1.1240510697032438,0.0
2018-10-11,-0.7162057522123894,-1.542699115044248,-0.0,1.0,-1.1300884955752213,-1.141924778761062,0.0
2018-10-12,-0.7411725882741171,-1.5486195138048617,-0.0,1.0,-1.102848971510285,-1.1073039269607303,0.0
2018-10-15,-0.6908028875296193,-1.6080343858489008,-0.0,1.0,-1.0976469939934976,-1.1140684410646389,0.0
2018-10-16,-0.6805740987983979,-1.6539830885625277,-0.0,1.0,-1.1062527814864265,-1.122162883845127,0.0
2018-10-17,-0.6428881179531656,-1.582176929748482,-0.0,1.0,-1.0810385949696444,-1.1145381613183,0.0
2018-10-18,-0.6419351339624689,-1.5802147738366419,-0.0,1.0,-1.0854214123006836,-1.1160104132769282,0.0
2018-10-19,-0.6197198218023724,-1.5633084643873116,-0.0,1.0,-1.0775589071976812,-1.1068649025817185,0.0
2018-10-22,-0.6201512956703685,-1.559686678469875,-0.0,1.0,-1.0780084768496163,-1.1072482429314878,0.0
2018-10-23,-0.6290365912632314,-1.5628929127935094,-0.0,1.0,-1.0747407447208641,-1.1064424265219495,0.0
2018-10-24,-0.6267060720042988,-1.5572810317033854,-0.0,1.0,-1.0774314884470715,-1.1120365394948952,0.0
2018-10-25,-0.5638062958968829,-1.4663380064704978,-0.0,1.0,-1.0605967236686695,-1.0445231859497768,0.0
2018-10-26,-0.5290366420992106,-1.489885526109456,-0.0,1.0,-1.1362709738121373,-1.0719774188489886,0.0
2018-10-29,-0.4899192498046366,-1.5128939828080228,-0.0,1.0,-1.1214378744464704,-1.0854910132847095,0.0
2018-10-30,-0.4542966899963164,-1.531863389991054,-0.0,1.0,-1.1407146240067356,-1.135399673735726,0.0
2018-10-31,-0.456010498687664,-1.5244619422572179,-0.0,1.0,-1.1370603674540682,-1.131811023622047,0.0
2018-11-01,-0.5872340425531914,-1.5830354609929078,-0.0,1.0,-1.2617872340425533,-1.241758865248227,0.0
2018-11-02,-0.5900505902192242,-1.5421023046655422,-0.0,1.0,-1.261157953906689,-1.2278246205733558,0.0
2018-11-05,-0.5829629212850953,-1.5665335058797052,-0.0,1.0,-1.2645586001237834,-1.2124570978450457,0.0
2018-11-06,-0.5966595192416206,-1.5820449159237109,-0.0,1.0,-1.2609186322085544,-1.203080916375127,0.0
2018-11-07,-0.5951642901425914,-1.5810178662007552,-0.0,1.0,-1.258355407766443,-1.2014879107253564,0.0
