Date,HWKN,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.5271844660194175,-1.3500693481276007,-0.089875173370319,-0.812575127138234,-0.8434581599630143,0.0
2018-09-25,1.0,-0.5282809611829945,-1.3482902033271718,-0.09209796672828095,-0.811090573012939,-0.8413123844731978,0.0
2018-09-26,1.0,-0.5284875929947784,-1.348643778013955,-0.0926944226237235,-0.8108682593225821,-0.8402107111501317,0.0
2018-09-27,1.0,-0.5293003925190487,-1.3449549757561765,-0.09374278457631031,-0.81029785268991,-0.8395751558531517,0.0
2018-09-28,1.0,-0.5253946941988055,-1.3536274827538313,-0.09509699523126071,-0.8131394971989445,-0.8426316033149683,0.0
2018-10-01,1.0,-0.5252576840932306,-1.3603862939920142,-0.09629492060544156,-0.8150710372365123,-0.8459466988578327,0.0
2018-10-02,1.0,-0.5256863657515123,-1.376686831084225,-0.09278734295020939,-0.8139134481154026,-0.8442066077245229,0.0
2018-10-03,1.0,-0.5251581101190476,-1.370814732142857,-0.09240141369047618,-0.8151041666666666,-0.8467726934523809,0.0
2018-10-04,1.0,-0.5325358406255818,-1.3616644945075407,-0.09369763544963693,-0.8249860361199032,-0.8417426922360827,0.0
2018-10-05,1.0,-0.5192120509849363,-1.3581923522595598,-0.07833140208574739,-0.8302201622247972,-0.8490845886442642,0.0
2018-10-08,1.0,-0.5166859523258505,-1.3545012728535062,-0.07211293682018052,-0.8361490395741727,-0.8491090025457071,0.0
2018-10-09,1.0,-0.5162693820874797,-1.3550566998380007,-0.07086322610506827,-0.8366581809766258,-0.8497107151122425,0.0
2018-10-10,1.0,-0.51606035360548,-1.3555031009904657,-0.07025826159400167,-0.8367583078774414,-0.8497639544570953,0.0
2018-10-11,1.0,-0.4457663643710156,-1.3580407650175093,-0.0,-0.8167818981772471,-0.8689503456945318,0.0
2018-10-12,1.0,-0.4438978994948152,-1.3509704865727201,-0.0,-0.7927412922095187,-0.8438358592572898,0.0
2018-10-15,1.0,-0.394571746384872,-1.4124582869855395,-0.0,-0.7895884315906563,-0.8527697441601779,0.0
2018-10-16,1.0,-0.39169891899105835,-1.4167000311401754,-0.0,-0.7885137239201032,-0.8516837937630678,0.0
2018-10-17,1.0,-0.36685459551593025,-1.3722302346925395,-0.0,-0.7772824614308815,-0.8541147677112013,0.0
2018-10-18,1.0,-0.36596451359146925,-1.3707280832095097,-0.0,-0.7791276986277423,-0.8544270605716283,0.0
2018-10-19,1.0,-0.34200711249891574,-1.3590510885592852,-0.0,-0.7812472894440107,-0.8545840922890103,0.0
2018-10-22,1.0,-0.3433405639913232,-1.360043383947939,-0.0,-0.7808676789587853,-0.8541865509761388,0.0
2018-10-23,1.0,-0.3526164812239221,-1.3632649513212796,-0.0,-0.7771644645340751,-0.8532249652294854,0.0
2018-10-24,1.0,-0.34973080930878775,-1.3618878082667594,-0.0,-0.7764848905870094,-0.8536818339701285,0.0
2018-10-25,1.0,-0.30667786644267114,-1.3070558588828223,-0.0,-0.7736245275094498,-0.8125577488450231,0.0
2018-10-26,1.0,-0.2845629777334663,-1.2893403123961449,-0.0,-0.7794948487869725,-0.8008059155865737,0.0
2018-10-29,1.0,-0.2696954650777888,-1.2948940748096656,-0.0,-0.7719298245614035,-0.8011833829857663,0.0
2018-10-30,1.0,-0.28859423060936074,-1.2998586748690666,-0.0,-0.7764153296200849,-0.7917532629478761,0.0
2018-10-31,1.0,-0.2896337678460583,-1.2888061245603144,-0.0,-0.7726463894061659,-0.7871301469066831,0.0
2018-11-01,1.0,-0.2629510095994704,-1.311900033101622,-0.0,-0.7734607745779544,-0.7894323071830519,0.0
2018-11-02,1.0,-0.2700896706328677,-1.4020520779444732,-0.0,-0.8015175030177617,-0.837385756164856,0.0
2018-11-05,1.0,-0.26405003234850116,-1.421004960103515,-0.0,-0.803968082812163,-0.8241104162173819,0.0
2018-11-06,1.0,-0.27923793028794114,-1.4373240961247025,-0.0,-0.7998701017536264,-0.8135094176228621,0.0
2018-11-07,1.0,-0.27978151551933417,-1.4385729148604127,-0.0,-0.801846714062771,-0.8148083925784636,0.0
2018-11-08,1.0,-0.24289827667712408,-1.4429498474365035,-0.0,-0.7893764235678371,-0.8223817095706734,0.0
2018-11-09,1.0,-0.24121577926277216,-1.4471222246173745,-0.0,-0.7972407846518647,-0.8256951929295107,0.0
2018-11-12,1.0,-0.23980908152734778,-1.43984348125215,-0.0,-0.797514619883041,-0.8228414172686619,0.0
2018-11-13,1.0,-0.19277315991214092,-1.4565657435720745,-0.0,-0.8226883156036005,-0.8347904733192644,0.0
2018-11-14,1.0,-0.1974759043955569,-1.4585728486839262,-0.0,-0.8283701430608982,-0.8376626183169815,0.0
2018-11-15,1.0,-0.1962011655514785,-1.461256205482409,-0.0,-0.8328081156917765,-0.8265918411396505,0.0
2018-11-16,1.0,-0.19140692267952472,-1.4488117788875496,-0.0,-0.8313673153091098,-0.8335198897881867,0.0
2018-11-19,1.0,-0.18929048378064015,-1.450480334295438,-0.0,-0.8334553913755224,-0.8347046913367508,0.0
2018-11-20,1.0,-0.13779375882881725,-1.4439878429861734,-0.0,-0.8385771157056632,-0.8602799537691024,0.0
2018-11-21,1.0,-0.14316620005090355,-1.4390430134894374,-0.0,-0.8341817256299312,-0.825570543819462,0.0
2018-11-23,1.0,-0.1437714576357394,-1.434111812825838,-0.0,-0.8352053575212987,-0.8254567032594414,0.0
2018-11-26,1.0,-0.1434382812831052,-1.4350184329844484,-0.0,-0.8343997627018094,-0.824653587016399,0.0
2018-11-27,1.0,-0.13169210016018887,-1.438833150661833,-0.0,-0.8273754320883568,-0.8175533260264733,0.0
2018-11-28,1.0,-0.13048615800135044,-1.4489365293720458,-0.0,-0.824442943956786,-0.8162559081701554,0.0
