Date,IWF,IWM,MTUM,SPY,VKI,VLUE,VXX
2018-09-24,-0.10897871846335029,-0.2273458622920364,-0.0,-0.17834690729344635,1.0,-0.1440609086536069,0.0
2018-09-25,-0.10953747159986069,-0.22706844226272405,-0.0,-0.17814557455347518,1.0,-0.1436673908356689,0.0
2018-09-26,-0.10832640850922387,-0.2269070965597474,-0.0,-0.1792089080937344,1.0,-0.14751537310952303,0.0
2018-09-27,-0.11568437249130317,-0.22138413165640886,-0.0,-0.1841048969761841,1.0,-0.1512911426277763,0.0
2018-09-28,-0.11602810774636103,-0.22136523339467962,-0.0,-0.18425631587753055,1.0,-0.151447214321566,0.0
2018-10-01,-0.1156689521063484,-0.2236769315876821,-0.0,-0.1846177057314804,1.0,-0.1523980353041758,0.0
2018-10-02,-0.11538203415992751,-0.22643535451830474,-0.0,-0.18410456024965605,1.0,-0.1518908761450958,0.0
2018-10-03,-0.11530524938346168,-0.22549365007465566,-0.0,-0.18439109500562015,1.0,-0.15246531447648767,0.0
2018-10-04,-0.11804005170127406,-0.22204690044147518,-0.0,-0.18813892199486346,1.0,-0.1503701341211623,0.0
2018-10-05,-0.11800773986028044,-0.22204352414936923,-0.0,-0.1868455881121107,1.0,-0.14839758087483876,0.0
2018-10-08,-0.12022576025608626,-0.22638362395754358,-0.0,-0.18754949035464577,1.0,-0.15060230814590178,0.0
2018-10-09,-0.1220544112193642,-0.22693254222431986,-0.0,-0.18715234467181338,1.0,-0.14946229309240466,0.0
2018-10-10,-0.12204697873487681,-0.2267381120884306,-0.0,-0.18708927307653422,1.0,-0.1491760186027702,0.0
2018-10-11,-0.10472539405706012,-0.21799006219355688,-0.0,-0.1767744907696864,1.0,-0.14582579222745073,0.0
2018-10-12,-0.10681519250442494,-0.2125748989169089,-0.0,-0.16829319779809362,1.0,-0.13614146761281523,0.0
2018-10-15,-0.09769798614258887,-0.21990545878391501,-0.0,-0.16577089943663795,1.0,-0.13548209544777567,0.0
2018-10-16,-0.09632195816874958,-0.2220909149776598,-0.0,-0.16536618532668523,1.0,-0.13507738133782296,0.0
2018-10-17,-0.09362277328098097,-0.2165006517226397,-0.0,-0.16391226686835203,1.0,-0.13517210305263666,0.0
2018-10-18,-0.09445886468795847,-0.2189852806036081,-0.0,-0.1630580231189643,1.0,-0.13568284779209056,0.0
2018-10-19,-0.08792982231880354,-0.21209893902594915,-0.0,-0.16333248114534069,1.0,-0.13449124376837532,0.0
