Date,FE,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.24742912186613208,-0.5419541277238291,-0.0,-0.46950092421441775,-0.3445367212517248,0.0
2018-09-25,1.0,-0.2486012439170375,-0.5412340281572853,-0.0,-0.4689671324849715,-0.34356051734457543,0.0
2018-09-26,1.0,-0.24715196488294314,-0.5424069816053512,-0.0,-0.47196383779264217,-0.35135346989966554,0.0
2018-09-27,1.0,-0.24639920389671607,-0.5470067564028702,-0.0,-0.47294820091132883,-0.35243282878541876,0.0
2018-09-28,1.0,-0.25207938513371236,-0.5480890713834492,-0.0,-0.4764687302590019,-0.35546957254158773,0.0
2018-10-01,1.0,-0.2523357065346849,-0.5558319879310801,-0.0,-0.47913082603287194,-0.3593944366514041,0.0
2018-10-02,1.0,-0.25244234995102066,-0.557067591538482,-0.0,-0.47880649175293216,-0.359243864340367,0.0
2018-10-03,1.0,-0.25222213377908675,-0.5468704396508265,-0.0,-0.48515481970866836,-0.3690732043832418,0.0
2018-10-04,1.0,-0.26390896921017404,-0.543186077643909,-0.0,-0.502516733601071,-0.36776439089692103,0.0
2018-10-05,1.0,-0.24525375688539494,-0.5349216535643617,-0.0,-0.513530135301353,-0.3802609765228087,0.0
2018-10-08,1.0,-0.2441829077363278,-0.5390865410570642,-0.0,-0.5291259515197322,-0.3869243643038384,0.0
2018-10-09,1.0,-0.24269250492564304,-0.538905832501147,-0.0,-0.5296213327575504,-0.3877628134193409,0.0
2018-10-10,1.0,-0.24561782579338282,-0.5383659689399054,-0.0,-0.5320189061444969,-0.38490209318028357,0.0
2018-10-11,1.0,-0.19042159570587316,-0.5206889363697952,-0.0,-0.5106832039189119,-0.3838657564229507,0.0
2018-10-12,1.0,-0.1877885830732324,-0.5145613537286867,-0.0,-0.5037016018778858,-0.37343616993834966,0.0
2018-10-15,1.0,-0.16991564653842198,-0.5292151013270239,-0.0,-0.49997428248122616,-0.3726468470321983,0.0
2018-10-16,1.0,-0.16665809239633708,-0.5347515176458483,-0.0,-0.4990997016153926,-0.3717717872209075,0.0
2018-10-17,1.0,-0.15180601161909574,-0.5055064410204597,-0.0,-0.4936347562515787,-0.37494316746653195,0.0
2018-10-18,1.0,-0.15121741766013336,-0.5043948272378258,-0.0,-0.49502424732269146,-0.37512628813901805,0.0
2018-10-19,1.0,-0.136897458369851,-0.49317641166896203,-0.0,-0.499161136847377,-0.3748341054213096,0.0
2018-10-22,1.0,-0.13771095582856135,-0.48285865644156306,-0.0,-0.5136348729850408,-0.3884109886228904,0.0
2018-10-23,1.0,-0.13686840644086617,-0.48319115642824695,-0.0,-0.5146888092473878,-0.38910201403260813,0.0
2018-10-24,1.0,-0.1357498043769089,-0.4841860817325895,-0.0,-0.5154352929298028,-0.38879773834465,0.0
2018-10-25,1.0,-0.10376548509751012,-0.44707469643076164,-0.0,-0.5361707346988838,-0.3660493070035569,0.0
2018-10-26,1.0,-0.08197365834480047,-0.4463092195793199,-0.0,-0.5609887949675644,-0.36797228228818557,0.0
2018-10-29,1.0,-0.08739716522945784,-0.4488304093567252,-0.0,-0.5720091188423035,-0.3696848052334225,0.0
2018-10-30,1.0,-0.0694458262859417,-0.45308924485125857,-0.0,-0.576534673166849,-0.38826982389811954,0.0
2018-10-31,1.0,-0.073995458584263,-0.4349639648533912,-0.0,-0.5751061309112449,-0.38409517227761875,0.0
2018-11-01,1.0,-0.06321003474703664,-0.44286453584366303,-0.0,-0.5742871928830183,-0.3839670765666971,0.0
2018-11-02,1.0,-0.0687763299696287,-0.4175810718134614,-0.0,-0.5828598020966004,-0.3800578034682081,0.0
2018-11-05,1.0,-0.06739620054837446,-0.42109772816294555,-0.0,-0.5828926752839796,-0.376713670191931,0.0
2018-11-06,1.0,-0.06658663857517333,-0.42056395306107447,-0.0,-0.5840662436610402,-0.37862270021313604,0.0
2018-11-07,1.0,-0.06658174513742589,-0.42053304590661894,-0.0,-0.5839743275684679,-0.37859487531233155,0.0
2018-11-08,1.0,-0.04969441210710128,-0.4186069072564998,-0.0,-0.5769547923942568,-0.3800203725261932,0.0
2018-11-09,1.0,-0.04981326090119804,-0.41853809962652183,-0.0,-0.5768783043119756,-0.37997768831546785,0.0
2018-11-12,1.0,-0.049567402967760646,-0.40340277442119005,-0.0,-0.5854318720092804,-0.3783411474696699,0.0
2018-11-13,1.0,-0.020469247851694506,-0.40718837501206917,-0.0,-0.6029014193299218,-0.3832673554117988,0.0
2018-11-14,1.0,-0.020374662031672458,-0.40734839706450365,-0.0,-0.6029596369254538,-0.383376786404017,0.0
2018-11-15,1.0,-0.01956574185765983,-0.4070928829915561,-0.0,-0.6034981905910736,-0.38238841978287097,0.0
2018-11-16,1.0,-0.01929655504697663,-0.40472175379426645,-0.0,-0.6021681522524692,-0.3828715972054926,0.0
2018-11-19,1.0,-0.021152039316774673,-0.4042255896311643,-0.0,-0.6011708304223181,-0.38256763593437565,0.0
2018-11-20,1.0,-0.0,-0.3974454038797331,-0.0,-0.603463534814744,-0.39103499413973736,0.0
