Date,AXL,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.37930015617745133,-0.9598159638681356,-0.0,-0.8477903001139673,-1.0341057785657,0.0
2018-09-25,1.0,-0.3799797434166104,-0.9593180283592168,-0.0,-0.8474004051316678,-1.0334233625928426,0.0
2018-09-26,1.0,-0.37854741947836446,-0.9651959324341574,-0.0,-0.8571246223886312,-1.0539080117431818,0.0
2018-09-27,1.0,-0.38447469162058695,-0.9554232241599319,-0.0,-0.8588260314759677,-1.0547851977881753,0.0
2018-09-28,1.0,-0.3820588110132346,-0.9590195327460743,-0.0,-0.8592706072598834,-1.0551938380356611,0.0
2018-10-01,1.0,-0.3848087245463065,-0.9579534804464513,-0.0,-0.8615063474482406,-1.0557638238050608,0.0
2018-10-02,1.0,-0.3865156096937689,-0.9526385280463393,-0.0,-0.8629839430980877,-1.0570296861024746,0.0
2018-10-03,1.0,-0.38624248368800373,-0.9377798626807113,-0.0,-0.870996630986396,-1.0695552049127894,0.0
2018-10-04,1.0,-0.38546745359678386,-0.9466683773843126,-0.0,-0.8695577794884954,-1.0750577367205543,0.0
2018-10-05,1.0,-0.36454251150110756,-0.9357641846992673,-0.0,-0.8739989776793321,-1.0854063724654965,0.0
2018-10-08,1.0,-0.3688040407499358,-0.9445252974916531,-0.0,-0.8765516650971663,-1.0905744371201096,0.0
2018-10-09,1.0,-0.35905274488697525,-0.9509149623250807,-0.0,-0.8886544671689989,-1.1070828848223897,0.0
2018-10-10,1.0,-0.35731622746185854,-0.9628987517337031,-0.0,-0.893377253814147,-1.1206657420249653,0.0
2018-10-11,1.0,-0.292547792251734,-0.942141769582135,-0.0,-0.8674928100152257,-1.1272204364743696,0.0
2018-10-12,1.0,-0.2993936859711478,-0.9333472715868701,-0.0,-0.8436964248379678,-1.1050804934141754,0.0
2018-10-15,1.0,-0.2632414369256475,-0.9680868838763576,-0.0,-0.8375522138680033,-1.1082706766917294,0.0
2018-10-16,1.0,-0.2600760138662657,-0.9730610199223154,-0.0,-0.8364031240863717,-1.1070459006807836,0.0
2018-10-17,1.0,-0.23580678314491266,-0.9301541623843782,-0.0,-0.8295580678314491,-1.1154779033915725,0.0
2018-10-18,1.0,-0.23487090938990296,-0.9283012662391054,-0.0,-0.8319766485775365,-1.1160171024502548,0.0
2018-10-19,1.0,-0.22271422714227143,-0.9253382533825338,-0.0,-0.831939319393194,-1.1200902009020088,0.0
2018-10-22,1.0,-0.22295995737530225,-0.9167588835608016,-0.0,-0.8357719578671257,-1.1230788147055206,0.0
2018-10-23,1.0,-0.22443042124241927,-0.9166120308146205,-0.0,-0.8343714145222094,-1.1222750368792,0.0
2018-10-24,1.0,-0.22165792922673658,-0.9106733289646134,-0.0,-0.8360091743119267,-1.1273345347313237,0.0
