Date,IWF,IWM,KRC,MTUM,SPY,VLUE,VXX
2018-09-24,-0.2710326462175757,-0.4538416017358714,1.0,-0.012525890127231484,-0.4085215504487622,-0.3198047144688826,0.0
2018-09-25,-0.26982904283868403,-0.46329887685120763,1.0,-0.005889076632541497,-0.41648444488619424,-0.32936586820395586,0.0
2018-09-26,-0.27001441137007404,-0.4635243253987974,1.0,-0.006360880584405904,-0.41631466481140983,-0.32850469611886896,0.0
2018-09-27,-0.2709823202224871,-0.4604439809296782,1.0,-0.0072506952721493835,-0.4161452125546285,-0.32829261025029793,0.0
2018-09-28,-0.2776779026217228,-0.46117353308364545,1.0,-0.006466916354556804,-0.42004993757802744,-0.33153558052434456,0.0
2018-10-01,-0.2771549670202894,-0.46770997918390894,1.0,-0.006972136533493843,-0.42163870288164923,-0.3344869962129762,0.0
2018-10-02,-0.2770122731722009,-0.4724041864317446,1.0,-0.005898150239690787,-0.42082674497402306,-0.3337098110082072,0.0
2018-10-03,-0.2767003688000201,-0.467548107077448,1.0,-0.005318748588775433,-0.42248927469329384,-0.33678717479113873,0.0
2018-10-04,-0.27859561128526644,-0.4639749216300941,1.0,-0.005793103448275862,-0.42490282131661444,-0.3345956112852665,0.0
2018-10-05,-0.27340646160765597,-0.4604082856500337,1.0,-0.0,-0.4278253916693736,-0.3370480497738687,0.0
2018-10-08,-0.27103969659921656,-0.4575712966890392,1.0,-0.0,-0.430200354300257,-0.3362608847526136,0.0
2018-10-09,-0.2649869895916734,-0.45904223378702963,1.0,-0.0,-0.43477281825460373,-0.343224579663731,0.0
2018-10-10,-0.2676595744680851,-0.4582978723404255,1.0,-0.0,-0.43674593241551934,-0.3404005006257822,0.0
2018-10-11,-0.23094778508075353,-0.44821267134165704,1.0,-0.0,-0.4231436460038605,-0.34104625308476066,0.0
2018-10-12,-0.2274825943569073,-0.4493709539513864,1.0,-0.0,-0.4250641260534994,-0.340979601807744,0.0
2018-10-15,-0.21651067563615095,-0.4580530369503754,1.0,-0.0,-0.4225650775080433,-0.34025543531246955,0.0
2018-10-16,-0.20969673272891667,-0.4722514112558344,1.0,-0.0,-0.4221060091395616,-0.3396788934776765,0.0
2018-10-17,-0.2003141234746889,-0.4542467077443518,1.0,-0.0,-0.41930651202126373,-0.3424429140993114,0.0
2018-10-18,-0.19981637189523532,-0.4532714796559389,1.0,-0.0,-0.4204841983183531,-0.3425872233497632,0.0
2018-10-19,-0.19273548418094025,-0.447642155331876,1.0,-0.0,-0.42107286136401856,-0.3408364763254619,0.0
2018-10-22,-0.19252210688196847,-0.44047962322183776,1.0,-0.0,-0.4251970396001538,-0.3447472126105344,0.0
2018-10-23,-0.1912821869064506,-0.4408193686437622,1.0,-0.0,-0.4265621619022431,-0.34558699781213187,0.0
2018-10-24,-0.19019937545039634,-0.4371847225558491,1.0,-0.0,-0.4274321402834494,-0.34729762190727836,0.0
2018-10-25,-0.1650449014044878,-0.4072545663438768,1.0,-0.0,-0.4435742924804802,-0.3288236535440456,0.0
2018-10-26,-0.1647262760898592,-0.40624048349691955,1.0,-0.0,-0.443252360092764,-0.32830471550048024,0.0
2018-10-29,-0.1893919229559368,-0.41655576257652377,1.0,-0.0,-0.47661335204587796,-0.3371645655382679,0.0
2018-10-30,-0.17866911960494786,-0.4174675026022125,1.0,-0.0,-0.4778146256445015,-0.34671152961680907,0.0
2018-10-31,-0.1813038663392556,-0.40608599354807645,1.0,-0.0,-0.47635899658144343,-0.3436853002070393,0.0
