Date,INGR,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.26024465808553454,-0.7181641061675557,-0.0,-0.5767351240857262,-0.6388578364048677,0.0
2018-09-25,1.0,-0.25947587088526686,-0.7190795781399808,-0.0,-0.5774368807925855,-0.6399169063598593,0.0
2018-09-26,1.0,-0.2630029126524342,-0.7231379829081714,-0.0,-0.5785615977979067,-0.636046474410268,0.0
2018-09-27,1.0,-0.26913469544610263,-0.7146608595401268,-0.0,-0.5810222250688529,-0.6376737334272722,0.0
2018-09-28,1.0,-0.26964096979790536,-0.7144412772635557,-0.0,-0.5810460237645325,-0.6376389200269031,0.0
2018-10-01,1.0,-0.2693973121211149,-0.7176444173589505,-0.0,-0.581550501972608,-0.6389004715014274,0.0
2018-10-02,1.0,-0.2686624694847745,-0.7268084286264936,-0.0,-0.579789284337659,-0.6368688166516767,0.0
2018-10-03,1.0,-0.26811081828115957,-0.7162049238285016,-0.0,-0.5847207045060101,-0.644950825994729,0.0
2018-10-04,1.0,-0.2728003343298936,-0.7100652586234609,-0.0,-0.5906709100845469,-0.6412061593853473,0.0
2018-10-05,1.0,-0.25209248629060704,-0.7007023057435141,-0.0,-0.5996857261969663,-0.6543629541737486,0.0
2018-10-08,1.0,-0.24869503954910818,-0.696960963268966,-0.0,-0.6030678579434463,-0.6536330739424216,0.0
2018-10-09,1.0,-0.2405850326986888,-0.7019103765986919,-0.0,-0.6124480525756257,-0.666602235752714,0.0
2018-10-10,1.0,-0.2396341860313741,-0.7153876196055459,-0.0,-0.6183688081754866,-0.6811820607954177,0.0
2018-10-11,1.0,-0.16905770081526889,-0.7025848448461101,-0.0,-0.5956518991341717,-0.6926625797889149,0.0
2018-10-12,1.0,-0.17168251988149072,-0.6946203025105255,-0.0,-0.5778574769998441,-0.6745049118977078,0.0
2018-10-15,1.0,-0.15828278114792346,-0.7037486389796236,-0.0,-0.574552807590605,-0.6743194898117904,0.0
2018-10-16,1.0,-0.1508686566233118,-0.7201896385016063,-0.0,-0.5742490876766164,-0.673746919933876,0.0
2018-10-17,1.0,-0.130927170610441,-0.6848663413436454,-0.0,-0.570481539453089,-0.6827793634717491,0.0
2018-10-18,1.0,-0.13041610408739415,-0.6840247944028477,-0.0,-0.571314594329201,-0.6828894071437338,0.0
2018-10-19,1.0,-0.11400998538723818,-0.6729785679493424,-0.0,-0.5730029225523624,-0.6843034583536288,0.0
2018-10-22,1.0,-0.1142787450071653,-0.6621032411501052,-0.0,-0.5811507150044212,-0.6915266640241486,0.0
2018-10-23,1.0,-0.11188127881767382,-0.6633790344743351,-0.0,-0.5845063971418974,-0.6937616415768421,0.0
2018-10-24,1.0,-0.1291852138571705,-0.7384684859041352,-0.0,-0.6291207018902005,-0.7288239468421392,0.0
2018-10-25,1.0,-0.08571428571428572,-0.7033529318290164,-0.0,-0.6754171301446051,-0.713650087398697,0.0
2018-10-26,1.0,-0.0917969996808171,-0.7073412065113309,-0.0,-0.6763166294286626,-0.716374082349186,0.0
2018-10-29,1.0,-0.07864882900632368,-0.7097143220312053,-0.0,-0.6709142330547523,-0.7184530808096857,0.0
