Date,IWF,IWM,MTUM,PRI,SPY,VLUE,VXX
2018-09-24,-0.2680044318601502,-0.6911855225901761,-0.09666994952603718,1.0,-0.5169580204357996,-0.504893512249169,0.0
2018-09-25,-0.26739351381317567,-0.6925374973051218,-0.09526009424374018,1.0,-0.518155779358773,-0.5065447041793711,0.0
2018-09-26,-0.26955931785240694,-0.6956240170228513,-0.09883738859592316,1.0,-0.5181176180343541,-0.5016806981836124,0.0
2018-09-27,-0.26926874421474856,-0.697315643319963,-0.09854983029929035,1.0,-0.5183585313174947,-0.5019746991669238,0.0
2018-09-28,-0.2678042458652185,-0.6985929400148112,-0.09901876079980253,1.0,-0.5182362379659343,-0.5020056776104665,0.0
2018-10-01,-0.2688188636153205,-0.6976327891114471,-0.0989167001018487,1.0,-0.5188728742940032,-0.5020524057899447,0.0
2018-10-02,-0.2693102916216633,-0.6940595587100756,-0.10038574294090419,1.0,-0.5194260145039346,-0.502761919456874,0.0
2018-10-03,-0.2690706067429594,-0.6901816835806164,-0.10000308461087634,1.0,-0.5204972392732657,-0.5048891082389957,0.0
2018-10-04,-0.2696601492629372,-0.6888916301733177,-0.10035156972799605,1.0,-0.5209399864306421,-0.5041324862764448,0.0
2018-10-05,-0.25501432664756446,-0.6835197338016452,-0.08549773546538497,1.0,-0.5356625689373632,-0.521305111378131,0.0
2018-10-08,-0.2536069154335989,-0.6813609376441996,-0.08321284646383856,1.0,-0.5372996585350848,-0.5207801396622266,0.0
2018-10-09,-0.2523151709073009,-0.6818755191828447,-0.07996184967541457,1.0,-0.5391502322862506,-0.5232747746361874,0.0
2018-10-10,-0.2522456010828104,-0.681832164390304,-0.07985726590377754,1.0,-0.5392518764611789,-0.5229789590254706,0.0
2018-10-11,-0.2299215935579572,-0.6807737716828626,-0.0534314170677807,1.0,-0.5349498985862622,-0.5281990736536191,0.0
2018-10-12,-0.2273824612227654,-0.6821775605045567,-0.048192407507996866,1.0,-0.5339791176293077,-0.5259822560202788,0.0
2018-10-15,-0.20590372388737513,-0.7292764153799577,-0.013593702694520133,1.0,-0.5405691795337572,-0.5382379654859218,0.0
2018-10-16,-0.20318809776833155,-0.7483528161530287,-0.0008501594048884166,1.0,-0.5436769394261425,-0.540215576134811,0.0
2018-10-17,-0.19244636740580492,-0.7288023556276666,-0.0,1.0,-0.5402920497566253,-0.5430863529835948,0.0
2018-10-18,-0.19183391419300563,-0.7276168729719985,-0.0,1.0,-0.5417017185434442,-0.5433241196971518,0.0
2018-10-19,-0.18116613370789875,-0.7225426616060489,-0.0,1.0,-0.5423029795881773,-0.542542063895281,0.0
2018-10-22,-0.18110330393182836,-0.7129017790402152,-0.0,1.0,-0.5481237853191807,-0.5478546867992226,0.0
2018-10-23,-0.1849526030920128,-0.7133458927663647,-0.0,1.0,-0.5454681379145361,-0.5465745641577704,0.0
2018-10-24,-0.18317896623842247,-0.7117119808783986,-0.0,1.0,-0.545622945921721,-0.5472363310427248,0.0
2018-10-25,-0.17951472826573553,-0.7122093890828782,-0.0,1.0,-0.5459456233025936,-0.5467514250753575,0.0
2018-10-26,-0.16905622370993542,-0.7034776941761953,-0.0,1.0,-0.5488773031577701,-0.5408495763967059,0.0
2018-10-29,-0.15480406043437203,-0.7093366383380547,-0.0,1.0,-0.542640462700661,-0.5441454202077431,0.0
2018-10-30,-0.13570647192738672,-0.7122668006977502,-0.0,1.0,-0.5460485468468202,-0.5625461963752476,0.0
2018-10-31,-0.13992531827938018,-0.6959219076181236,-0.0,1.0,-0.5452353650289612,-0.559142630325483,0.0
2018-11-01,-0.12653468836280327,-0.7063972272807378,-0.0,1.0,-0.5447923397755977,-0.5594489807906949,0.0
2018-11-02,-0.12778429073856976,-0.6994724501758499,-0.0,1.0,-0.5458382180539273,-0.5577373974208675,0.0
