Date,IWF,IWM,MTUM,PH,SPY,VLUE,VXX
2018-09-24,-0.3406902454681625,-0.5103781371320271,-0.13966924464280256,1.0,-0.5226668297007306,-0.5435148106257452,0.0
2018-09-25,-0.34105565573519975,-0.5098566582108255,-0.14037715089091965,1.0,-0.5222042238454722,-0.5428344387053394,0.0
2018-09-26,-0.3406408610040971,-0.5096312603192075,-0.13881245031492692,1.0,-0.5230232984773435,-0.5454656637925762,0.0
2018-09-27,-0.34101607874304585,-0.5083450510484808,-0.13920645595158035,1.0,-0.5228953964663446,-0.5453017056917527,0.0
2018-09-28,-0.33962033442362366,-0.5096139149573564,-0.13966924464280256,1.0,-0.5227279674747043,-0.5452572371839942,0.0
2018-10-01,-0.34266376749456406,-0.5089272042385079,-0.13900713563837933,1.0,-0.5255566104186445,-0.5463510244081708,0.0
2018-10-02,-0.3437452151278518,-0.49946409431939975,-0.14248966467615987,1.0,-0.5277905374368397,-0.5488286632981166,0.0
2018-10-03,-0.3434247581731358,-0.4937859679196767,-0.14172890902412147,1.0,-0.5297844985918941,-0.5523754132484388,0.0
2018-10-04,-0.3446344971084116,-0.49129463602704937,-0.14216211254245587,1.0,-0.5311648970349745,-0.5506869434839815,0.0
2018-10-05,-0.33413666870042713,-0.48422818791946315,-0.13160463697376448,1.0,-0.539444783404515,-0.5612263575350824,0.0
2018-10-08,-0.3336280487804878,-0.48341463414634145,-0.13073170731707318,1.0,-0.5399085365853659,-0.5610975609756098,0.0
2018-10-09,-0.333780487804878,-0.48341463414634145,-0.13103658536585364,1.0,-0.5397256097560975,-0.5607926829268293,0.0
2018-10-10,-0.3330176285478598,-0.4871528520362959,-0.1284409275610278,1.0,-0.5408328495921298,-0.5657938956952124,0.0
2018-10-11,-0.3073463268365817,-0.4819190404797601,-0.09415292353823088,1.0,-0.5367016491754123,-0.5784107946026986,0.0
2018-10-12,-0.30643425222747117,-0.48020690067571614,-0.08936793637505233,1.0,-0.5360282246008492,-0.5778269449261496,0.0
2018-10-15,-0.29792823452146394,-0.49298465580034634,-0.07728819631022747,1.0,-0.5365096423667084,-0.5805122693892173,0.0
2018-10-16,-0.3018613837682547,-0.4844086665070625,-0.08531841034235096,1.0,-0.538245152022983,-0.5827148671295188,0.0
2018-10-17,-0.2906116895409371,-0.45734737340274495,-0.07252721249408424,1.0,-0.5412328442972077,-0.596131093232371,0.0
