Date,IWF,IWM,MTUM,PHM,SPY,VLUE,VXX
2018-09-24,-0.37111685735538946,-0.9428642272678971,-0.0,1.0,-0.5857036590981545,-0.6425206333463214,0.0
2018-09-25,-0.36874999999999997,-0.9467684659090909,-0.0,1.0,-0.5887784090909091,-0.6468394886363636,0.0
2018-09-26,-0.3719252097255794,-0.9501990615668988,-0.0,1.0,-0.5895777051045074,-0.6429688610834637,0.0
2018-09-27,-0.3722856025873405,-0.9492838611081494,-0.0,1.0,-0.5895440167750648,-0.642890144649394,0.0
2018-09-28,-0.3687009279086367,-0.9597787294789436,-0.0,1.0,-0.5935403283369023,-0.6468236973590293,0.0
2018-10-01,-0.37037566061991145,-0.9586130552778175,-0.0,1.0,-0.594807884587916,-0.6471218397371804,0.0
2018-10-02,-0.3707235197485894,-0.9587172344832512,-0.0,1.0,-0.5947789443611171,-0.6469537890150703,0.0
2018-10-03,-0.37010434534019443,-0.9467552887364209,-0.0,1.0,-0.60045025728988,-0.6561963979416809,0.0
2018-10-04,-0.38241845092685733,-0.9394309527230924,-0.0,1.0,-0.6179048713895674,-0.6526799827561431,0.0
2018-10-05,-0.3673250322026621,-0.9330900243309003,-0.0,1.0,-0.6200443681122084,-0.6575783598110777,0.0
2018-10-08,-0.36362986270022885,-0.9294908466819224,-0.0,1.0,-0.6251072654462243,-0.6572868993135011,0.0
2018-10-09,-0.35641044026961133,-0.9316291409723219,-0.0,1.0,-0.6310053061809837,-0.6662125340599455,0.0
2018-10-10,-0.3555005559740307,-0.9328526848165287,-0.0,1.0,-0.6309767208292981,-0.6675992682664371,0.0
2018-10-11,-0.276277639990219,-0.9279700981590805,-0.0,1.0,-0.6062458518182136,-0.6827121249170364,0.0
2018-10-12,-0.2824158757549612,-0.9231751509922347,-0.0,1.0,-0.5852631578947368,-0.6604314063848145,0.0
2018-10-15,-0.2444767140338139,-0.9662898039622446,-0.0,1.0,-0.5811983542509421,-0.6654911316253501,0.0
2018-10-16,-0.24058642508903563,-0.9727533626084852,-0.0,1.0,-0.5800629300508281,-0.6643269596486981,0.0
2018-10-17,-0.2251960450051142,-0.9444255028980567,-0.0,1.0,-0.5733037845209683,-0.6665189226048415,0.0
2018-10-18,-0.23030927835051546,-0.9591408934707906,-0.0,1.0,-0.5743642611683849,-0.6726116838487972,0.0
2018-10-19,-0.21417607531466384,-0.9504724221441485,-0.0,1.0,-0.5742402019306205,-0.6721356209707678,0.0
2018-10-22,-0.21922944616443066,-0.974406604747162,-0.0,1.0,-0.5741658066735466,-0.6721706226350188,0.0
2018-10-23,-0.21329131458650782,-0.9812993489402964,-0.0,1.0,-0.5869233965923257,-0.6815694694556033,0.0
2018-10-24,-0.23259297143274643,-1.0199094030832176,-0.0,1.0,-0.6499598158836852,-0.7506758237743845,0.0
2018-10-25,-0.18909903835917816,-0.9718604733685817,-0.0,1.0,-0.6676484155991625,-0.7198821901281005,0.0
2018-10-26,-0.18829399483350437,-0.9670547436215011,-0.0,1.0,-0.6664779362327047,-0.7169043490569376,0.0
2018-10-29,-0.14791629404399925,-1.0123054909676266,-0.0,1.0,-0.6658200679663745,-0.7511357538901806,0.0
2018-10-30,-0.15652547839174372,-1.0139038199670323,-0.0,1.0,-0.6671325163047374,-0.7459327743137678,0.0
2018-10-31,-0.1571449285869644,-1.0341840063800478,-0.0,1.0,-0.67715507866309,-0.7565069238019285,0.0
2018-11-01,-0.13107975771644118,-1.0577418301838888,-0.0,1.0,-0.6787929346052012,-0.7594211308984078,0.0
2018-11-02,-0.13854422161304286,-1.0230125523012552,-0.0,1.0,-0.6909897561679411,-0.7544005194055692,0.0
