Date,IWF,IWM,MTUM,SPNS,SPY,VLUE,VXX
2018-09-24,-0.7145361897978193,-1.4655635307654375,-0.10618596241301848,1.0,-1.1865651197194673,-1.0063558161196646,0.0
2018-09-25,-0.7146073585941789,-1.470675453047776,-0.10367929708951125,1.0,-1.1908841295991213,-1.0116419549697968,0.0
2018-09-26,-0.7148426775026083,-1.4710339904453353,-0.10433254626324749,1.0,-1.1905990884630169,-1.010323430893416,0.0
2018-09-27,-0.7188459850811759,-1.4586441421676173,-0.10777753400614304,1.0,-1.190160157964019,-1.0094339622641508,0.0
2018-09-28,-0.7170432112305329,-1.459420925641588,-0.10868611537617899,1.0,-1.1894055713972362,-1.009157710024128,0.0
2018-10-01,-0.7661540260803462,-1.588328167943395,-0.11975907841646688,1.0,-1.275656394362903,-1.0977135840009355,0.0
2018-10-02,-0.7716378552593026,-1.5633753296220336,-0.13050102549077058,1.0,-1.2858482273659537,-1.1085848227365953,0.0
2018-10-03,-0.8294088486801339,-1.7106828603296567,-0.14896517536249845,1.0,-1.3509108935431902,-1.1565249721155038,0.0
2018-10-04,-0.8299690402476779,-1.706811145510836,-0.15027863777089784,1.0,-1.3505882352941176,-1.1543034055727555,0.0
2018-10-05,-0.8067729083665338,-1.7102216135458166,-0.11447958167330677,1.0,-1.3937998007968126,-1.1998256972111554,0.0
2018-10-08,-0.8022223601713329,-1.7025886150599043,-0.10658638028431312,1.0,-1.3987832888447451,-1.1975293314296356,0.0
2018-10-09,-0.8069291534490266,-1.7063506873172858,-0.11289419667848478,1.0,-1.3987684269453255,-1.195185668968091,0.0
2018-10-10,-0.8134039900249377,-1.7076059850374066,-0.11745635910224439,1.0,-1.4052992518703242,-1.1906483790523692,0.0
2018-10-11,-0.7040023717758672,-1.6723984583456866,-0.0,1.0,-1.3603320486214054,-1.1926474948117405,0.0
2018-10-12,-0.7059677232091025,-1.6464065946824566,-0.0,1.0,-1.3146987112504354,-1.1381051898293277,0.0
2018-10-15,-0.6769124104460364,-1.6635659810492258,-0.0,1.0,-1.3048301363531314,-1.1323665357060317,0.0
2018-10-16,-0.6716348931253611,-1.6718082033506643,-0.0,1.0,-1.3029462738301558,-1.1306181398035817,0.0
2018-10-17,-0.6238662131519274,-1.5916099773242631,-0.0,1.0,-1.2985260770975058,-1.1549319727891156,0.0
