Date,IWF,IWM,MTUM,SPY,TROW,VLUE,VXX
2018-09-24,-0.3005901120930627,-0.41361493068300537,-0.23621424739531863,-0.4316571138153994,1.0,-0.4413981986051896,0.0
2018-09-25,-0.30024288296430185,-0.4141719385449616,-0.235511748757343,-0.4321622232263895,1.0,-0.44210347943967465,0.0
2018-09-26,-0.29982482906707353,-0.4139119624795163,-0.2340227157145279,-0.43292648471492345,1.0,-0.44467988924676505,0.0
2018-09-27,-0.3004405784003615,-0.4119125621328513,-0.23457975598734748,-0.4328117939448712,1.0,-0.4445040668775418,0.0
2018-09-28,-0.3003925777388652,-0.4120371677916796,-0.23469935323523594,-0.43273928884118956,1.0,-0.4444601350015534,0.0
2018-10-01,-0.30216783019134563,-0.41101155987676996,-0.23425002119781801,-0.4341595771741895,1.0,-0.4447584861931545,0.0
2018-10-02,-0.30324185297193407,-0.40171278369746477,-0.23750035329696728,-0.43650546903705373,1.0,-0.4473587518724739,0.0
2018-10-03,-0.30350976507217664,-0.3901500141522785,-0.23504104160769884,-0.4436456269459383,1.0,-0.4581375601471837,0.0
2018-10-04,-0.3040611291920192,-0.3891608886373284,-0.2352341870666478,-0.44417716145464836,1.0,-0.4574218197254846,0.0
2018-10-05,-0.29695259593679457,-0.38363431151241534,-0.22945823927765238,-0.44844808126410834,1.0,-0.46314898419864564,0.0
2018-10-08,-0.29660969143115024,-0.38314435606701636,-0.22900095898911263,-0.44872228803520053,1.0,-0.46307891916285887,0.0
2018-10-09,-0.2957071134427709,-0.3833135894398375,-0.2267727195803012,-0.44996333276922207,1.0,-0.4648276640153438,0.0
2018-10-10,-0.2950028232636928,-0.38512140033879166,-0.22526821005081873,-0.45028232636928284,1.0,-0.4675889328063241,0.0
2018-10-11,-0.2923220023676645,-0.3838716951350133,-0.22163030610519197,-0.4516319972940978,1.0,-0.4692203619144259,0.0
2018-10-12,-0.29258438315423246,-0.38003984175528177,-0.22053253275721782,-0.4476305378636963,1.0,-0.46497011868353866,0.0
2018-10-15,-0.28822062161934925,-0.3856954681763403,-0.21493231691936882,-0.4476892463776239,1.0,-0.4660743813233934,0.0
2018-10-16,-0.28585458933131297,-0.3984903330807868,-0.20588152762578218,-0.449139938827623,1.0,-0.46673401240283974,0.0
2018-10-17,-0.27639070180798175,-0.3755103174382759,-0.19554531063404337,-0.45166217679895576,1.0,-0.4781014802677257,0.0
2018-10-18,-0.2749701330814325,-0.3734059400438974,-0.19681604756480425,-0.4544772594671186,1.0,-0.47867640930180866,0.0
2018-10-19,-0.27250540795385214,-0.3710688335459537,-0.19449220699983358,-0.4555993122192024,1.0,-0.4796439070386599,0.0
2018-10-22,-0.27501941639853544,-0.36558304671030734,-0.18770109841340285,-0.4611949406412959,1.0,-0.48427271718628645,0.0
2018-10-23,-0.2746719196515274,-0.3658962905418528,-0.18666592680964406,-0.4622811641650251,1.0,-0.4849485336958633,0.0
2018-10-24,-0.27393609638286653,-0.367320878327735,-0.1873247647336424,-0.462537823057491,1.0,-0.48485689698248347,0.0
