Date,IWF,IWM,MTUM,SPY,TXG,VLUE,VXX
2020-05-11,-0.629807523752761,-0.35827227150019286,-0.6699505662097256,-0.8479122111979807,1.0,-0.0,0.0
2020-05-12,-0.6281214927048261,-0.36454826038159377,-0.6610549943883278,-0.8536054994388329,1.0,-0.0,0.0
2020-05-13,-0.6288295227758133,-0.34063933335667523,-0.668639053254438,-0.8632050698504955,1.0,-0.0,0.0
2020-05-14,-0.6278467727829281,-0.33335665558859545,-0.6705964666783278,-0.8665383942627253,1.0,-0.0,0.0
2020-05-15,-0.6268635822775951,-0.3392944634982851,-0.6730944215020648,-0.8604325610695037,1.0,-0.0,0.0
2020-05-18,-0.6311992154665172,-0.33097506304286917,-0.6690599607733259,-0.8711824040347436,1.0,-0.0,0.0
2020-05-19,-0.6477340332458443,-0.2612773403324585,-0.7245844269466317,-0.8659317585301837,1.0,-0.0,0.0
2020-05-20,-0.6514997724965874,-0.2523537853067796,-0.7300059500892513,-0.8661929928948934,1.0,-0.0,0.0
2020-05-21,-0.6512522736812648,-0.2355533790401567,-0.7431089967818664,-0.8680915069259829,1.0,-0.0,0.0
2020-05-22,-0.6523961213988169,-0.23268106556516263,-0.7451955053033221,-0.8702348864073932,1.0,-0.0,0.0
2020-05-26,-0.6535066208925944,-0.23152105373782667,-0.7446577453934001,-0.8734323547957682,1.0,-0.0,0.0
2020-05-27,-0.6534715897148463,-0.2321516149372942,-0.7443424647936664,-0.8731521053737827,1.0,-0.0,0.0
2020-05-28,-0.6558123249299719,-0.22734593837535014,-0.7461834733893556,-0.8720588235294117,1.0,-0.0,0.0
2020-05-29,-0.6533085788349038,-0.23421024976354785,-0.7440011209584194,-0.8714400812694854,1.0,-0.0,0.0
2020-06-01,-0.6534015273593499,-0.23421845442443776,-0.7443074336159181,-0.8711903594198837,1.0,-0.0,0.0
2020-06-02,-0.6570846218723644,-0.2389302783244307,-0.7466263705369695,-0.871556086589823,1.0,-0.0,0.0
2020-06-03,-0.6577910657755892,-0.23724938445304256,-0.7540626099190995,-0.8683081252198382,1.0,-0.0,0.0
2020-06-04,-0.661457412579995,-0.25205954106707207,-0.7402680055156807,-0.8818725029169465,1.0,-0.0,0.0
2020-06-05,-0.6815654405474766,-0.24615055603079555,-0.7561305959509553,-0.8804890219560879,1.0,-0.0,0.0
2020-06-08,-0.6798050585180178,-0.23638433353491511,-0.7646828643591477,-0.8764540571306605,1.0,-0.0,0.0
2020-06-09,-0.6872485133354698,-0.22750418402592315,-0.7698251611295088,-0.8762952675996154,1.0,-0.0,0.0
2020-06-10,-0.6944741532976827,-0.21682709447415327,-0.7797147950089125,-0.8740463458110516,1.0,-0.0,0.0
2020-06-11,-0.7008495145631067,-0.20424043403769274,-0.7930468303826383,-0.8712164477441461,1.0,-0.0,0.0
