Date,CLM,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.247599486521181,-0.4625417201540436,-0.0489602053915276,-0.42518613607188704,-0.3831065468549422,0.0
2018-09-25,1.0,-0.24905679747452714,-0.4611811205502656,-0.05135641506044196,-0.4239149962785207,-0.3810281549162026,0.0
2018-09-26,1.0,-0.2491017349348116,-0.46127194333230676,-0.05150908530951648,-0.4238527871881737,-0.3807103993429833,0.0
2018-09-27,1.0,-0.24849622127397053,-0.4652460027762069,-0.05066577553853272,-0.424631124363786,-0.38154850650352173,0.0
2018-09-28,1.0,-0.2510940637388663,-0.46470679091798384,-0.050558616073727025,-0.4256036657570921,-0.38233022705040415,0.0
2018-10-01,1.0,-0.2510426857525359,-0.46485762834045624,-0.050744039956747845,-0.4255187683435457,-0.382369599917615,0.0
2018-10-02,1.0,-0.2520854788877446,-0.4559989701338825,-0.05401647785787847,-0.4277033985581874,-0.3848609680741503,0.0
2018-10-03,1.0,-0.2518017090497272,-0.4501183980232678,-0.0531761556676619,-0.4299649953670339,-0.38880881293112324,0.0
2018-10-04,1.0,-0.25293300401358443,-0.4477462179685087,-0.053565915405989505,-0.43122877431305956,-0.3873108984254399,0.0
2018-10-05,1.0,-0.24867277063937834,-0.44500012823472085,-0.04849837141904542,-0.43330512169475005,-0.3892436716165269,0.0
2018-10-08,1.0,-0.24782931639474426,-0.44351100069154525,-0.04720436441871782,-0.4340086571216351,-0.38872525164562144,0.0
2018-10-09,1.0,-0.24867426668374537,-0.4436275137696939,-0.048956065069809145,-0.4332009734853337,-0.3873446906622262,0.0
2018-10-10,1.0,-0.24914850572357808,-0.44285385029066043,-0.0495531255601936,-0.43342979333657716,-0.3858741581090425,0.0
2018-10-11,1.0,-0.2328308629237235,-0.43772806200770065,-0.02848730402395752,-0.42912147368950854,-0.38837858922414875,0.0
2018-10-12,1.0,-0.23145519857318697,-0.4381170087166219,-0.02398955010173579,-0.43035494486171466,-0.38807807279760853,0.0
2018-10-15,1.0,-0.22755091802949734,-0.4432376843583827,-0.018310424400521722,-0.43049563559747167,-0.3886826527540885,0.0
2018-10-16,1.0,-0.22880377491089807,-0.4398373575623714,-0.021258972943125346,-0.43080166658300284,-0.3892123889362984,0.0
2018-10-17,1.0,-0.2203078906269367,-0.4192716725749275,-0.013510498525000619,-0.43037755026153346,-0.3955229430575869,0.0
2018-10-18,1.0,-0.22113905839162573,-0.42094557721883213,-0.012625886788708638,-0.4299002827801756,-0.3959170511484844,0.0
2018-10-19,1.0,-0.22048103149020581,-0.4220183486238532,-0.00914951648896603,-0.4315150012397719,-0.39642945697991566,0.0
2018-10-22,1.0,-0.22058276503409796,-0.42197148171109733,-0.009572225666460012,-0.4313205207687539,-0.39637941723496595,0.0
2018-10-23,1.0,-0.2174568099638409,-0.4333567697870631,-0.0,-0.4499296906388108,-0.4102802330253114,0.0
2018-10-24,1.0,-0.21832427650701378,-0.44362441551876663,-0.0,-0.45375963604195624,-0.41177808669278404,0.0
2018-10-25,1.0,-0.20027655003827255,-0.41768932566236205,-0.0,-0.45665325069754803,-0.3945529519247388,0.0
2018-10-26,1.0,-0.2102073524992487,-0.42973054192126614,-0.0009015326054292298,-0.4596564159070419,-0.40376139437042974,0.0
2018-10-29,1.0,-0.19961095316474636,-0.43338819891266395,-0.0,-0.4546610803531348,-0.40622973714399724,0.0
