Date,IRET,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.24758045003629325,-0.8289075731913864,-0.0,-0.5041132349383015,-0.44383619646745703,0.0
2018-09-25,1.0,-0.24820850845100229,-0.828349408883379,-0.0,-0.5037643999637166,-0.4432618752456687,0.0
2018-09-26,1.0,-0.26349938499384995,-0.8519065190651907,-0.0,-0.517189421894219,-0.4424354243542436,0.0
2018-09-27,1.0,-0.2702444731818462,-0.8437095880288195,-0.0,-0.5203522384383275,-0.44473181846172793,0.0
2018-09-28,1.0,-0.27283939197730706,-0.8432152437332346,-0.0,-0.5215058736472112,-0.4457188665865014,0.0
2018-10-01,1.0,-0.2733779512920617,-0.8509326392761974,-0.0,-0.5243539691392451,-0.44983578112412465,0.0
2018-10-02,1.0,-0.2730599838719682,-0.8562123937720987,-0.0,-0.5233546306060418,-0.44888654549965884,0.0
2018-10-03,1.0,-0.2724173201500171,-0.8497349905464465,-0.0,-0.5250596658711217,-0.4523447912469392,0.0
2018-10-04,1.0,-0.2887549444339801,-0.8479311860362906,-0.0,-0.5494443398003391,-0.453192691655679,0.0
2018-10-05,1.0,-0.2855126113690551,-0.8508595808758942,-0.0,-0.5493160998870624,-0.45143681766846533,0.0
2018-10-08,1.0,-0.2854587674155893,-0.8515752478975774,-0.0,-0.5493912388602987,-0.45155014434542484,0.0
2018-10-09,1.0,-0.2781691253119373,-0.8571879837002874,-0.0,-0.5590232807909782,-0.4644786303187289,0.0
2018-10-10,1.0,-0.27976378450072636,-0.8562811848670498,-0.0,-0.5600328427966904,-0.4618834080717489,0.0
2018-10-11,1.0,-0.21370255285444467,-0.8420764028513983,-0.0,-0.5315908121610918,-0.4590263815268385,0.0
2018-10-12,1.0,-0.20909365558912385,-0.8399697885196374,-0.0,-0.5235045317220544,-0.4485800604229607,0.0
2018-10-15,1.0,-0.1842819245146509,-0.8632280236343904,-0.0,-0.518569878210539,-0.44851079223441453,0.0
2018-10-16,1.0,-0.18041190483370023,-0.8698851129270574,-0.0,-0.5175647559026626,-0.447516810903718,0.0
2018-10-17,1.0,-0.16607868133171266,-0.8416590080341525,-0.0,-0.5096498769677745,-0.4472740209303015,0.0
2018-10-18,1.0,-0.16787084113816786,-0.8471739065798471,-0.0,-0.5091428061725092,-0.4490827461124491,0.0
2018-10-19,1.0,-0.14970183621656727,-0.8378402314459468,-0.0,-0.5143472870047825,-0.4502273129834091,0.0
2018-10-22,1.0,-0.1497740096304393,-0.8283950252577472,-0.0,-0.5202209683613483,-0.4557324746683998,0.0
2018-10-23,1.0,-0.1480999556409877,-0.8293065207748042,-0.0,-0.5225491645719356,-0.45731184385627677,0.0
2018-10-24,1.0,-0.14602958981779524,-0.8273631987715205,-0.0,-0.5223400171278387,-0.45737235330596815,0.0
2018-10-25,1.0,-0.10821056259153958,-0.7876855920277993,-0.0,-0.5446713190316188,-0.4312627437465897,0.0
2018-10-26,1.0,-0.09134028231418104,-0.7750575137038825,-0.0,-0.5505978585020875,-0.42318725325910983,0.0
2018-10-29,1.0,-0.08202285326394389,-0.7775200814571784,-0.0,-0.5465267564204096,-0.4223045593392918,0.0
2018-10-30,1.0,-0.06267029972752043,-0.7819028156221617,-0.0,-0.5513453678474114,-0.44241030881017257,0.0
2018-10-31,1.0,-0.0652529007547595,-0.7663906725245014,-0.0,-0.5475949081897037,-0.4370282753182382,0.0
2018-11-01,1.0,-0.046126552335895916,-0.7828841767339697,-0.0,-0.5482808143955394,-0.43873729266987693,0.0
2018-11-02,1.0,-0.05793173541119674,-0.748736625165862,-0.0,-0.5749131870924027,-0.4416306710708337,0.0
