Date,FTAC,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-09-25,1.0,-0.0,-0.004292527821939586,-0.4093269740328564,-0.2772831655184596,-0.0755696873343932,0.0
2019-09-26,1.0,-0.0,-0.007396370989198106,-0.40873374838148957,-0.2795012327284982,-0.07806098015218432,0.0
2019-09-27,1.0,-0.0,-0.0034775203151059223,-0.4115893687236081,-0.280277491927185,-0.07890067776161244,0.0
2019-09-30,1.0,-0.0,-0.002692266817811471,-0.4093131177158242,-0.2805448297849729,-0.078677955294201,0.0
2019-10-01,1.0,-0.0,-0.004689684463871733,-0.4075955191392217,-0.28017767710195196,-0.0772293698125896,0.0
2019-10-02,1.0,-0.0,-0.0,-0.4042437336424795,-0.28177969823119214,-0.07047127224183662,0.0
2019-10-03,1.0,-0.0,-0.02317663325267888,-0.3900449360525406,-0.2688558589699274,-0.046249567922571726,0.0
2019-10-04,1.0,-0.0,-0.026471348556656612,-0.38450667815596723,-0.26641964670400686,-0.04599741490736751,0.0
2019-10-07,1.0,-0.0,-0.031104571584998634,-0.372604708458801,-0.260624828907747,-0.046588420476320835,0.0
2019-10-08,1.0,-0.0,-0.03376472398406647,-0.3703691039953499,-0.25924469594652355,-0.04622775374831177,0.0
2019-10-09,1.0,-0.0,-0.03558112462672718,-0.354950820778432,-0.2595616891333322,-0.03703203819614327,0.0
2019-10-10,1.0,-0.0,-0.040224666195809375,-0.3503682776712744,-0.25735714525947606,-0.03368311303938385,0.0
2019-10-11,1.0,-0.0,-0.041113389585504416,-0.35069082596564355,-0.25674857968870807,-0.03230577873398998,0.0
2019-10-14,1.0,-0.0,-0.03508477703053986,-0.3548560216009526,-0.2642427088399551,-0.022909084810572394,0.0
2019-10-15,1.0,-0.0,-0.03470137363098133,-0.3546785636415477,-0.264344296664039,-0.023464099424718648,0.0
2019-10-16,1.0,-0.0,-0.0349423208933983,-0.3570412041455288,-0.2624106350561723,-0.019873758936494384,0.0
2019-10-17,1.0,-0.0,-0.036747602871533995,-0.35467460968222364,-0.26365903043892974,-0.018306865911410834,0.0
2019-10-18,1.0,-0.0,-0.029507318216833573,-0.35576246776300363,-0.26524768061091203,-0.0241316944100211,0.0
2019-10-21,1.0,-0.0,-0.028446169806900706,-0.3543054114654797,-0.26377965931528397,-0.02677286570061243,0.0
2019-10-22,1.0,-0.0,-0.027419246973851404,-0.35476158630375176,-0.2634253995853675,-0.026299070420651376,0.0
2019-10-23,1.0,-0.0,-0.02725391368203211,-0.34595614005807934,-0.26264227777963217,-0.03311191962348543,0.0
