Date,IWF,IWM,MTUM,PB,SPY,VLUE,VXX
2018-09-24,-0.14985836473144304,-0.6191798905420643,-0.1020323973488078,1.0,-0.41112730672973796,-0.4680014301036825,0.0
2018-09-25,-0.14851020351807362,-0.6251346201640294,-0.0970369756717201,1.0,-0.4163145831607434,-0.4744428796288625,0.0
2018-09-26,-0.14928464895321217,-0.6261393139258686,-0.09871292051041264,1.0,-0.41595315693531465,-0.4718831132961388,0.0
2018-09-27,-0.14813684414971837,-0.6370522460531062,-0.0963624760689215,1.0,-0.41857884076468466,-0.4744596431841514,0.0
2018-09-28,-0.1447727146274968,-0.6434930173037333,-0.09700662104267511,1.0,-0.4203527513492461,-0.47629778000333833,0.0
2018-10-01,-0.1452218667408541,-0.6430101544025595,-0.09703714007511477,1.0,-0.4205035470858256,-0.476227569898456,0.0
2018-10-02,-0.14563917095562665,-0.641535679510363,-0.09773264709973571,1.0,-0.42069828905271944,-0.47639449158436503,0.0
2018-10-03,-0.14557085245445697,-0.6392156862745099,-0.09756640244750384,1.0,-0.421304408288138,-0.4775969962453067,0.0
2018-10-04,-0.14404339195347668,-0.6502082925601812,-0.0970727206642995,1.0,-0.4194928285850086,-0.4850280985265748,0.0
2018-10-05,-0.12935754189944135,-0.6455586592178771,-0.08365921787709497,1.0,-0.4329608938547486,-0.5017597765363129,0.0
2018-10-08,-0.1282888312268073,-0.6443179598783516,-0.08230797131776457,1.0,-0.4337490583410061,-0.5014369018721575,0.0
2018-10-09,-0.12592882283926476,-0.6460975473490138,-0.07522766635007541,1.0,-0.4384881836974132,-0.5076819934074529,0.0
2018-10-10,-0.12699698357725392,-0.6450117305329013,-0.07666741146240642,1.0,-0.4391967377946598,-0.5051111607641604,0.0
2018-10-11,-0.08491779060542226,-0.6549394030585725,-0.022788827182447405,1.0,-0.43914316198396847,-0.5339370229529724,0.0
2018-10-12,-0.07869465921910684,-0.6645021049445561,-0.01612415045538343,1.0,-0.4481193077071238,-0.5441212888314119,0.0
2018-10-15,-0.04458492763267344,-0.7197083125381246,-0.0,1.0,-0.451921477291632,-0.5565075140021073,0.0
2018-10-16,-0.03897185366124466,-0.7304446788430577,-0.0,1.0,-0.4509520901571087,-0.5553766724032643,0.0
2018-10-17,-0.017731277533039647,-0.6983480176211453,-0.0,1.0,-0.45823237885462553,-0.578964757709251,0.0
2018-10-18,-0.01680348190182359,-0.696683378326263,-0.0,1.0,-0.4613519916258057,-0.5798303123794832,0.0
2018-10-19,-0.0067478604344963795,-0.6945633091946456,-0.0,1.0,-0.4611586570111916,-0.5805903006363835,0.0
2018-10-22,-0.008436383621874141,-0.700769442154438,-0.0,1.0,-0.4597142071997801,-0.5791426215993405,0.0
2018-10-23,-0.003862175508289884,-0.7038814863858314,-0.0,1.0,-0.4668818450164143,-0.5840712847250958,0.0
2018-10-24,-0.0015434225394812997,-0.7007965162748395,-0.0,1.0,-0.4674365405286222,-0.5863627594190116,0.0
2018-10-25,-0.0,-0.6692535704661816,-0.0,1.0,-0.4621665319320938,-0.5632444085152251,0.0
2018-10-26,-0.0,-0.6665052982626003,-0.0,1.0,-0.4617556882362434,-0.5612124146092196,0.0
2018-10-29,-0.0,-0.6740909700791627,-0.0,1.0,-0.44473366429625655,-0.5646585267677445,0.0
