Date,IWF,IWM,MTUM,SPY,SRI,VLUE,VXX
2018-09-24,-0.6672492320728737,-1.5060374960279632,-0.1419870776400805,-0.9904141510433218,1.0,-0.9903611905518483,0.0
2018-09-25,-0.6684840143976287,-1.5039170019055683,-0.14450561084056743,-0.9885665890323947,1.0,-0.9877726021596442,0.0
2018-09-26,-0.6684840143976287,-1.504022866821935,-0.14450561084056743,-0.9885665890323947,1.0,-0.9876667372432776,0.0
2018-09-27,-0.669733502538071,-1.4977263113367174,-0.14604483925549913,-0.987574027072758,1.0,-0.9865693739424704,0.0
2018-09-28,-0.6761041302157892,-1.4982238481522718,-0.14643974338582258,-0.9914108477811356,1.0,-0.9897142251206192,0.0
2018-10-01,-0.6788367650180429,-1.4971343663765655,-0.14641265124177458,-0.9937380598599024,1.0,-0.9906601570791764,0.0
2018-10-02,-0.6791941314054858,-1.5108972995960024,-0.1437911971082288,-0.992664256857325,1.0,-0.9892090155220072,0.0
2018-10-03,-0.6793004465234955,-1.510578354241973,-0.14442908781628747,-0.9924516266213055,1.0,-0.9889963852859875,0.0
2018-10-04,-0.6833492721283605,-1.5023908192540643,-0.14557432791414304,-0.9973966634789078,1.0,-0.984220592923175,0.0
2018-10-05,-0.6650092568103676,-1.4953715948161863,-0.12441153134091511,-1.0075112404125892,1.0,-0.9973023009785772,0.0
2018-10-08,-0.6617584969389909,-1.4902364365632257,-0.11864048976145239,-1.0110829639012033,1.0,-0.9958306945324044,0.0
2018-10-09,-0.6623911322248613,-1.4908946951702295,-0.1195038268672473,-1.0107152282924254,1.0,-0.9949326999208233,0.0
2018-10-10,-0.6670761014686248,-1.515140186915888,-0.11300400534045395,-1.0251535380507342,1.0,-1.0200801068090788,0.0
2018-10-11,-0.602125025789148,-1.5029399628636269,-0.03146276047039406,-0.9967505673612544,1.0,-1.024551268826078,0.0
2018-10-12,-0.6180038739932715,-1.5001019471913548,-0.02176572535426649,-0.9675298195534714,1.0,-0.9899582016515445,0.0
2018-10-15,-0.5884478371501272,-1.5406106870229006,-0.0,-0.9651908396946565,1.0,-0.9948600508905852,0.0
2018-10-16,-0.5825613356408429,-1.5506464420238217,-0.0,-0.9635549221215515,1.0,-0.9932810750279956,0.0
2018-10-17,-0.5453908517665899,-1.4890901811630466,-0.0,-0.9586627965168653,1.0,-1.011310179161245,0.0
2018-10-18,-0.545991687947524,-1.4913624755896049,-0.0,-0.9580892293826049,1.0,-1.011817134845526,0.0
2018-10-19,-0.523743363270977,-1.4776460080385054,-0.0,-0.9541507467870789,1.0,-1.0065002729122214,0.0
2018-10-22,-0.5264754139114005,-1.4860040769651468,-0.0,-0.953462934420524,1.0,-1.0060160095460646,0.0
2018-10-23,-0.534491339836751,-1.4882540314553057,-0.0,-0.9497312363129604,1.0,-1.0046784789966157,0.0
2018-10-24,-0.5324106342726277,-1.4828736433336651,-0.0,-0.952653589564871,1.0,-1.0106541869959176,0.0
