Date,IWF,IWM,MTUM,PLT,SPY,VLUE,VXX
2018-09-24,-0.42361439276311347,-0.8065212988591102,-0.1625936677242962,1.0,-0.5462431647876864,-0.4364409640180922,0.0
2018-09-25,-0.4366317079814765,-0.8109506946336149,-0.174237265050395,1.0,-0.5490329610460365,-0.43421411059656767,0.0
2018-09-26,-0.4366317079814765,-0.8109847453010078,-0.17413511304821574,1.0,-0.5490670117134296,-0.4342822119313538,0.0
2018-09-27,-0.4363246116107931,-0.8127214499863723,-0.17382120468792586,1.0,-0.5493663123466885,-0.4346552194058326,0.0
2018-09-28,-0.43393204048941747,-0.8151733069765856,-0.17443168262840394,1.0,-0.5495381888824512,-0.4351589925360417,0.0
2018-10-01,-0.4332753267137544,-0.8178592145221277,-0.17490701880096907,1.0,-0.5497662674446379,-0.4363121438564166,0.0
2018-10-02,-0.43351036491348294,-0.8408771629261607,-0.16885386328593455,1.0,-0.5485694706184684,-0.4345725543943807,0.0
2018-10-03,-0.436276028222337,-0.8553433144037171,-0.17057305110996387,1.0,-0.5483393563930476,-0.4312510755463776,0.0
2018-10-04,-0.43693228736581335,-0.8534269199009084,-0.1710019267822736,1.0,-0.5490297274979355,-0.4303261767134599,0.0
2018-10-05,-0.4287820095300126,-0.8500908436460868,-0.16207877686743682,1.0,-0.5530492612526139,-0.43402694456823554,0.0
2018-10-08,-0.4274762132931754,-0.8479019782325963,-0.15996988157984804,1.0,-0.5541789307960846,-0.4330207406393319,0.0
2018-10-09,-0.42908505684152853,-0.848479660320504,-0.16302561292973564,1.0,-0.5529037118202985,-0.43069442542117514,0.0
2018-10-10,-0.42887619571949626,-0.8567201156148924,-0.15886724932902074,1.0,-0.5563278508017342,-0.4401624113963251,0.0
2018-10-11,-0.39682166375487166,-0.8556981588496171,-0.11695336648299959,1.0,-0.5454575997849751,-0.4448326837790619,0.0
2018-10-12,-0.4092253497723572,-0.852979296135057,-0.11491808181848392,1.0,-0.5260709182147486,-0.42005915389983717,0.0
