Date,CCOI,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.3177032913843175,-0.7992195062923523,-0.0011798160696999032,-0.47833978702807356,-0.428696757018393,0.0
2018-09-25,1.0,-0.3224887919544408,-0.7978007997091966,-0.00717920756088695,-0.476796316490973,-0.424906094753423,0.0
2018-09-26,1.0,-0.32382626617767407,-0.7996544721607614,-0.009699027066347407,-0.47649501409389866,-0.4212711787348832,0.0
2018-09-27,1.0,-0.3241318707957094,-0.7983758560087267,-0.010120598751590814,-0.4763347675898431,-0.42112599236409914,0.0
2018-09-28,1.0,-0.3261963971613999,-0.7975374537514406,-0.010220173470006673,-0.4770425183477892,-0.4216958816036878,0.0
2018-10-01,1.0,-0.3278907435508346,-0.7964795144157815,-0.009984825493171472,-0.47842185128983306,-0.4221244309559939,0.0
2018-10-02,1.0,-0.32788925654958867,-0.7981542758264777,-0.009896481588294223,-0.4780061321757081,-0.42178440241644155,0.0
2018-10-03,1.0,-0.327795663001883,-0.7882828160116625,-0.008230577658992894,-0.48302253538237255,-0.4297819352487396,0.0
2018-10-04,1.0,-0.3293264122878912,-0.7848101265822784,-0.008803084114986492,-0.4848678019609629,-0.4277388216009471,0.0
2018-10-05,1.0,-0.3224342881340552,-0.7826744502586128,-0.0,-0.4881885000453706,-0.4312331750400774,0.0
2018-10-08,1.0,-0.32069944431021985,-0.7806233389707657,-0.0,-0.4886748006764919,-0.43008576950954336,0.0
2018-10-09,1.0,-0.34215810447622874,-0.8020450403138613,-0.02091378085323283,-0.49562880355874084,-0.42846992678632106,0.0
2018-10-10,1.0,-0.3417379977670264,-0.8083674482074183,-0.017398585783401564,-0.498015134598685,-0.4358640367200099,0.0
2018-10-11,1.0,-0.2962951770820742,-0.8044542487610299,-0.0,-0.48093194729844074,-0.4401668076876587,0.0
2018-10-12,1.0,-0.29365795010519985,-0.8048692515779983,-0.0,-0.4747520288548242,-0.4324316200781485,0.0
2018-10-15,1.0,-0.27056705670567055,-0.8272127212721273,-0.0,-0.46996699669967,-0.4325232523252326,0.0
2018-10-16,1.0,-0.25993957703927495,-0.8550755287009063,-0.0,-0.4719939577039275,-0.4341389728096676,0.0
2018-10-17,1.0,-0.24617723330054544,-0.8296521505857104,-0.0,-0.4672568481921965,-0.4376583504724432,0.0
2018-10-18,1.0,-0.24515724022479973,-0.8283809637689825,-0.0,-0.47488939375822076,-0.440900394595241,0.0
2018-10-19,1.0,-0.23112997536434063,-0.8204565017363687,-0.0,-0.4766554866284765,-0.4399097681873498,0.0
2018-10-22,1.0,-0.2311078066914498,-0.8085947955390336,-0.0,-0.48588847583643124,-0.4484163568773234,0.0
2018-10-23,1.0,-0.23447537473233404,-0.8088865096359743,-0.0,-0.4834939329050678,-0.4472103259576493,0.0
2018-10-24,1.0,-0.23317972350230415,-0.8097220157573956,-0.0,-0.4833655418462911,-0.44682622268470346,0.0
2018-10-25,1.0,-0.2049109208699676,-0.7749884312818138,-0.0,-0.49080286904211007,-0.4214773253123554,0.0
2018-10-26,1.0,-0.19192295565937692,-0.7645962910946144,-0.0,-0.49488377425549607,-0.4148298890767864,0.0
2018-10-29,1.0,-0.18703141990499628,-0.7670119613117381,-0.0,-0.4933898014078864,-0.41409603388084476,0.0
2018-10-30,1.0,-0.16992920810524204,-0.7694534407153707,-0.0,-0.4963171018314178,-0.4303688630305809,0.0
2018-10-31,1.0,-0.1725277856939299,-0.7567113137646053,-0.0,-0.4940438871473354,-0.42653177543459675,0.0
2018-11-01,1.0,-0.15716644837993282,-0.7689767097545698,-0.0,-0.49385000854165484,-0.427196628893571,0.0
2018-11-02,1.0,-0.1799229152067274,-0.7333858911469283,-0.0,-0.5570836253211866,-0.4494861013781826,0.0
2018-11-05,1.0,-0.17575421278584152,-0.7457726117811979,-0.0,-0.5586285447270816,-0.44032008410969303,0.0
2018-11-06,1.0,-0.17279616138564616,-0.7441118815647035,-0.0,-0.5628602358173147,-0.446004856783405,0.0
2018-11-07,1.0,-0.17246622609509327,-0.7439323937072344,-0.0,-0.5620796537809228,-0.44566933738815134,0.0
