Date,FOR,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.3916470855756841,-1.02459637686652,-0.010763283559463353,-0.7289850678390055,-0.6338588645493823,0.0
2018-09-25,1.0,-0.39134721116293175,-1.0255185227315813,-0.009972320175937511,-0.7298373336366739,-0.6350434156144541,0.0
2018-09-26,1.0,-0.3942517723701858,-1.0351025100593985,-0.0006131442805135084,-0.743514083157693,-0.6586319218241041,0.0
2018-09-27,1.0,-0.39493316754740443,-1.0657833385141435,-0.0,-0.7549735778675786,-0.6699176251165683,0.0
2018-09-28,1.0,-0.4039223615042459,-1.133481601293975,-0.0,-0.7968863728265265,-0.7094217549534978,0.0
2018-10-01,1.0,-0.4083536090835361,-1.1336577453365773,-0.0,-0.801338199513382,-0.7118004866180048,0.0
2018-10-02,1.0,-0.40943924096825207,-1.1305194015326603,-0.0,-0.8020111097595589,-0.7126870210436688,0.0
2018-10-03,1.0,-0.4086448787608466,-1.118684616008434,-0.0,-0.8067066742356661,-0.7208255615927338,0.0
2018-10-04,1.0,-0.4204739799657953,-1.1112061242772213,-0.0,-0.8229904715367702,-0.7173222575128269,0.0
2018-10-05,1.0,-0.41387725220645055,-1.113027209500956,-0.0,-0.8237686582340261,-0.7165575304022451,0.0
2018-10-08,1.0,-0.40981211703120557,-1.1081848800876517,-0.0,-0.8255082579231424,-0.714401655642576,0.0
2018-10-09,1.0,-0.4091462424931018,-1.1083833793215387,-0.0,-0.8256776497321864,-0.7145755559162474,0.0
2018-10-10,1.0,-0.40840267911508016,-1.1094377917596914,-0.0,-0.8258169271361884,-0.7156078749746295,0.0
2018-10-11,1.0,-0.31734621729908086,-1.095687013905256,-0.0,-0.7943279126404275,-0.7206771938094116,0.0
2018-10-12,1.0,-0.33094895618706993,-1.0943902344205574,-0.0,-0.771255296816079,-0.6910158224157368,0.0
2018-10-15,1.0,-0.2877470663911738,-1.1452964796694085,-0.0,-0.7680402323496159,-0.6973607266773225,0.0
2018-10-16,1.0,-0.2885215221459763,-1.1444557080474111,-0.0,-0.768325015595758,-0.6976762320648784,0.0
2018-10-17,1.0,-0.26410187770086807,-1.0994301885349345,-0.0,-0.7588817928027841,-0.701824161535814,0.0
2018-10-18,1.0,-0.2631196450428397,-1.0976132190942471,-0.0,-0.7617426560587515,-0.7024938800489595,0.0
2018-10-19,1.0,-0.23856669586078214,-1.087163474353604,-0.0,-0.7734663569551806,-0.7087315791477857,0.0
2018-10-22,1.0,-0.23866275749152802,-1.0769523664470928,-0.0,-0.7785477668202415,-0.7135133076952367,0.0
2018-10-23,1.0,-0.23964519567534642,-1.0767854423633316,-0.0,-0.7775620526876807,-0.712920663925689,0.0
2018-10-24,1.0,-0.2382714165840262,-1.0827294225341368,-0.0,-0.7796551987184377,-0.7135174307727514,0.0
