Date,BRC,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.29264178789795486,-0.8088611788801542,-0.011174362218005482,-0.4395349537664528,-0.4597753079726514,0.0
2018-09-25,1.0,-0.29371029416192457,-0.8076054556950593,-0.013067172492698642,-0.4384427784301328,-0.45807364586156024,0.0
2018-09-26,1.0,-0.29419203323999643,-0.808207629542649,-0.014181194110739771,-0.4380814741215789,-0.4562370156264114,0.0
2018-09-27,1.0,-0.29427349912687417,-0.8078822183416632,-0.014361413861624617,-0.43806828445836093,-0.4561931715541639,0.0
2018-09-28,1.0,-0.29170181993491623,-0.810955767144751,-0.01506568639267205,-0.438531999517898,-0.45685187417138723,0.0
2018-10-01,1.0,-0.29149211898375577,-0.8114282269973779,-0.015400379735390737,-0.43844368765257224,-0.45703866670685034,0.0
2018-10-02,1.0,-0.29205310056373884,-0.8375765290658906,-0.008637934169849064,-0.43753409710856517,-0.455052433775838,0.0
2018-10-03,1.0,-0.2918283220174588,-0.8286857419980601,-0.0072744907856450046,-0.4415615906886518,-0.4616270611057226,0.0
2018-10-04,1.0,-0.2915365254571368,-0.8296691633562786,-0.007611365497164691,-0.4410649846862965,-0.4625041695727325,0.0
2018-10-05,1.0,-0.28218838740861585,-0.826868467162105,-0.0,-0.44435381547942726,-0.4675548305238354,0.0
2018-10-08,1.0,-0.2814226623592283,-0.8264545152622202,-0.0,-0.44428006400772924,-0.4671054617916125,0.0
2018-10-09,1.0,-0.2823021408944047,-0.8269468852855029,-0.0,-0.44397137421867916,-0.4663767853368361,0.0
2018-10-10,1.0,-0.28257916503154523,-0.8266670691580885,-0.0,-0.4440486612129079,-0.4653907688592387,0.0
2018-10-11,1.0,-0.2397852317314217,-0.8216361329911201,-0.0,-0.42387231908428474,-0.4648198955659793,0.0
2018-10-12,1.0,-0.2414105146393438,-0.8191610473771783,-0.0,-0.40908427474676706,-0.44945558571970695,0.0
2018-10-15,1.0,-0.2218823735034519,-0.8374260829036675,-0.0,-0.4044102653732996,-0.4492702962509832,0.0
2018-10-16,1.0,-0.21529439225068564,-0.8503530372877399,-0.0,-0.4036587500729416,-0.44835735542977184,0.0
2018-10-17,1.0,-0.2080752532561505,-0.8373371924746744,-0.0,-0.4000289435600579,-0.4489146164978292,0.0
2018-10-18,1.0,-0.2079184996526974,-0.8373755498958092,-0.0,-0.40003473026163466,-0.4488596897429961,0.0
2018-10-19,1.0,-0.193640205859521,-0.8303384031511457,-0.0,-0.4018860872315344,-0.4492970299876369,0.0
2018-10-22,1.0,-0.19458992805755396,-0.8333812949640289,-0.0,-0.4011223021582734,-0.44860431654676264,0.0
2018-10-23,1.0,-0.20330716841740737,-0.8367193812766939,-0.0,-0.3978413944361076,-0.4479972295971372,0.0
2018-10-24,1.0,-0.20292245370370368,-0.8434895833333332,-0.0,-0.39901620370370366,-0.448119212962963,0.0
2018-10-25,1.0,-0.182599841611042,-0.81858807557416,-0.0,-0.3988007693177961,-0.4283855639778256,0.0
2018-10-26,1.0,-0.16609142183685494,-0.8089906557791059,-0.0,-0.40819934337907227,-0.42279091954990594,0.0
2018-10-29,1.0,-0.14698236099851844,-0.8202834540016213,-0.0,-0.39932351214603196,-0.4287870740502614,0.0
2018-10-30,1.0,-0.13910005589714924,-0.8205142537730575,-0.0,-0.3998323085522638,-0.4354108440469536,0.0
2018-10-31,1.0,-0.13956473214285714,-0.8174107142857143,-0.0,-0.39893973214285716,-0.4342633928571429,0.0
2018-11-01,1.0,-0.11697017093062227,-0.8379510669198972,-0.0,-0.40090492682381856,-0.43715785945704383,0.0
2018-11-02,1.0,-0.11972301017854162,-0.8232104121475053,-0.0,-0.40413816118805274,-0.43397853050781465,0.0
2018-11-05,1.0,-0.11653644023023664,-0.8322720573923199,-0.0,-0.4050551956177182,-0.42679976642660505,0.0
2018-11-06,1.0,-0.11959966638865721,-0.8342507645259939,-0.0,-0.40283569641367806,-0.42340839588546003,0.0
2018-11-07,1.0,-0.11976414307170273,-0.8344551371196528,-0.0,-0.4033765366857651,-0.4237080714245981,0.0
2018-11-08,1.0,-0.10681409813407049,-0.8349689011748445,-0.0,-0.39753973738769866,-0.42501727712508636,0.0
2018-11-09,1.0,-0.10871914221594214,-0.8366442246418975,-0.0,-0.39813814313024687,-0.42714653810988285,0.0
2018-11-12,1.0,-0.10804985215685191,-0.8305468814767734,-0.0,-0.39950811064747005,-0.4253184845386464,0.0
2018-11-13,1.0,-0.08687661162012399,-0.831925165962583,-0.0,-0.40138256432764585,-0.42299884786306036,0.0
2018-11-14,1.0,-0.09204627220899983,-0.8365805058947252,-0.0,-0.4105274810427852,-0.4283223556760945,0.0
2018-11-15,1.0,-0.09129100909317044,-0.8373179292999088,-0.0,-0.4115419695420248,-0.4237583261933059,0.0
2018-11-16,1.0,-0.09163258538742125,-0.8363545926826572,-0.0,-0.4114070962750083,-0.42398032496960325,0.0
2018-11-19,1.0,-0.09136382478927732,-0.8364792040900926,-0.0,-0.4116346552438856,-0.4240983833080006,0.0
2018-11-20,1.0,-0.06273711992082256,-0.8330675757409138,-0.0,-0.41458184417441024,-0.4388024413042283,0.0
2018-11-21,1.0,-0.06427205681507785,-0.831139033051079,-0.0,-0.4116361649822453,-0.4244468724392243,0.0
2018-11-23,1.0,-0.06487976635641565,-0.8267052433332424,-0.0,-0.41316155798782656,-0.4247345579605317,0.0
2018-11-26,1.0,-0.06423445302480421,-0.8302726007585887,-0.0,-0.4113842879362567,-0.4228449804895352,0.0
2018-11-27,1.0,-0.05605545738752209,-0.8350958271034389,-0.0,-0.40810112817724614,-0.4192469756694305,0.0
2018-11-28,1.0,-0.05526995784033729,-0.8401196790425677,-0.0,-0.4062831497348022,-0.4183054535563716,0.0
2018-11-29,1.0,-0.03567480113253337,-0.8321423756235674,-0.0,-0.4056087366859916,-0.4230821086692733,0.0
2018-11-30,1.0,-0.034702530449107455,-0.8333738421237408,-0.0,-0.4058440681627913,-0.4266655864322558,0.0
2018-12-03,1.0,-0.03866575901974132,-0.8382300884955752,-0.0,-0.41290673927842064,-0.4331654186521443,0.0
2018-12-04,1.0,-0.031169325253403626,-0.8433381341884291,-0.0,-0.4103915867279002,-0.4325389276882524,0.0
2018-12-06,1.0,-0.024899057873485866,-0.8350740242261104,-0.0,-0.4071601615074024,-0.4246298788694482,0.0
2018-12-07,1.0,-0.028129963121483754,-0.835015747395623,-0.0,-0.4069826913241272,-0.4217610164472799,0.0
2018-12-10,1.0,-0.004646691235378945,-0.8445494845911444,-0.0,-0.41104523847673985,-0.4102440848154676,0.0
