Date,IWF,IWM,MTUM,SPY,SUI,VLUE,VXX
2018-09-24,-0.2303602135939904,-0.4008733822065345,-0.0,-0.36908317494795906,1.0,-0.2623314327088424,0.0
2018-09-25,-0.22889845874886672,-0.4027198549410698,-0.0,-0.37046690843155033,1.0,-0.26443789664551226,0.0
2018-09-26,-0.22795118410307594,-0.40236820615189184,-0.0,-0.371064331730333,1.0,-0.26701297522910805,0.0
2018-09-27,-0.22719734660033167,-0.40546127808446353,-0.0,-0.37149867102841955,1.0,-0.26756627819805084,0.0
2018-09-28,-0.22896909326601625,-0.4049942007232039,-0.0,-0.3721088899501944,1.0,-0.26815401059789407,0.0
2018-10-01,-0.22894074582475407,-0.4125371768474034,-0.0,-0.3744909631663235,1.0,-0.2718371082132235,0.0
2018-10-02,-0.22835222718424367,-0.41761135921218373,-0.0,-0.37338829726325434,1.0,-0.2708118630482079,0.0
2018-10-03,-0.22779100650242695,-0.4118051103580914,-0.0,-0.3754006777177397,1.0,-0.2745672680648411,0.0
2018-10-04,-0.2330702881262617,-0.4066113048265737,-0.0,-0.3827537162782162,1.0,-0.2715865296384658,0.0
2018-10-05,-0.2268896046049476,-0.4023390209917997,-0.0,-0.383380159437173,1.0,-0.271591402270495,0.0
2018-10-08,-0.2247582998905509,-0.39960324699014954,-0.0,-0.3851696461145567,1.0,-0.27065851878876324,0.0
2018-10-09,-0.220575812233156,-0.40007762734309005,-0.0,-0.38774857873467433,1.0,-0.27475513139569396,0.0
2018-10-10,-0.22402597402597402,-0.39985366745930123,-0.0,-0.3906164258276934,1.0,-0.2719270166453265,0.0
2018-10-11,-0.1995885693841957,-0.3895174634408121,-0.0,-0.3796565448772416,1.0,-0.2672733777559143,0.0
2018-10-12,-0.19515053181900127,-0.3960023436091581,-0.0,-0.38852082206598165,1.0,-0.27381918153957097,0.0
2018-10-15,-0.17573344132469404,-0.41459683225341976,-0.0,-0.38523668106551473,1.0,-0.2742305615550756,0.0
2018-10-16,-0.1679297785218198,-0.43356785738524534,-0.0,-0.3860145239010927,1.0,-0.27477773001832456,0.0
2018-10-17,-0.1623373710183939,-0.4224988784208165,-0.0,-0.383378196500673,1.0,-0.2749439210408255,0.0
2018-10-18,-0.16225915707780994,-0.4224480183029406,-0.0,-0.383419689119171,1.0,-0.27490298992889667,0.0
2018-10-19,-0.15141127237111565,-0.4137432107559434,-0.0,-0.38651945507969016,1.0,-0.27430771970438966,0.0
2018-10-22,-0.1512655550855947,-0.4078493355001002,-0.0,-0.38966185080474613,1.0,-0.277375837581532,0.0
2018-10-23,-0.14528722183470963,-0.4153860000450015,-0.0,-0.40247058029385957,1.0,-0.2869293252030691,0.0
2018-10-24,-0.14496747379833755,-0.4121792555113842,-0.0,-0.4076165522226238,1.0,-0.29400072280448136,0.0
2018-10-25,-0.11712389380530973,-0.3840265486725664,-0.0,-0.4333185840707965,1.0,-0.2779203539823009,0.0
2018-10-26,-0.11460055096418732,-0.38069421487603305,-0.0,-0.43279338842975207,1.0,-0.2757685950413223,0.0
2018-10-29,-0.11192289071783813,-0.3807270806742661,-0.0,-0.43312354209761894,1.0,-0.27483385414374367,0.0
2018-10-30,-0.09799814806649325,-0.3829092993518233,-0.0,-0.4356012169848759,1.0,-0.28819612857709775,0.0
2018-10-31,-0.10268326902841109,-0.3676341634514205,-0.0,-0.43605313924938616,1.0,-0.28584268677656965,0.0
2018-11-01,-0.08232631717713232,-0.3871116579513996,-0.0,-0.4385244100716263,1.0,-0.2891418025223008,0.0
2018-11-02,-0.08607954545454545,-0.3693181818181818,-0.0,-0.44388111888111886,1.0,-0.2860576923076923,0.0
2018-11-05,-0.08796042984395176,-0.3654767897397737,-0.0,-0.4443982403536802,1.0,-0.29077936573942353,0.0
2018-11-06,-0.08356968537695403,-0.36422399577864256,-0.0,-0.4512455203042895,1.0,-0.29958446012795986,0.0
2018-11-07,-0.08297068002989143,-0.36489516022682317,-0.0,-0.45039342388676423,1.0,-0.2996175656072794,0.0
2018-11-08,-0.07531746552138657,-0.3636045723777676,-0.0,-0.44709636526566565,1.0,-0.29965248180447185,0.0
2018-11-09,-0.07478249464434049,-0.36372579023302587,-0.0,-0.4478642941459363,1.0,-0.29961089494163423,0.0
2018-11-12,-0.07436684741185949,-0.354957426885303,-0.0,-0.45075237908582133,1.0,-0.2975544957644651,0.0
2018-11-13,-0.05918411396503346,-0.35115475933520396,-0.0,-0.45378804230520187,1.0,-0.2943017483272178,0.0
2018-11-14,-0.05881844878217309,-0.3517230955259976,-0.0,-0.45400760062186907,1.0,-0.2947184315080325,0.0
2018-11-15,-0.05823544653653481,-0.35174468820176197,-0.0,-0.45433149075833484,1.0,-0.29493435826567627,0.0
2018-11-16,-0.05488580732817184,-0.34501498846211914,-0.0,-0.4549591321788264,1.0,-0.3017317604433997,0.0
2018-11-19,-0.04991644421294789,-0.35110792803350915,-0.0,-0.4625518154393732,1.0,-0.3066822926839855,0.0
2018-11-20,-0.031569634456864185,-0.3462733589400544,-0.0,-0.4651288248241336,1.0,-0.31489793276077854,0.0
2018-11-21,-0.035435345473220206,-0.3419211263989044,-0.0,-0.46468234438191425,1.0,-0.29777673164573215,0.0
2018-11-23,-0.0360837964942283,-0.3367037195382642,-0.0,-0.4666310389055152,1.0,-0.29824711415134675,0.0
