Date,AVXL,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-3.3572834645669296,-4.903346456692914,-2.3041338582677167,-4.081692913385827,-4.038582677165355,0.0
2018-09-25,1.0,-3.3749506124061637,-4.918806795732912,-2.3190438561833266,-4.094626629790597,-4.047609640458317,0.0
2018-09-26,1.0,-3.4067357512953365,-4.974491829414109,-2.3361897170187325,-4.133718612993224,-4.077122359505779,0.0
2018-09-27,1.0,-3.499898063200815,-5.075840978593272,-2.3861365953109073,-4.244036697247706,-4.181651376146789,0.0
2018-09-28,1.0,-3.5013273432713907,-5.088013069226057,-2.3918725750459466,-4.250765774964264,-4.188891157851746,0.0
2018-10-01,1.0,-3.5308515014397366,-5.122994652406417,-2.406828465651995,-4.286096256684492,-4.22110242698478,0.0
2018-10-02,1.0,-3.539080222726336,-5.149927820169107,-2.408331614765931,-4.295524850484636,-4.229944318416168,0.0
2018-10-03,1.0,-3.5546810273405134,-5.150787075393538,-2.414043082021541,-4.3264291632145815,-4.2665700082850035,0.0
2018-10-04,1.0,-3.5570039313056077,-5.135112766397683,-2.4129939995861784,-4.329402027726051,-4.256569418580591,0.0
2018-10-05,1.0,-3.466165413533835,-5.044909571225361,-2.3304206462101202,-4.272505588295062,-4.207071733387523,0.0
2018-10-08,1.0,-3.4424242424242424,-5.011717171717171,-2.3066666666666666,-4.257171717171717,-4.184040404040403,0.0
2018-10-09,1.0,-3.442039247420595,-5.021646773214647,-2.2963787173781105,-4.270078899453773,-4.2002832288084155,0.0
2018-10-10,1.0,-3.470468431771894,-5.055397148676171,-2.3132382892057026,-4.304887983706721,-4.222606924643585,0.0
2018-10-11,1.0,-3.1186633757357125,-4.826656540725271,-1.9322194797797607,-4.048984241503702,-4.059806341370799,0.0
2018-10-12,1.0,-3.139486598716497,-4.819932049830125,-1.9110985277463195,-4.002831257078143,-4.001510003775009,0.0
2018-10-15,1.0,-3.0766773162939294,-4.896635970682203,-1.8240932155609846,-3.9902274008644993,-4.006013907160308,0.0
2018-10-16,1.0,-3.089343176225629,-4.969714177550634,-1.807495741056218,-4.022903653227333,-4.03880371001325,0.0
2018-10-17,1.0,-3.0639909125331317,-4.916130253691784,-1.7429004165088982,-4.0766755017039,-4.132525558500568,0.0
2018-10-18,1.0,-3.0622634367903108,-4.913323239969721,-1.7428084784254354,-4.075700227100682,-4.130961392884179,0.0
2018-10-19,1.0,-3.022787193973635,-4.886064030131827,-1.6935969868173257,-4.089830508474576,-4.140112994350282,0.0
2018-10-22,1.0,-3.139571150097466,-5.044444444444445,-1.6884990253411307,-4.285964912280702,-4.334697855750488,0.0
2018-10-23,1.0,-3.1522335423197494,-5.075822884012539,-1.684757053291536,-4.316026645768025,-4.363440438871473,0.0
2018-10-24,1.0,-3.1566052528420223,-5.072324578596628,-1.66640533124265,-4.326930615444923,-4.377891023128185,0.0
2018-10-25,1.0,-2.819777857398782,-4.616087423862415,-1.4509136510211396,-4.035112862773199,-3.992654962379076,0.0
2018-10-26,1.0,-2.7224746592100666,-4.512233484795526,-1.349003844809507,-3.9854945823138763,-3.907025515554002,0.0
2018-10-29,1.0,-2.7081787670022965,-4.625154566331037,-1.3063063063063063,-4.029323441088147,-3.9959371135841724,0.0
2018-10-30,1.0,-2.683051444679352,-4.617159971811136,-1.2882311486962652,-4.022903453136011,-4.006694855532065,0.0
2018-10-31,1.0,-2.7323492797439086,-4.614085008002846,-1.3037524453138893,-4.081451182642717,-4.05228525698026,0.0
