Date,IWF,IWM,MCR,MTUM,SPY,VLUE,VXX
2018-09-24,-0.10300025212202707,-0.20433649886545088,1.0,-0.0,-0.19305824018825113,-0.18041852256492144,0.0
2018-09-25,-0.10441942530667116,-0.20381448496051086,1.0,-0.0,-0.19267350025205848,-0.17948243992606286,0.0
2018-09-26,-0.10430004536976357,-0.2037270420594512,1.0,-0.0,-0.1926870662566584,-0.1796642637495589,0.0
2018-09-27,-0.10573160696592607,-0.20093371622415906,1.0,-0.0,-0.19292323710682316,-0.17975716660788954,0.0
2018-09-28,-0.10482990340193196,-0.2021167576648467,1.0,-0.0,-0.1930617387652247,-0.17995800083998323,0.0
2018-10-01,-0.10496160760791035,-0.20209351949863064,1.0,-0.0,-0.19313809499806778,-0.1799989918846716,0.0
2018-10-02,-0.10809080031682368,-0.1893358499469152,1.0,-0.0028985995719509935,-0.1989753787559615,-0.18594853300527478,0.0
2018-10-03,-0.10859988184656931,-0.19286015697527217,1.0,-0.0033420541817874923,-0.19848088446282386,-0.1846062958899485,0.0
2018-10-04,-0.11055971912767538,-0.18992640604955777,1.0,-0.003578421443521707,-0.20111741273377898,-0.18275268381608267,0.0
2018-10-05,-0.112934297688252,-0.19232459105042585,1.0,-0.004021900770582669,-0.1999966202514533,-0.18057996485061512,0.0
2018-10-08,-0.11324583953456907,-0.19307265593289133,1.0,-0.004278852658638885,-0.1997869029901231,-0.18086185901772425,0.0
2018-10-09,-0.11288468041934392,-0.19303347987825498,1.0,-0.0035001690902942166,-0.20011836320595197,-0.18133243151843084,0.0
2018-10-10,-0.11277725182580471,-0.1929943197186908,1.0,-0.003347308628617798,-0.20007776575601838,-0.18136326751420068,0.0
2018-10-11,-0.10427353274265538,-0.18697954833122377,1.0,-0.0,-0.19499034041702754,-0.17918526413963096,0.0
2018-10-12,-0.10291342492964742,-0.18395960933620265,1.0,-0.0,-0.19235225955967555,-0.1761297798377752,0.0
2018-10-15,-0.1128556919029621,-0.17619340981368323,1.0,-0.002564145257163789,-0.19614046187915218,-0.17729232920961058,0.0
2018-10-16,-0.11231371243027224,-0.17845308467238363,1.0,-0.0008825243526767129,-0.19625343435184414,-0.17725418366497378,0.0
2018-10-17,-0.11051619533865993,-0.17413718794549615,1.0,-0.0,-0.1954381195504426,-0.17758512084341743,0.0
