Date,IWF,IWM,MTUM,SPY,TMO,VLUE,VXX
2018-09-24,-0.29265185892842926,-0.38370087307273837,-0.15083724756521508,-0.44232147122044424,1.0,-0.3842050792134384,0.0
2018-09-25,-0.29242203052422033,-0.3841008626410087,-0.15039150630391507,-0.44265428002654283,1.0,-0.3847378898473789,0.0
2018-09-26,-0.29297621575706095,-0.3847950732639626,-0.15165109365045656,-0.4423444468039924,1.0,-0.3827245699723933,0.0
2018-09-27,-0.29415041782729806,-0.38135031171242867,-0.15261971083698103,-0.44223371799973465,1.0,-0.38251757527523544,0.0
2018-09-28,-0.29474354551967524,-0.381086316236368,-0.15270517685143417,-0.4422745243717993,1.0,-0.38259877411308946,0.0
2018-10-01,-0.29523683163062225,-0.380602361682367,-0.15268674538941224,-0.44251028260581127,1.0,-0.38256600769536947,0.0
2018-10-02,-0.2987949243169908,-0.3601393950679684,-0.1603043281636562,-0.4502407491154798,1.0,-0.3907850283312495,0.0
2018-10-03,-0.298659503165062,-0.3585297090270759,-0.16016809404755575,-0.45066226926964204,1.0,-0.3916697696685994,0.0
2018-10-04,-0.3009917838815177,-0.3545959743678375,-0.16054667765694383,-0.453641415618602,1.0,-0.38913557924964776,0.0
2018-10-05,-0.299296429045533,-0.3529271206690561,-0.15786539227399443,-0.4551440329218107,1.0,-0.3897517589273862,0.0
2018-10-08,-0.29901011119662435,-0.35243226029033203,-0.1573472041612484,-0.45545500384809323,1.0,-0.38961280220800937,0.0
2018-10-09,-0.29935511265624587,-0.35237918314269795,-0.15806374565430856,-0.4550834638146546,1.0,-0.3889493378625833,0.0
2018-10-10,-0.3000557132624095,-0.35136497492903196,-0.15896850874167617,-0.45544265513490567,1.0,-0.38718064362083143,0.0
2018-10-11,-0.2872187147984177,-0.34600371990674034,-0.14222094150315667,-0.4537238362193173,1.0,-0.3905116181594321,0.0
2018-10-12,-0.2896639617145235,-0.3405118601747816,-0.14096962130669996,-0.4476695796920516,1.0,-0.38210049937578033,0.0
2018-10-15,-0.29152789342214824,-0.33750520399666945,-0.14253746877602,-0.4485584929225645,1.0,-0.38189529558701085,0.0
2018-10-16,-0.2933975778096106,-0.332413074619091,-0.14692017189738246,-0.4490428441203282,1.0,-0.38270608152103136,0.0
2018-10-17,-0.2900300549279718,-0.3239195771582547,-0.14423774484402527,-0.4483884340346149,1.0,-0.38434034614986007,0.0
2018-10-18,-0.28998911860718174,-0.3238509767345458,-0.14420436292035857,-0.4484429245038603,1.0,-0.38432043111042025,0.0
2018-10-19,-0.2876259364505296,-0.32014983208473263,-0.14125548953758718,-0.4501162490312581,1.0,-0.3841384655127874,0.0
2018-10-22,-0.2868371383509579,-0.3236548853323681,-0.14460790650774363,-0.44788892623523024,1.0,-0.3825012281200713,0.0
2018-10-23,-0.28637939061610884,-0.32414256893073295,-0.1431379649268015,-0.4494076871346541,1.0,-0.3834514510371941,0.0
2018-10-24,-0.28608747381217187,-0.3243411013113313,-0.14284975299381839,-0.44983576028761346,1.0,-0.38331221064066423,0.0
2018-10-25,-0.2666075949367088,-0.2962278481012658,-0.13944303797468352,-0.46250632911392403,1.0,-0.3668607594936709,0.0
2018-10-26,-0.2707722883277703,-0.3017045888857747,-0.1433740158483451,-0.4616149005019492,1.0,-0.3705506153336561,0.0
2018-10-29,-0.25929878048780486,-0.31135670731707316,-0.13315548780487804,-0.45810467479674793,1.0,-0.37873475609756097,0.0
2018-10-30,-0.25815465907936186,-0.3114520882024185,-0.1324306472919419,-0.45831216339802866,1.0,-0.38004267858957425,0.0
2018-10-31,-0.2589373939040766,-0.3059869771212851,-0.13319313891915174,-0.4571942537181079,1.0,-0.37832222757100514,0.0
2018-11-01,-0.2509939980246664,-0.3172183250183605,-0.12396484919087294,-0.4596449464380682,1.0,-0.38063160027350773,0.0
2018-11-02,-0.25839493402628855,-0.2968943159169463,-0.11860130685975226,-0.4698640159446981,1.0,-0.3791407018694654,0.0
2018-11-05,-0.2552413149330171,-0.3063804021495068,-0.11837424628503672,-0.47102454777102204,1.0,-0.3718999924313142,0.0
