Date,IWF,IWM,MTUM,SPY,VLUE,VXX,WRLD
2018-09-24,-0.7306638000537491,-1.4734211233539372,-0.10911045417898414,-1.0484815909701692,-1.01327600107498,0.0,1.0
2018-09-25,-0.731263095685811,-1.4718744963197765,-0.11072906033417504,-1.0471713318648257,-1.0115510664589267,0.0,1.0
2018-09-26,-0.731058570660935,-1.4718430951101558,-0.10972595378828588,-1.0477162815690488,-1.0131112305212253,0.0,1.0
2018-09-27,-0.7313496965465386,-1.4694129652505505,-0.1105859605779043,-1.0471024222568344,-1.012460389924271,0.0,1.0
2018-09-28,-0.7289182511547964,-1.471264367816092,-0.11155870662799441,-1.0468363948866688,-1.012568482114083,0.0,1.0
2018-10-01,-0.7296165001611343,-1.470190138575572,-0.1118272639381244,-1.0471049521967988,-1.0124073477280051,0.0,1.0
2018-10-02,-0.7301749663526245,-1.4872678331090174,-0.10874831763122476,-1.0462449528936744,-1.0111978465679676,0.0,1.0
2018-10-03,-0.7298999031320632,-1.484447314605532,-0.10908405984285867,-1.0462813475406307,-1.0118394144871379,0.0,1.0
2018-10-04,-0.7318528874072481,-1.4784385417786858,-0.11011936767394344,-1.0483385310248414,-1.0081729218195505,0.0,1.0
2018-10-05,-0.7231956277125865,-1.4770937148368433,-0.09591169694047046,-1.0509564378717249,-1.0110378824411939,0.0,1.0
2018-10-08,-0.7198439420661643,-1.471540804874138,-0.09042809042809044,-1.0536048313826092,-1.0090321201432313,0.0,1.0
2018-10-09,-0.7211826347305389,-1.4724123182207012,-0.09244011976047904,-1.052929854576561,-1.0074850299401197,0.0,1.0
2018-10-10,-0.7218896964514749,-1.4711949551090209,-0.09314878153056862,-1.0531209918768705,-1.004809747755451,0.0,1.0
2018-10-11,-0.6439944349976813,-1.4629772762405318,-0.0,-1.026639872211058,-1.0191683413201422,0.0,1.0
2018-10-12,-0.6545851972346481,-1.4544021960146398,-0.0,-0.9934932899552663,-0.9808865392435949,0.0,1.0
2018-10-15,-0.6166370783667259,-1.4900329698199342,-0.0,-0.9848846056302308,-0.9807253360385494,0.0,1.0
2018-10-16,-0.608766316217177,-1.5064756970897455,-0.0,-0.9840012189547462,-0.9797856671237747,0.0,1.0
2018-10-17,-0.571663428486026,-1.4429332934788024,-0.0,-0.9748916454939471,-0.9923280027898173,0.0,1.0
2018-10-18,-0.5706099262507475,-1.4408511062387883,-0.0,-0.9783735299980068,-0.9932230416583616,0.0,1.0
2018-10-19,-0.546804835924007,-1.4241796200345422,-0.0,-0.9755736491487786,-0.9880582284727362,0.0,1.0
2018-10-22,-0.546947430713088,-1.4173488509714962,-0.0,-0.9774139461485354,-0.989742578163527,0.0,1.0
2018-10-23,-0.5528860384805131,-1.4184509126788358,-0.0,-0.9739516526887027,-0.9881105081401086,0.0,1.0
2018-10-24,-0.5499605833661805,-1.4137761135199052,-0.0,-0.9737386677177768,-0.9896038628301143,0.0,1.0
2018-10-25,-0.49300782175871055,-1.3385636406731454,-0.0,-0.9733112111874852,-0.9355771509836455,0.0,1.0
2018-10-26,-0.4626676671981991,-1.3190132257761935,-0.0,-0.985179626676672,-0.9230841384485508,0.0,1.0
